attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,211346,0.009,37653,0.054,84028,0.031,19927,0.077,33459,0.057,36280,0.055
sexMale,102430,0.027,13477,0.098,40956,0.051,7177,0.134,20707,0.075,20114,0.077
sexFemale,108916,0.025,24176,0.069,43072,0.048,12750,0.096,12752,0.096,16166,0.087
age25_44,69160,0.038,8673,0.128,24838,0.069,6838,0.140,11906,0.102,16905,0.086
age45_64,83746,0.032,12991,0.100,34529,0.056,7194,0.132,14745,0.090,14287,0.093
age65+,58440,0.038,15989,0.082,24661,0.065,5895,0.137,6808,0.130,5088,0.150
citizenSwiss,165729,0.014,23069,0.068,74265,0.033,15133,0.087,28957,0.061,24305,0.068
citizenUE28_AELE,29573,0.064,6385,0.142,7080,0.137,3250,0.205,3755,0.189,9103,0.121
citizenOtherEuropeanCountries,9967,0.127,5449,0.173,1829,0.303,843,0.444,588,0.539,1259,0.359
citizenOtherWorldwideCountries,6002,0.156,2677,0.236,855,0.423,700,0.472,NaN,NaN,1613,0.298
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,136026,0.019,16964,0.080,63812,0.037,11522,0.100,24727,0.067,19000,0.078
migratoryBackgroundSwissWith,28624,0.061,5749,0.142,9895,0.109,3579,0.183,4097,0.172,5304,0.150
migratoryBackgroundFirstGeneration,41190,0.055,14028,0.100,7179,0.139,4464,0.180,3770,0.193,11748,0.108
migratoryBackgroundSecondGenerationAndMore,4261,0.182,469,0.560,2545,0.238,329,0.646,731,0.432,186,0.867
migratoryBackgroundUnknown,1246,0.319,443,0.541,597,0.456,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,128272,0.022,14285,0.096,49788,0.045,11523,0.104,24698,0.068,27977,0.065
labourMarketUnemployedPersons,5485,0.157,1102,0.367,1669,0.283,580,0.484,1049,0.360,1086,0.355
labourMarketPersonsWithoutProfessionalActivity,77589,0.032,22265,0.071,32571,0.056,7823,0.122,7712,0.123,7217,0.129
socioprofessionalCategoriesExecutives,5822,0.147,310,0.689,1315,0.319,330,0.648,1892,0.255,1975,0.253
socioprofessionalCategoriesLiberalAndSimilar,2425,0.228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2425,0.228
socioprofessionalCategoriesOtherSelfEmployed,9446,0.113,1189,0.328,4466,0.166,888,0.381,2543,0.219,360,0.583
socioprofessionalCategoriesIntellectualAndManagerial,21100,0.075,274,0.684,1005,0.352,282,0.687,1703,0.273,17835,0.083
socioprofessionalCategoriesIntermediate,37005,0.054,1833,0.272,9572,0.113,3184,0.199,17878,0.081,4538,0.171
socioprofessionalCategoriesSkilledNonManuals,29112,0.062,277,0.685,23780,0.069,5054,0.160,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,8556,0.123,166,0.866,7351,0.133,1040,0.367,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,8064,0.130,8064,0.130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,355,0.651,247,0.798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,6387,0.143,1924,0.270,2301,0.234,637,0.473,682,0.432,844,0.405
socioprofessionalCategoriesUnemployedOrNotWorking,83074,0.031,23367,0.070,34240,0.054,8403,0.118,8761,0.116,8302,0.121
