attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.0,0.1728,0.001,0.3965,0.0,0.104,0.001,0.1507,0.001,0.1759,0.001
sexMale,1.0,0.0,0.1315,0.001,0.3901,0.001,0.0785,0.001,0.1835,0.001,0.2165,0.001
sexFemale,1.0,0.0,0.2117,0.001,0.4025,0.0,0.128,0.001,0.1199,0.001,0.1379,0.001
age25_44,1.0,0.0,0.1213,0.001,0.3431,0.001,0.1224,0.001,0.1617,0.001,0.2516,0.001
age45_64,1.0,0.0,0.1529,0.001,0.4128,0.001,0.0902,0.001,0.173,0.001,0.1712,0.001
age65+,1.0,0.0,0.261,0.001,0.4355,0.001,0.1023,0.001,0.1065,0.001,0.0948,0.001
citizenSwiss,1.0,0.0,0.1375,0.001,0.4422,0.0,0.0988,0.001,0.166,0.001,0.1555,0.001
citizenUE28_AELE,1.0,0.001,0.2218,0.001,0.2611,0.001,0.1117,0.002,0.116,0.002,0.2893,0.001
citizenOtherEuropeanCountries,1.0,0.001,0.487,0.002,0.2496,0.002,0.1262,0.003,0.0596,0.005,0.0775,0.004
citizenOtherWorldwideCountries,1.0,0.001,0.3735,0.002,0.0855,0.005,0.1658,0.003,0.0596,0.006,0.3157,0.003
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.0,0.1232,0.001,0.4615,0.0,0.095,0.001,0.1727,0.001,0.1477,0.001
migratoryBackgroundSwissWith,1.0,0.001,0.2002,0.001,0.354,0.001,0.1159,0.002,0.138,0.002,0.1918,0.001
migratoryBackgroundFirstGeneration,1.0,0.001,0.3141,0.001,0.2066,0.001,0.119,0.002,0.0902,0.002,0.2702,0.001
migratoryBackgroundSecondGenerationAndMore,1.0,0.002,0.1452,0.004,0.477,0.002,0.1617,0.004,0.1531,0.004,0.063,0.007
migratoryBackgroundUnknown,1.0,0.003,0.296,0.006,0.4157,0.005,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,1.0,0.0,0.1106,0.001,0.3829,0.0,0.0983,0.001,0.1835,0.001,0.2247,0.001
labourMarketUnemployedPersons,1.0,0.002,0.2748,0.003,0.3466,0.003,0.1339,0.005,0.1116,0.005,0.1331,0.004
labourMarketPersonsWithoutProfessionalActivity,1.0,0.0,0.2701,0.001,0.4223,0.001,0.1117,0.001,0.0985,0.001,0.0974,0.001
socioprofessionalCategoriesExecutives,1.0,0.002,0.0627,0.006,0.2187,0.003,0.0548,0.006,0.2564,0.003,0.4073,0.002
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.002
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.001,0.1077,0.003,0.5081,0.001,0.1072,0.003,0.2055,0.002,0.0715,0.004
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.001,NaN,NaN,0.0446,0.004,0.0154,0.006,0.0468,0.004,0.8933,0.001
socioprofessionalCategoriesIntermediate,1.0,0.001,0.0391,0.003,0.2474,0.001,0.0792,0.002,0.5013,0.001,0.1329,0.002
socioprofessionalCategoriesSkilledNonManuals,1.0,0.001,0.0117,0.006,0.7811,0.001,0.2072,0.001,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.001,0.0311,0.007,0.8552,0.001,0.1137,0.004,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.001,1.0,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1.0,0.006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.001,0.3133,0.002,0.306,0.002,0.1262,0.004,0.1343,0.004,0.1201,0.004
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.0,0.2704,0.001,0.4178,0.001,0.113,0.001,0.0993,0.001,0.0995,0.001
