attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,211346.0,0.009,37653.0,0.054,84028.0,0.031,19927.0,0.077,33459.0,0.057,36280.0,0.055
sexMale,0.4847,0.027,0.3579,0.098,0.4874,0.051,0.3602,0.134,0.6189,0.075,0.5544,0.077
sexFemale,0.5153,0.025,0.6421,0.069,0.5126,0.048,0.6398,0.096,0.3811,0.096,0.4456,0.087
age25_44,0.3272,0.038,0.2303,0.128,0.2956,0.069,0.3432,0.14,0.3558,0.102,0.466,0.086
age45_64,0.3963,0.032,0.345,0.1,0.4109,0.056,0.361,0.132,0.4407,0.09,0.3938,0.093
age65+,0.2765,0.038,0.4246,0.082,0.2935,0.065,0.2958,0.137,0.2035,0.13,0.1402,0.15
citizenSwiss,0.7842,0.014,0.6127,0.068,0.8838,0.033,0.7594,0.087,0.8654,0.061,0.6699,0.068
citizenUE28_AELE,0.1399,0.064,0.1696,0.142,0.0843,0.137,0.1631,0.205,0.1122,0.189,0.2509,0.121
citizenOtherEuropeanCountries,0.0472,0.127,0.1447,0.173,0.0218,0.303,0.0423,0.444,0.0176,0.539,0.0347,0.359
citizenOtherWorldwideCountries,0.0284,0.156,0.0711,0.236,0.0102,0.423,0.0351,0.472,NaN,NaN,0.0445,0.298
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.6436,0.019,0.4505,0.08,0.7594,0.037,0.5782,0.1,0.739,0.067,0.5237,0.078
migratoryBackgroundSwissWith,0.1354,0.061,0.1527,0.142,0.1178,0.109,0.1796,0.183,0.1224,0.172,0.1462,0.15
migratoryBackgroundFirstGeneration,0.1949,0.055,0.3726,0.1,0.0854,0.139,0.224,0.18,0.1127,0.193,0.3238,0.108
migratoryBackgroundSecondGenerationAndMore,0.0202,0.182,0.0125,0.56,0.0303,0.238,0.0165,0.646,0.0218,0.432,0.0051,0.867
migratoryBackgroundUnknown,0.0059,0.319,0.0118,0.541,0.0071,0.456,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,0.6069,0.022,0.3794,0.096,0.5925,0.045,0.5783,0.104,0.7382,0.068,0.7711,0.065
labourMarketUnemployedPersons,0.026,0.157,0.0293,0.367,0.0199,0.283,0.0291,0.484,0.0314,0.36,0.0299,0.355
labourMarketPersonsWithoutProfessionalActivity,0.3671,0.032,0.5913,0.071,0.3876,0.056,0.3926,0.122,0.2305,0.123,0.1989,0.129
socioprofessionalCategoriesExecutives,0.0275,0.147,0.0082,0.689,0.0156,0.319,0.0166,0.648,0.0565,0.255,0.0544,0.253
socioprofessionalCategoriesLiberalAndSimilar,0.0115,0.228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0668,0.228
socioprofessionalCategoriesOtherSelfEmployed,0.0447,0.113,0.0316,0.328,0.0531,0.166,0.0446,0.381,0.076,0.219,0.0099,0.583
socioprofessionalCategoriesIntellectualAndManagerial,0.0998,0.075,0.0073,0.684,0.012,0.352,0.0142,0.687,0.0509,0.273,0.4916,0.083
socioprofessionalCategoriesIntermediate,0.1751,0.054,0.0487,0.272,0.1139,0.113,0.1598,0.199,0.5343,0.081,0.1251,0.171
socioprofessionalCategoriesSkilledNonManuals,0.1377,0.062,0.0074,0.685,0.283,0.069,0.2536,0.16,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0405,0.123,0.0044,0.866,0.0875,0.133,0.0522,0.367,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.0382,0.13,0.2142,0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,0.0017,0.651,0.0066,0.798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.0302,0.143,0.0511,0.27,0.0274,0.234,0.032,0.473,0.0204,0.432,0.0233,0.405
socioprofessionalCategoriesUnemployedOrNotWorking,0.3931,0.031,0.6206,0.07,0.4075,0.054,0.4217,0.118,0.2618,0.116,0.2288,0.121
