attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,145761,0.010,28493,0.064,38362,0.051,14961,0.091,15696,0.086,48250,0.045
sexMale,69611,0.034,11576,0.108,19780,0.077,6611,0.144,7609,0.127,24036,0.070
sexFemale,76150,0.030,16918,0.085,18582,0.078,8350,0.122,8087,0.123,24214,0.068
age25_44,58925,0.039,7829,0.135,10436,0.111,6252,0.150,5439,0.154,28969,0.063
age45_64,50873,0.042,9648,0.116,15137,0.087,4801,0.162,6705,0.135,14582,0.090
age65+,35963,0.053,11016,0.107,12789,0.095,3908,0.178,3552,0.185,4698,0.162
citizenSwiss,93716,0.023,14273,0.090,31553,0.056,10127,0.108,12252,0.096,25510,0.064
citizenUE28_AELE,34236,0.059,6160,0.153,4718,0.175,3159,0.215,2447,0.240,17752,0.086
citizenOtherEuropeanCountries,10007,0.123,5863,0.162,1514,0.333,803,0.448,442,0.615,1384,0.338
citizenOtherWorldwideCountries,7802,0.136,2197,0.261,576,0.485,872,0.425,554,0.521,3602,0.202
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,69270,0.031,8621,0.118,24551,0.065,6776,0.135,9867,0.108,19455,0.075
migratoryBackgroundSwissWith,23809,0.066,5460,0.148,6695,0.134,3281,0.193,2385,0.227,5988,0.142
migratoryBackgroundFirstGeneration,49230,0.047,13615,0.102,5615,0.162,4580,0.181,3247,0.211,22173,0.076
migratoryBackgroundSecondGenerationAndMore,2815,0.230,606,0.521,1193,0.354,254,0.732,196,0.871,566,0.502
migratoryBackgroundUnknown,637,0.444,192,0.790,307,0.645,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,89213,0.026,10024,0.115,20307,0.075,8528,0.124,11066,0.104,39287,0.051
labourMarketUnemployedPersons,5924,0.152,1488,0.320,1631,0.288,739,0.434,209,0.790,1857,0.273
labourMarketPersonsWithoutProfessionalActivity,50624,0.042,16980,0.085,16423,0.083,5693,0.149,4421,0.167,7106,0.135
socioprofessionalCategoriesExecutives,3227,0.201,324,0.645,299,0.645,284,0.687,625,0.460,1696,0.279
socioprofessionalCategoriesLiberalAndSimilar,2389,0.230,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2389,0.230
socioprofessionalCategoriesOtherSelfEmployed,6038,0.146,850,0.404,2094,0.250,818,0.395,1140,0.331,1136,0.350
socioprofessionalCategoriesIntellectualAndManagerial,26259,0.066,NaN,NaN,288,0.688,228,0.799,712,0.434,24997,0.068
socioprofessionalCategoriesIntermediate,22327,0.072,886,0.396,3575,0.190,2305,0.245,8184,0.123,7377,0.132
socioprofessionalCategoriesSkilledNonManuals,13370,0.095,NaN,NaN,9705,0.112,3559,0.194,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,4170,0.179,NaN,NaN,3378,0.198,641,0.472,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,6079,0.150,6079,0.150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,328,0.645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,5024,0.166,1447,0.314,932,0.373,623,0.490,404,0.560,1618,0.301
socioprofessionalCategoriesUnemployedOrNotWorking,56548,0.039,18469,0.082,18054,0.079,6433,0.140,4629,0.163,8963,0.120
