attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,146377,0.010,27275,0.065,39006,0.050,15840,0.087,17083,0.082,47173,0.045
sexMale,70039,0.034,11029,0.110,19838,0.075,6513,0.144,8349,0.121,24311,0.070
sexFemale,76338,0.030,16246,0.086,19168,0.076,9327,0.114,8734,0.118,22862,0.070
age25_44,59764,0.039,8113,0.132,10955,0.109,6575,0.143,6065,0.147,28056,0.064
age45_64,50690,0.042,9851,0.113,13461,0.093,5598,0.151,7592,0.126,14189,0.091
age65+,35923,0.051,9311,0.116,14589,0.086,3668,0.183,3426,0.185,4929,0.154
citizenSwiss,93686,0.023,13201,0.093,31678,0.055,10776,0.105,13294,0.092,24737,0.066
citizenUE28_AELE,34418,0.057,6338,0.147,5183,0.162,2991,0.215,3058,0.211,16848,0.086
citizenOtherEuropeanCountries,10132,0.123,5026,0.174,1807,0.299,1210,0.366,542,0.560,1548,0.325
citizenOtherWorldwideCountries,8091,0.134,2711,0.238,337,0.691,863,0.412,189,0.864,3991,0.190
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,69776,0.031,7721,0.124,24942,0.064,7574,0.127,10701,0.104,18840,0.077
migratoryBackgroundSwissWith,22861,0.068,5210,0.151,6300,0.138,3159,0.197,2528,0.220,5665,0.145
migratoryBackgroundFirstGeneration,49917,0.046,13720,0.100,6042,0.154,4642,0.176,3403,0.204,22110,0.075
migratoryBackgroundSecondGenerationAndMore,2774,0.226,355,0.647,1285,0.333,422,0.586,386,0.583,325,0.692
migratoryBackgroundUnknown,1049,0.342,270,0.683,437,0.517,NaN,NaN,NaN,NaN,233,0.730
labourMarketEmployedPersons,90305,0.026,10595,0.111,19860,0.076,9212,0.117,12523,0.098,38115,0.052
labourMarketUnemployedPersons,5433,0.159,1605,0.303,1077,0.353,664,0.457,512,0.520,1575,0.296
labourMarketPersonsWithoutProfessionalActivity,50639,0.042,15075,0.090,18069,0.077,5964,0.145,4048,0.171,7483,0.128
socioprofessionalCategoriesExecutives,3241,0.200,454,0.569,170,0.867,266,0.737,618,0.456,1734,0.270
socioprofessionalCategoriesLiberalAndSimilar,2540,0.224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2540,0.224
socioprofessionalCategoriesOtherSelfEmployed,6093,0.142,736,0.422,2094,0.243,778,0.412,1661,0.272,824,0.404
socioprofessionalCategoriesIntellectualAndManagerial,25720,0.067,NaN,NaN,339,0.614,388,0.584,370,0.584,24511,0.069
socioprofessionalCategoriesIntermediate,23013,0.070,1012,0.366,3566,0.189,2469,0.228,9297,0.115,6669,0.140
socioprofessionalCategoriesSkilledNonManuals,13463,0.095,NaN,NaN,9494,0.114,3895,0.184,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,3995,0.187,424,0.589,2921,0.218,650,0.471,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,6423,0.145,6423,0.145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,459,0.585,303,0.734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,5358,0.156,1057,0.353,1200,0.327,686,0.447,578,0.469,1837,0.274
socioprofessionalCategoriesUnemployedOrNotWorking,56072,0.039,16680,0.086,19146,0.075,6628,0.138,4560,0.163,9058,0.117
