attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,146613.0,0.01,0.1933,0.068,0.27,0.052,0.1011,0.095,0.1088,0.087,0.3269,0.045
sexMale,70195.0,0.035,0.1719,0.113,0.2688,0.081,0.0968,0.147,0.1203,0.123,0.3423,0.071
sexFemale,76418.0,0.031,0.2129,0.091,0.2711,0.077,0.1051,0.129,0.0981,0.13,0.3127,0.069
age25_44,60179.0,0.039,0.1492,0.133,0.1985,0.107,0.1016,0.156,0.0817,0.164,0.4691,0.064
age45_64,50606.0,0.044,0.1998,0.121,0.2758,0.096,0.0895,0.176,0.1328,0.139,0.3021,0.09
age65+,35828.0,0.053,0.2581,0.118,0.3818,0.093,0.1167,0.178,0.1204,0.17,0.123,0.164
citizenSwiss,93173.0,0.024,0.1383,0.101,0.3402,0.058,0.1135,0.111,0.1359,0.097,0.2721,0.065
citizenUE28_AELE,34861.0,0.059,0.193,0.152,0.1452,0.171,0.0824,0.233,0.0717,0.237,0.5077,0.086
citizenOtherEuropeanCountries,10189.0,0.122,0.5799,0.163,0.1925,0.285,0.082,0.45,0.048,0.564,0.0976,0.377
citizenOtherWorldwideCountries,8390.0,0.139,0.3353,0.252,0.102,0.448,0.0653,0.569,0.0354,0.752,0.462,0.199
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,67129.0,0.034,0.1053,0.139,0.3675,0.068,0.1091,0.135,0.1479,0.111,0.2703,0.079
migratoryBackgroundSwissWith,25041.0,0.067,0.2193,0.157,0.2672,0.14,0.1266,0.206,0.1064,0.218,0.2804,0.133
migratoryBackgroundFirstGeneration,50748.0,0.046,0.2897,0.101,0.1338,0.148,0.079,0.198,0.0606,0.216,0.4369,0.076
migratoryBackgroundSecondGenerationAndMore,2598.0,0.254,0.2729,0.506,0.4199,0.392,NaN,NaN,0.0812,0.876,0.1528,0.62
migratoryBackgroundUnknown,1098.0,0.361,0.3333,0.613,0.3087,0.652,NaN,NaN,NaN,NaN,0.1712,0.865
labourMarketEmployedPersons,86492.0,0.028,0.1188,0.122,0.2245,0.08,0.0941,0.13,0.1198,0.11,0.4428,0.052
labourMarketUnemployedPersons,6221.0,0.158,0.2723,0.321,0.289,0.293,0.1024,0.505,0.0937,0.503,0.2424,0.316
labourMarketPersonsWithoutProfessionalActivity,53900.0,0.042,0.3037,0.09,0.3407,0.081,0.1123,0.152,0.0927,0.16,0.1506,0.127
socioprofessionalCategoriesExecutives,3569.0,0.194,0.1196,0.621,0.1844,0.458,0.0776,0.74,0.1376,0.501,0.4805,0.274
socioprofessionalCategoriesLiberalAndSimilar,2616.0,0.225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.225
socioprofessionalCategoriesOtherSelfEmployed,5613.0,0.157,0.1064,0.528,0.4032,0.249,0.1578,0.397,0.243,0.314,0.0898,0.541
socioprofessionalCategoriesIntellectualAndManagerial,26397.0,0.065,0.008,0.871,0.0117,0.688,0.0067,0.872,0.0171,0.537,0.9565,0.067
socioprofessionalCategoriesIntermediate,21563.0,0.075,0.0579,0.364,0.1652,0.196,0.1046,0.244,0.3675,0.127,0.3048,0.145
socioprofessionalCategoriesSkilledNonManuals,13156.0,0.099,NaN,NaN,0.7152,0.118,0.2725,0.201,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,3135.0,0.216,NaN,NaN,0.7254,0.251,0.2357,0.462,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,6430.0,0.155,1.0,0.155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,286.0,0.735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,3728.0,0.199,0.2682,0.401,0.2208,0.404,0.0577,0.791,NaN,NaN,0.4171,0.316
socioprofessionalCategoriesUnemployedOrNotWorking,60121.0,0.039,0.3004,0.086,0.3353,0.078,0.1113,0.145,0.0928,0.152,0.1601,0.117
