attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.0,0.1933,0.001,0.27,0.001,0.1011,0.001,0.1088,0.001,0.3269,0.0
sexMale,1.0,0.0,0.1719,0.001,0.2688,0.001,0.0968,0.001,0.1203,0.001,0.3423,0.001
sexFemale,1.0,0.0,0.2129,0.001,0.2711,0.001,0.1051,0.001,0.0981,0.001,0.3127,0.001
age25_44,1.0,0.0,0.1492,0.001,0.1985,0.001,0.1016,0.002,0.0817,0.002,0.4691,0.001
age45_64,1.0,0.0,0.1998,0.001,0.2758,0.001,0.0895,0.002,0.1328,0.001,0.3021,0.001
age65+,1.0,0.001,0.2581,0.001,0.3818,0.001,0.1167,0.002,0.1204,0.002,0.123,0.002
citizenSwiss,1.0,0.0,0.1383,0.001,0.3402,0.001,0.1135,0.001,0.1359,0.001,0.2721,0.001
citizenUE28_AELE,1.0,0.001,0.193,0.002,0.1452,0.002,0.0824,0.002,0.0717,0.002,0.5077,0.001
citizenOtherEuropeanCountries,1.0,0.001,0.5799,0.002,0.1925,0.003,0.082,0.005,0.048,0.006,0.0976,0.004
citizenOtherWorldwideCountries,1.0,0.001,0.3353,0.003,0.102,0.004,0.0653,0.006,0.0354,0.008,0.462,0.002
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.0,0.1053,0.001,0.3675,0.001,0.1091,0.001,0.1479,0.001,0.2703,0.001
migratoryBackgroundSwissWith,1.0,0.001,0.2193,0.002,0.2672,0.001,0.1266,0.002,0.1064,0.002,0.2804,0.001
migratoryBackgroundFirstGeneration,1.0,0.0,0.2897,0.001,0.1338,0.001,0.079,0.002,0.0606,0.002,0.4369,0.001
migratoryBackgroundSecondGenerationAndMore,1.0,0.003,0.2729,0.005,0.4199,0.004,NaN,NaN,0.0812,0.009,0.1528,0.006
migratoryBackgroundUnknown,1.0,0.004,0.3333,0.006,0.3087,0.007,NaN,NaN,NaN,NaN,0.1712,0.009
labourMarketEmployedPersons,1.0,0.0,0.1188,0.001,0.2245,0.001,0.0941,0.001,0.1198,0.001,0.4428,0.001
labourMarketUnemployedPersons,1.0,0.002,0.2723,0.003,0.289,0.003,0.1024,0.005,0.0937,0.005,0.2424,0.003
labourMarketPersonsWithoutProfessionalActivity,1.0,0.0,0.3037,0.001,0.3407,0.001,0.1123,0.002,0.0927,0.002,0.1506,0.001
socioprofessionalCategoriesExecutives,1.0,0.002,0.1196,0.006,0.1844,0.005,0.0776,0.007,0.1376,0.005,0.4805,0.003
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.002
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.002,0.1064,0.005,0.4032,0.002,0.1578,0.004,0.243,0.003,0.0898,0.005
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.001,0.008,0.009,0.0117,0.007,0.0067,0.009,0.0171,0.005,0.9565,0.001
socioprofessionalCategoriesIntermediate,1.0,0.001,0.0579,0.004,0.1652,0.002,0.1046,0.002,0.3675,0.001,0.3048,0.001
socioprofessionalCategoriesSkilledNonManuals,1.0,0.001,NaN,NaN,0.7152,0.001,0.2725,0.002,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.002,NaN,NaN,0.7254,0.003,0.2357,0.005,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.002,1.0,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1.0,0.007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.002,0.2682,0.004,0.2208,0.004,0.0577,0.008,NaN,NaN,0.4171,0.003
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.0,0.3004,0.001,0.3353,0.001,0.1113,0.001,0.0928,0.002,0.1601,0.001
