attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,145761.0,0.01,28493.0,0.064,38362.0,0.051,14961.0,0.091,15696.0,0.086,48250.0,0.045
sexMale,0.4776,0.034,0.4063,0.108,0.5156,0.077,0.4419,0.144,0.4848,0.127,0.4982,0.07
sexFemale,0.5224,0.03,0.5938,0.085,0.4844,0.078,0.5581,0.122,0.5152,0.123,0.5018,0.068
age25_44,0.4043,0.039,0.2748,0.135,0.272,0.111,0.4179,0.15,0.3465,0.154,0.6004,0.063
age45_64,0.349,0.042,0.3386,0.116,0.3946,0.087,0.3209,0.162,0.4272,0.135,0.3022,0.09
age65+,0.2467,0.053,0.3866,0.107,0.3334,0.095,0.2612,0.178,0.2263,0.185,0.0974,0.162
citizenSwiss,0.6429,0.023,0.5009,0.09,0.8225,0.056,0.6769,0.108,0.7806,0.096,0.5287,0.064
citizenUE28_AELE,0.2349,0.059,0.2162,0.153,0.123,0.175,0.2111,0.215,0.1559,0.24,0.3679,0.086
citizenOtherEuropeanCountries,0.0687,0.123,0.2058,0.162,0.0395,0.333,0.0537,0.448,0.0282,0.615,0.0287,0.338
citizenOtherWorldwideCountries,0.0535,0.136,0.0771,0.261,0.015,0.485,0.0583,0.425,0.0353,0.521,0.0747,0.202
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.4752,0.031,0.3026,0.118,0.64,0.065,0.4529,0.135,0.6286,0.108,0.4032,0.075
migratoryBackgroundSwissWith,0.1633,0.066,0.1916,0.148,0.1745,0.134,0.2193,0.193,0.1519,0.227,0.1241,0.142
migratoryBackgroundFirstGeneration,0.3377,0.047,0.4778,0.102,0.1464,0.162,0.3061,0.181,0.2069,0.211,0.4595,0.076
migratoryBackgroundSecondGenerationAndMore,0.0193,0.23,0.0213,0.521,0.0311,0.354,0.017,0.732,0.0125,0.871,0.0117,0.502
migratoryBackgroundUnknown,0.0044,0.444,0.0067,0.79,0.008,0.645,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,0.612,0.026,0.3518,0.115,0.5294,0.075,0.57,0.124,0.705,0.104,0.8142,0.051
labourMarketUnemployedPersons,0.0406,0.152,0.0522,0.32,0.0425,0.288,0.0494,0.434,0.0133,0.79,0.0385,0.273
labourMarketPersonsWithoutProfessionalActivity,0.3473,0.042,0.5959,0.085,0.4281,0.083,0.3805,0.149,0.2817,0.167,0.1473,0.135
socioprofessionalCategoriesExecutives,0.0221,0.201,0.0114,0.645,0.0078,0.645,0.019,0.687,0.0398,0.46,0.0352,0.279
socioprofessionalCategoriesLiberalAndSimilar,0.0164,0.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0495,0.23
socioprofessionalCategoriesOtherSelfEmployed,0.0414,0.146,0.0298,0.404,0.0546,0.25,0.0547,0.395,0.0726,0.331,0.0235,0.35
socioprofessionalCategoriesIntellectualAndManagerial,0.1802,0.066,NaN,NaN,0.0075,0.688,0.0152,0.799,0.0454,0.434,0.5181,0.068
socioprofessionalCategoriesIntermediate,0.1532,0.072,0.0311,0.396,0.0932,0.19,0.1541,0.245,0.5214,0.123,0.1529,0.132
socioprofessionalCategoriesSkilledNonManuals,0.0917,0.095,NaN,NaN,0.253,0.112,0.2379,0.194,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0286,0.179,NaN,NaN,0.0881,0.198,0.0428,0.472,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.0417,0.15,0.2134,0.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,0.0023,0.645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.0345,0.166,0.0508,0.314,0.0243,0.373,0.0416,0.49,0.0257,0.56,0.0335,0.301
socioprofessionalCategoriesUnemployedOrNotWorking,0.388,0.039,0.6482,0.082,0.4706,0.079,0.43,0.14,0.2949,0.163,0.1858,0.12
