attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,215650,0.009,57999,0.041,68848,0.036,21313,0.073,29120,0.061,38370,0.053
sexMale,107263,0.026,23561,0.070,36391,0.054,7751,0.126,19252,0.077,20309,0.075
sexFemale,108387,0.025,34439,0.056,32457,0.056,13563,0.092,9868,0.108,18061,0.081
age25_44,85543,0.032,15527,0.091,24447,0.068,10465,0.109,11911,0.100,23193,0.071
age45_64,85505,0.030,22039,0.072,31624,0.057,7065,0.128,12795,0.095,11983,0.099
age65+,44602,0.047,20433,0.074,12777,0.094,3784,0.176,4414,0.163,3193,0.193
citizenSwiss,169446,0.015,36651,0.052,62328,0.038,16509,0.082,25265,0.065,28693,0.061
citizenUE28_AELE,34195,0.059,14925,0.094,5256,0.159,3231,0.206,2992,0.209,7791,0.131
citizenOtherEuropeanCountries,6045,0.153,3662,0.196,783,0.434,880,0.404,183,0.867,538,0.538
citizenOtherWorldwideCountries,5963,0.151,2762,0.226,480,0.543,693,0.446,680,0.447,1348,0.316
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,149631,0.018,31817,0.057,56941,0.040,14374,0.088,22213,0.070,24285,0.067
migratoryBackgroundSwissWith,19134,0.076,4766,0.156,5062,0.151,2041,0.241,2985,0.198,4280,0.166
migratoryBackgroundFirstGeneration,43943,0.052,20890,0.079,5845,0.152,4377,0.177,3453,0.195,9378,0.120
migratoryBackgroundSecondGenerationAndMore,2074,0.258,307,0.686,675,0.443,427,0.586,367,0.613,298,0.684
migratoryBackgroundUnknown,868,0.380,219,0.797,325,0.611,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,144026,0.019,26153,0.067,48482,0.045,14063,0.092,23857,0.068,31471,0.059
labourMarketUnemployedPersons,7424,0.131,2452,0.230,1855,0.259,980,0.374,642,0.445,1495,0.299
labourMarketPersonsWithoutProfessionalActivity,64200,0.037,29395,0.061,18511,0.077,6270,0.137,4621,0.159,5404,0.151
socioprofessionalCategoriesExecutives,6571,0.135,416,0.559,1206,0.317,308,0.644,2254,0.230,2388,0.226
socioprofessionalCategoriesLiberalAndSimilar,2128,0.237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2128,0.237
socioprofessionalCategoriesOtherSelfEmployed,11974,0.099,2257,0.238,5191,0.152,1330,0.302,2707,0.211,489,0.518
socioprofessionalCategoriesIntellectualAndManagerial,24011,0.069,NaN,NaN,1278,0.309,417,0.535,1426,0.291,20759,0.074
socioprofessionalCategoriesIntermediate,38261,0.052,2790,0.213,9436,0.112,4289,0.167,16833,0.082,4913,0.160
socioprofessionalCategoriesSkilledNonManuals,27792,0.062,362,0.585,21596,0.071,5834,0.145,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,10098,0.110,1002,0.359,7982,0.123,1114,0.342,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,17099,0.084,17099,0.084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,490,0.518,NaN,NaN,234,0.732,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,5602,0.147,1985,0.252,1559,0.276,660,0.433,637,0.445,760,0.409
socioprofessionalCategoriesUnemployedOrNotWorking,71624,0.035,31846,0.058,20365,0.073,7250,0.128,5263,0.150,6899,0.134
