attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,225434,0.009,58283,0.042,73626,0.035,21180,0.074,28927,0.061,43418,0.048
sexMale,112131,0.025,23321,0.071,39313,0.052,7960,0.125,19499,0.076,22038,0.071
sexFemale,113303,0.025,34962,0.057,34312,0.056,13220,0.095,9428,0.112,21380,0.073
age25_44,87832,0.032,14386,0.096,25709,0.067,10011,0.113,11839,0.100,25887,0.066
age45_64,89161,0.030,22187,0.074,33230,0.056,7298,0.128,13016,0.094,13430,0.092
age65+,48441,0.044,21710,0.071,14686,0.087,3871,0.174,4072,0.167,4102,0.166
citizenSwiss,176075,0.015,36586,0.053,65862,0.037,16699,0.083,24497,0.066,32430,0.057
citizenUE28_AELE,36067,0.057,15326,0.093,5612,0.153,3041,0.212,3415,0.196,8673,0.119
citizenOtherEuropeanCountries,6664,0.155,3520,0.215,1209,0.368,857,0.431,495,0.560,582,0.520
citizenOtherWorldwideCountries,6586,0.146,2809,0.227,942,0.387,583,0.503,519,0.519,1733,0.281
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,152480,0.018,30906,0.059,60085,0.039,13654,0.092,21430,0.071,26404,0.064
migratoryBackgroundSwissWith,22777,0.069,5392,0.149,5372,0.149,3045,0.201,2975,0.198,5994,0.139
migratoryBackgroundFirstGeneration,46425,0.050,21208,0.080,6556,0.144,4138,0.184,4094,0.181,10429,0.110
migratoryBackgroundSecondGenerationAndMore,2793,0.219,418,0.586,1137,0.344,343,0.654,336,0.616,559,0.472
migratoryBackgroundUnknown,960,0.353,359,0.585,476,0.499,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,147181,0.019,25404,0.069,50246,0.044,13500,0.094,23122,0.069,34909,0.055
labourMarketUnemployedPersons,7323,0.135,2677,0.229,1835,0.272,720,0.440,626,0.461,1464,0.300
labourMarketPersonsWithoutProfessionalActivity,70930,0.036,30202,0.061,21544,0.072,6960,0.133,5179,0.151,7045,0.131
socioprofessionalCategoriesExecutives,8325,0.118,567,0.486,1869,0.253,621,0.444,2609,0.214,2658,0.208
socioprofessionalCategoriesLiberalAndSimilar,2485,0.218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2485,0.218
socioprofessionalCategoriesOtherSelfEmployed,11941,0.100,2357,0.233,5932,0.143,1005,0.353,2318,0.229,330,0.653
socioprofessionalCategoriesIntellectualAndManagerial,26749,0.063,200,0.792,978,0.346,394,0.560,1620,0.274,23557,0.068
socioprofessionalCategoriesIntermediate,38432,0.052,3254,0.202,10151,0.108,3303,0.189,16328,0.083,5396,0.153
socioprofessionalCategoriesSkilledNonManuals,28683,0.062,270,0.689,22122,0.071,6290,0.141,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,10567,0.107,982,0.366,8029,0.123,1555,0.287,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,16564,0.087,16564,0.087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,511,0.539,NaN,NaN,269,0.734,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,2924,0.208,1052,0.350,896,0.370,292,0.689,247,0.738,437,0.537
socioprofessionalCategoriesUnemployedOrNotWorking,78253,0.034,32879,0.058,23379,0.069,7680,0.127,5805,0.143,8509,0.119
