attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.009,0.2689,0.041,0.3193,0.036,0.0988,0.073,0.135,0.061,0.1779,0.053
sexMale,1.0,0.026,0.2197,0.07,0.3393,0.054,0.0723,0.126,0.1795,0.077,0.1893,0.075
sexFemale,1.0,0.025,0.3177,0.056,0.2995,0.056,0.1251,0.092,0.091,0.108,0.1666,0.081
age25_44,1.0,0.032,0.1815,0.091,0.2858,0.068,0.1223,0.109,0.1392,0.1,0.2711,0.071
age45_64,1.0,0.03,0.2578,0.072,0.3698,0.057,0.0826,0.128,0.1496,0.095,0.1401,0.099
age65+,1.0,0.047,0.4581,0.074,0.2865,0.094,0.0848,0.176,0.099,0.163,0.0716,0.193
citizenSwiss,1.0,0.015,0.2163,0.052,0.3678,0.038,0.0974,0.082,0.1491,0.065,0.1693,0.061
citizenUE28_AELE,1.0,0.059,0.4365,0.094,0.1537,0.159,0.0945,0.206,0.0875,0.209,0.2278,0.131
citizenOtherEuropeanCountries,1.0,0.153,0.6058,0.196,0.1295,0.434,0.1456,0.404,0.0303,0.867,0.089,0.538
citizenOtherWorldwideCountries,1.0,0.151,0.4632,0.226,0.0805,0.543,0.1162,0.446,0.114,0.447,0.2261,0.316
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.018,0.2126,0.057,0.3805,0.04,0.0961,0.088,0.1485,0.07,0.1623,0.067
migratoryBackgroundSwissWith,1.0,0.076,0.2491,0.156,0.2646,0.151,0.1067,0.241,0.156,0.198,0.2237,0.166
migratoryBackgroundFirstGeneration,1.0,0.052,0.4754,0.079,0.133,0.152,0.0996,0.177,0.0786,0.195,0.2134,0.12
migratoryBackgroundSecondGenerationAndMore,1.0,0.258,0.148,0.686,0.3255,0.443,0.2059,0.586,0.177,0.613,0.1437,0.684
migratoryBackgroundUnknown,1.0,0.38,0.2523,0.797,0.3744,0.611,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,1.0,0.019,0.1816,0.067,0.3366,0.045,0.0976,0.092,0.1656,0.068,0.2185,0.059
labourMarketUnemployedPersons,1.0,0.131,0.3303,0.23,0.2499,0.259,0.132,0.374,0.0865,0.445,0.2014,0.299
labourMarketPersonsWithoutProfessionalActivity,1.0,0.037,0.4579,0.061,0.2883,0.077,0.0977,0.137,0.072,0.159,0.0842,0.151
socioprofessionalCategoriesExecutives,1.0,0.135,0.0633,0.559,0.1835,0.317,0.0469,0.644,0.343,0.23,0.3634,0.226
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.237
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.099,0.1885,0.238,0.4335,0.152,0.1111,0.302,0.2261,0.211,0.0408,0.518
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.069,NaN,NaN,0.0532,0.309,0.0174,0.535,0.0594,0.291,0.8646,0.074
socioprofessionalCategoriesIntermediate,1.0,0.052,0.0729,0.213,0.2466,0.112,0.1121,0.167,0.44,0.082,0.1284,0.16
socioprofessionalCategoriesSkilledNonManuals,1.0,0.062,0.013,0.585,0.7771,0.071,0.2099,0.145,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.11,0.0992,0.359,0.7905,0.123,0.1103,0.342,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.084,1.0,0.084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1.0,0.518,NaN,NaN,0.4776,0.732,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.147,0.3543,0.252,0.2783,0.276,0.1178,0.433,0.1137,0.445,0.1357,0.409
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.035,0.4446,0.058,0.2843,0.073,0.1012,0.128,0.0735,0.15,0.0963,0.134
