attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,225434.0,0.009,58283.0,0.042,73626.0,0.035,21180.0,0.074,28927.0,0.061,43418.0,0.048
sexMale,0.4974,0.025,0.4001,0.071,0.534,0.052,0.3758,0.125,0.6741,0.076,0.5076,0.071
sexFemale,0.5026,0.025,0.5999,0.057,0.466,0.056,0.6242,0.095,0.3259,0.112,0.4924,0.073
age25_44,0.3896,0.032,0.2468,0.096,0.3492,0.067,0.4727,0.113,0.4093,0.1,0.5962,0.066
age45_64,0.3955,0.03,0.3807,0.074,0.4513,0.056,0.3446,0.128,0.45,0.094,0.3093,0.092
age65+,0.2149,0.044,0.3725,0.071,0.1995,0.087,0.1828,0.174,0.1408,0.167,0.0945,0.166
citizenSwiss,0.781,0.015,0.6277,0.053,0.8945,0.037,0.7884,0.083,0.8469,0.066,0.7469,0.057
citizenUE28_AELE,0.16,0.057,0.263,0.093,0.0762,0.153,0.1436,0.212,0.1181,0.196,0.1998,0.119
citizenOtherEuropeanCountries,0.0296,0.155,0.0604,0.215,0.0164,0.368,0.0405,0.431,0.0171,0.56,0.0134,0.52
citizenOtherWorldwideCountries,0.0292,0.146,0.0482,0.227,0.0128,0.387,0.0275,0.503,0.0179,0.519,0.0399,0.281
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.6764,0.018,0.5303,0.059,0.8161,0.039,0.6447,0.092,0.7408,0.071,0.6081,0.064
migratoryBackgroundSwissWith,0.101,0.069,0.0925,0.149,0.073,0.149,0.1438,0.201,0.1028,0.198,0.1381,0.139
migratoryBackgroundFirstGeneration,0.2059,0.05,0.3639,0.08,0.089,0.144,0.1954,0.184,0.1415,0.181,0.2402,0.11
migratoryBackgroundSecondGenerationAndMore,0.0124,0.219,0.0072,0.586,0.0154,0.344,0.0162,0.654,0.0116,0.616,0.0129,0.472
migratoryBackgroundUnknown,0.0043,0.353,0.0062,0.585,0.0065,0.499,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,0.6529,0.019,0.4359,0.069,0.6824,0.044,0.6374,0.094,0.7993,0.069,0.804,0.055
labourMarketUnemployedPersons,0.0325,0.135,0.0459,0.229,0.0249,0.272,0.034,0.44,0.0216,0.461,0.0337,0.3
labourMarketPersonsWithoutProfessionalActivity,0.3146,0.036,0.5182,0.061,0.2926,0.072,0.3286,0.133,0.179,0.151,0.1623,0.131
socioprofessionalCategoriesExecutives,0.0369,0.118,0.0097,0.486,0.0254,0.253,0.0293,0.444,0.0902,0.214,0.0612,0.208
socioprofessionalCategoriesLiberalAndSimilar,0.011,0.218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0572,0.218
socioprofessionalCategoriesOtherSelfEmployed,0.053,0.1,0.0404,0.233,0.0806,0.143,0.0475,0.353,0.0801,0.229,0.0076,0.653
socioprofessionalCategoriesIntellectualAndManagerial,0.1187,0.063,0.0034,0.792,0.0133,0.346,0.0186,0.56,0.056,0.274,0.5426,0.068
socioprofessionalCategoriesIntermediate,0.1705,0.052,0.0558,0.202,0.1379,0.108,0.1559,0.189,0.5645,0.083,0.1243,0.153
socioprofessionalCategoriesSkilledNonManuals,0.1272,0.062,0.0046,0.689,0.3005,0.071,0.297,0.141,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0469,0.107,0.0168,0.366,0.1091,0.123,0.0734,0.287,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.0735,0.087,0.2842,0.087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,0.0023,0.539,NaN,NaN,0.0037,0.734,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.013,0.208,0.018,0.35,0.0122,0.37,0.0138,0.689,0.0085,0.738,0.0101,0.537
socioprofessionalCategoriesUnemployedOrNotWorking,0.3471,0.034,0.5641,0.058,0.3175,0.069,0.3626,0.127,0.2007,0.143,0.196,0.119
