attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,333368,0.005,80302,0.026,67049,0.028,38213,0.040,32224,0.043,115580,0.020
sexMale,158187,0.016,34502,0.044,35135,0.041,15791,0.065,16806,0.060,55954,0.032
sexFemale,175181,0.014,45800,0.036,31914,0.043,22422,0.053,15418,0.063,59626,0.031
age25_44,133403,0.019,21451,0.059,21096,0.057,17257,0.064,10034,0.082,63565,0.030
age45_64,123866,0.019,34777,0.043,26526,0.047,13256,0.069,12485,0.070,36821,0.039
age65+,76099,0.025,24074,0.049,19426,0.053,7700,0.087,9705,0.077,15194,0.061
citizenSwiss,206279,0.011,34443,0.041,52085,0.032,26036,0.048,24511,0.048,69203,0.027
citizenUE28_AELE,90629,0.025,31708,0.045,11511,0.077,7873,0.095,6056,0.107,33481,0.044
citizenOtherEuropeanCountries,9040,0.092,3917,0.142,920,0.296,1001,0.278,326,0.485,2876,0.159
citizenOtherWorldwideCountries,27305,0.053,10142,0.090,2533,0.182,3279,0.159,1331,0.247,10020,0.089
citizenUnknown,116,0.858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,113676,0.019,15022,0.063,35013,0.040,13214,0.068,15103,0.062,35324,0.040
migratoryBackgroundSwissWith,91348,0.023,19099,0.056,16680,0.060,12666,0.070,9242,0.081,33661,0.041
migratoryBackgroundFirstGeneration,119169,0.021,44261,0.039,12539,0.076,11059,0.082,6900,0.102,44411,0.038
migratoryBackgroundSecondGenerationAndMore,7786,0.096,1526,0.225,2425,0.169,1117,0.257,799,0.295,1918,0.195
migratoryBackgroundUnknown,1390,0.216,394,0.421,393,0.400,157,0.636,180,0.577,266,0.501
labourMarketEmployedPersons,194588,0.013,36285,0.042,36605,0.040,21565,0.055,18442,0.058,81690,0.025
labourMarketUnemployedPersons,22870,0.056,5737,0.118,4240,0.131,3095,0.156,1295,0.244,8502,0.092
labourMarketPersonsWithoutProfessionalActivity,115910,0.020,38280,0.040,26203,0.047,13552,0.068,12487,0.070,25388,0.050
socioprofessionalCategoriesExecutives,11690,0.071,868,0.280,1471,0.205,670,0.298,1476,0.201,7205,0.091
socioprofessionalCategoriesLiberalAndSimilar,7209,0.093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7209,0.093
socioprofessionalCategoriesOtherSelfEmployed,13577,0.069,2873,0.158,3840,0.131,2042,0.180,2458,0.163,2365,0.168
socioprofessionalCategoriesIntellectualAndManagerial,49986,0.034,404,0.400,1193,0.227,862,0.274,960,0.254,46567,0.035
socioprofessionalCategoriesIntermediate,42750,0.037,4244,0.130,5495,0.107,3872,0.131,13279,0.068,15860,0.065
socioprofessionalCategoriesSkilledNonManuals,30532,0.045,585,0.329,18511,0.057,11435,0.076,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,8036,0.092,865,0.278,5329,0.113,1842,0.197,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,24493,0.052,24493,0.052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,810,0.321,249,0.578,NaN,NaN,231,0.581,NaN,NaN,268,0.583
socioprofessionalCategoriesNotAttributable,5504,0.112,1704,0.207,703,0.300,611,0.342,270,0.478,2216,0.179
socioprofessionalCategoriesUnemployedOrNotWorking,138780,0.018,44017,0.037,30443,0.044,16647,0.062,13782,0.067,33890,0.043
