attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,337359,0.005,73244,0.028,76666,0.026,37467,0.041,26970,0.047,123011,0.019
sexMale,159739,0.016,32088,0.046,38372,0.040,15761,0.066,13833,0.067,59684,0.031
sexFemale,177620,0.014,41156,0.038,38294,0.039,21706,0.053,13137,0.068,63327,0.029
age25_44,133380,0.019,21784,0.059,24362,0.053,14988,0.069,8621,0.089,63624,0.030
age45_64,126853,0.018,30966,0.045,29486,0.044,13644,0.068,10110,0.078,42647,0.036
age65+,77126,0.025,20494,0.055,22818,0.050,8836,0.083,8238,0.085,16740,0.059
citizenSwiss,208414,0.011,29440,0.045,59079,0.030,24474,0.050,20496,0.053,74925,0.026
citizenUE28_AELE,86103,0.025,28946,0.048,13089,0.073,8128,0.094,4360,0.126,31580,0.045
citizenOtherEuropeanCountries,14198,0.073,4800,0.132,1443,0.234,1209,0.259,551,0.366,6195,0.108
citizenOtherWorldwideCountries,28464,0.050,9976,0.087,3055,0.159,3638,0.146,1538,0.225,10258,0.085
citizenUnknown,180,0.729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,111004,0.020,11794,0.073,37144,0.039,11678,0.073,12284,0.069,38105,0.039
migratoryBackgroundSwissWith,95641,0.022,17235,0.059,21262,0.053,12549,0.071,8083,0.087,36512,0.039
migratoryBackgroundFirstGeneration,121463,0.021,42308,0.040,14502,0.070,12218,0.077,5885,0.110,46550,0.037
migratoryBackgroundSecondGenerationAndMore,7262,0.101,1378,0.247,3062,0.154,755,0.314,571,0.358,1497,0.223
migratoryBackgroundUnknown,1989,0.183,530,0.365,696,0.307,267,0.494,148,0.637,348,0.442
labourMarketEmployedPersons,193033,0.013,32118,0.045,40485,0.038,19029,0.058,15179,0.064,86222,0.024
labourMarketUnemployedPersons,26078,0.052,5952,0.114,5444,0.115,3503,0.146,1536,0.217,9643,0.087
labourMarketPersonsWithoutProfessionalActivity,118248,0.020,35175,0.042,30737,0.043,14936,0.065,10254,0.077,27147,0.048
socioprofessionalCategoriesExecutives,8097,0.087,456,0.394,887,0.265,379,0.408,749,0.288,5626,0.104
socioprofessionalCategoriesLiberalAndSimilar,9397,0.081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9397,0.081
socioprofessionalCategoriesOtherSelfEmployed,15770,0.065,3321,0.147,5155,0.114,2806,0.156,2425,0.162,2063,0.180
socioprofessionalCategoriesIntellectualAndManagerial,51772,0.033,596,0.334,1798,0.187,881,0.271,1199,0.229,47299,0.035
socioprofessionalCategoriesIntermediate,46117,0.036,4015,0.132,5114,0.112,5598,0.109,10630,0.077,20760,0.056
socioprofessionalCategoriesSkilledNonManuals,30206,0.045,1622,0.200,21171,0.054,7413,0.095,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,8884,0.088,1473,0.217,5850,0.108,1561,0.215,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,19801,0.058,19801,0.058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,524,0.391,143,0.784,NaN,NaN,NaN,NaN,NaN,NaN,217,0.605
socioprofessionalCategoriesNotAttributable,2465,0.167,691,0.323,429,0.382,308,0.468,177,0.605,860,0.286
socioprofessionalCategoriesUnemployedOrNotWorking,144326,0.017,41127,0.039,36181,0.040,18438,0.059,11791,0.073,36789,0.041
