attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,336832,0.005,0.235,0.027,0.1955,0.029,0.1129,0.04,0.1006,0.042,0.356,0.02
sexMale,159859,0.016,0.2142,0.045,0.2102,0.043,0.0992,0.066,0.117,0.058,0.3594,0.032
sexFemale,176973,0.014,0.2537,0.037,0.1823,0.042,0.1252,0.053,0.0858,0.063,0.353,0.03
age25_44,134064,0.019,0.1726,0.058,0.1512,0.058,0.1197,0.067,0.0802,0.08,0.4762,0.031
age45_64,125941,0.019,0.257,0.045,0.2063,0.048,0.1059,0.07,0.1091,0.067,0.3218,0.038
age65+,76827,0.025,0.3076,0.049,0.2551,0.053,0.1124,0.082,0.1224,0.078,0.2025,0.061
citizenSwiss,208529,0.011,0.1662,0.041,0.2459,0.032,0.1233,0.048,0.1242,0.047,0.3404,0.027
citizenUE28_AELE,90553,0.025,0.3331,0.047,0.1245,0.079,0.091,0.095,0.0717,0.105,0.3798,0.044
citizenOtherEuropeanCountries,9409,0.094,0.4632,0.143,0.0795,0.328,0.1084,0.293,0.0143,0.74,0.3346,0.155
citizenOtherWorldwideCountries,28197,0.053,0.3521,0.091,0.0906,0.18,0.1074,0.165,0.0473,0.253,0.4027,0.084
citizenUnknown,143,0.794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,115152,0.019,0.1335,0.063,0.2872,0.041,0.1143,0.069,0.1464,0.059,0.3185,0.039
migratoryBackgroundSwissWith,91875,0.023,0.207,0.056,0.1912,0.058,0.1357,0.071,0.0961,0.083,0.3701,0.041
migratoryBackgroundFirstGeneration,121387,0.021,0.356,0.04,0.1004,0.077,0.0914,0.083,0.0593,0.101,0.3929,0.037
migratoryBackgroundSecondGenerationAndMore,6720,0.105,0.1705,0.268,0.356,0.176,0.1799,0.253,0.1128,0.306,0.1807,0.244
migratoryBackgroundUnknown,1698,0.199,0.2314,0.435,0.3763,0.314,0.0554,0.859,0.1402,0.516,0.1961,0.458
labourMarketEmployedPersons,199030,0.013,0.1804,0.043,0.1811,0.041,0.1053,0.056,0.1015,0.055,0.4317,0.025
labourMarketUnemployedPersons,20209,0.061,0.2608,0.124,0.1692,0.147,0.1475,0.164,0.0705,0.233,0.3521,0.103
labourMarketPersonsWithoutProfessionalActivity,117593,0.02,0.3229,0.04,0.2244,0.047,0.1198,0.067,0.1042,0.07,0.2287,0.049
socioprofessionalCategoriesExecutives,11857,0.072,0.0679,0.299,0.1095,0.22,0.0675,0.287,0.1318,0.198,0.6233,0.091
socioprofessionalCategoriesLiberalAndSimilar,7365,0.093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.093
socioprofessionalCategoriesOtherSelfEmployed,14702,0.068,0.2264,0.149,0.2672,0.13,0.1515,0.177,0.1833,0.156,0.1717,0.169
socioprofessionalCategoriesIntellectualAndManagerial,53203,0.033,0.012,0.325,0.0158,0.27,0.0184,0.265,0.0236,0.225,0.9302,0.034
socioprofessionalCategoriesIntermediate,46796,0.036,0.0991,0.126,0.1231,0.106,0.0879,0.129,0.3077,0.066,0.3822,0.061
socioprofessionalCategoriesSkilledNonManuals,30033,0.045,0.0151,0.385,0.627,0.057,0.3579,0.078,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,6966,0.1,0.1344,0.271,0.6588,0.123,0.2069,0.227,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,23808,0.054,1.0,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,586,0.372,NaN,NaN,0.4795,0.56,0.2338,0.722,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,3714,0.138,0.3288,0.248,0.137,0.364,0.1379,0.371,0.0727,0.522,0.3234,0.241
socioprofessionalCategoriesUnemployedOrNotWorking,137802,0.018,0.3138,0.038,0.2163,0.045,0.1238,0.062,0.0993,0.067,0.2468,0.043
