attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,337359.0,0.005,73244.0,0.028,76666.0,0.026,37467.0,0.041,26970.0,0.047,123011.0,0.019
sexMale,0.4735,0.016,0.4381,0.046,0.5005,0.04,0.4207,0.066,0.5129,0.067,0.4852,0.031
sexFemale,0.5265,0.014,0.5619,0.038,0.4995,0.039,0.5793,0.053,0.4871,0.068,0.5148,0.029
age25_44,0.3954,0.019,0.2974,0.059,0.3178,0.053,0.4,0.069,0.3197,0.089,0.5172,0.03
age45_64,0.376,0.018,0.4228,0.045,0.3846,0.044,0.3642,0.068,0.3749,0.078,0.3467,0.036
age65+,0.2286,0.025,0.2798,0.055,0.2976,0.05,0.2358,0.083,0.3055,0.085,0.1361,0.059
citizenSwiss,0.6178,0.011,0.4019,0.045,0.7706,0.03,0.6532,0.05,0.76,0.053,0.6091,0.026
citizenUE28_AELE,0.2552,0.025,0.3952,0.048,0.1707,0.073,0.2169,0.094,0.1617,0.126,0.2567,0.045
citizenOtherEuropeanCountries,0.0421,0.073,0.0655,0.132,0.0188,0.234,0.0323,0.259,0.0204,0.366,0.0504,0.108
citizenOtherWorldwideCountries,0.0844,0.05,0.1362,0.087,0.0398,0.159,0.0971,0.146,0.057,0.225,0.0834,0.085
citizenUnknown,0.0005,0.729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.329,0.02,0.161,0.073,0.4845,0.039,0.3117,0.073,0.4555,0.069,0.3098,0.039
migratoryBackgroundSwissWith,0.2835,0.022,0.2353,0.059,0.2773,0.053,0.3349,0.071,0.2997,0.087,0.2968,0.039
migratoryBackgroundFirstGeneration,0.36,0.021,0.5776,0.04,0.1892,0.07,0.3261,0.077,0.2182,0.11,0.3784,0.037
migratoryBackgroundSecondGenerationAndMore,0.0215,0.101,0.0188,0.247,0.0399,0.154,0.0202,0.314,0.0212,0.358,0.0122,0.223
migratoryBackgroundUnknown,0.0059,0.183,0.0072,0.365,0.0091,0.307,0.0071,0.494,0.0055,0.637,0.0028,0.442
labourMarketEmployedPersons,0.5722,0.013,0.4385,0.045,0.5281,0.038,0.5079,0.058,0.5628,0.064,0.7009,0.024
labourMarketUnemployedPersons,0.0773,0.052,0.0813,0.114,0.071,0.115,0.0935,0.146,0.057,0.217,0.0784,0.087
labourMarketPersonsWithoutProfessionalActivity,0.3505,0.02,0.4802,0.042,0.4009,0.043,0.3986,0.065,0.3802,0.077,0.2207,0.048
socioprofessionalCategoriesExecutives,0.024,0.087,0.0062,0.394,0.0116,0.265,0.0101,0.408,0.0278,0.288,0.0457,0.104
socioprofessionalCategoriesLiberalAndSimilar,0.0279,0.081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0764,0.081
socioprofessionalCategoriesOtherSelfEmployed,0.0467,0.065,0.0453,0.147,0.0672,0.114,0.0749,0.156,0.0899,0.162,0.0168,0.18
socioprofessionalCategoriesIntellectualAndManagerial,0.1535,0.033,0.0081,0.334,0.0235,0.187,0.0235,0.271,0.0445,0.229,0.3845,0.035
socioprofessionalCategoriesIntermediate,0.1367,0.036,0.0548,0.132,0.0667,0.112,0.1494,0.109,0.3941,0.077,0.1688,0.056
socioprofessionalCategoriesSkilledNonManuals,0.0895,0.045,0.0221,0.2,0.2761,0.054,0.1979,0.095,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0263,0.088,0.0201,0.217,0.0763,0.108,0.0417,0.215,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.0587,0.058,0.2703,0.058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,0.0016,0.391,0.002,0.784,NaN,NaN,NaN,NaN,NaN,NaN,0.0018,0.605
socioprofessionalCategoriesNotAttributable,0.0073,0.167,0.0094,0.323,0.0056,0.382,0.0082,0.468,0.0066,0.605,0.007,0.286
socioprofessionalCategoriesUnemployedOrNotWorking,0.4278,0.017,0.5615,0.039,0.4719,0.04,0.4921,0.059,0.4372,0.073,0.2991,0.041
