attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,30340,0.022,7336,0.121,10324,0.096,2456,0.227,6972,0.121,3252,0.195
sexMale,15447,0.070,2762,0.221,5263,0.150,1148,0.351,4390,0.159,1883,0.264
sexFemale,14893,0.070,4574,0.156,5061,0.151,1308,0.306,2582,0.220,1369,0.304
age25_44,10885,0.096,1452,0.313,3696,0.190,1314,0.320,2533,0.226,1890,0.266
age45_64,11703,0.087,2964,0.209,4183,0.168,759,0.422,2888,0.201,910,0.376
age65+,7752,0.109,2920,0.197,2444,0.216,383,0.557,1552,0.272,453,0.514
citizenSwiss,23036,0.042,4318,0.164,8637,0.108,1427,0.305,6040,0.132,2614,0.217
citizenUE28_AELE,5001,0.153,1796,0.265,1291,0.323,832,0.398,605,0.472,478,0.547
citizenOtherEuropeanCountries,1567,0.307,594,0.491,357,0.700,166,0.867,289,0.736,NaN,NaN
citizenOtherWorldwideCountries,736,0.450,627,0.492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,19709,0.052,3455,0.186,7746,0.116,1140,0.344,5156,0.144,2212,0.237
migratoryBackgroundSwissWith,3255,0.194,791,0.408,891,0.391,288,0.685,883,0.383,402,0.580
migratoryBackgroundFirstGeneration,6223,0.136,2841,0.213,1137,0.345,951,0.366,739,0.434,556,0.505
migratoryBackgroundSecondGenerationAndMore,1002,0.390,NaN,NaN,498,0.567,NaN,NaN,194,0.876,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,18804,0.057,3128,0.203,6332,0.135,1691,0.279,5039,0.149,2614,0.219
labourMarketUnemployedPersons,975,0.395,288,0.744,285,0.733,NaN,NaN,207,0.869,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,10561,0.091,3920,0.171,3707,0.177,690,0.431,1727,0.262,516,0.503
socioprofessionalCategoriesExecutives,435,0.564,201,0.881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesLiberalAndSimilar,358,0.614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,358,0.614
socioprofessionalCategoriesOtherSelfEmployed,2496,0.226,378,0.613,1102,0.349,299,0.692,648,0.441,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,2596,0.217,NaN,NaN,447,0.535,NaN,NaN,625,0.453,1453,0.297
socioprofessionalCategoriesIntermediate,5671,0.140,291,0.689,525,0.497,593,0.469,3595,0.181,667,0.456
socioprofessionalCategoriesSkilledNonManuals,3121,0.202,NaN,NaN,2661,0.219,334,0.649,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,2179,0.250,314,0.645,1431,0.317,433,0.563,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1533,0.295,1533,0.295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,373,0.615,246,0.735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,11536,0.086,4208,0.166,3992,0.171,765,0.411,1934,0.250,638,0.458
