attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,30340.0,0.022,0.2418,0.121,0.3403,0.096,0.0809,0.227,0.2298,0.121,0.1072,0.195
sexMale,15447.0,0.07,0.1788,0.221,0.3407,0.15,0.0743,0.351,0.2842,0.159,0.1219,0.264
sexFemale,14893.0,0.07,0.3071,0.156,0.3398,0.151,0.0878,0.306,0.1734,0.22,0.0919,0.304
age25_44,10885.0,0.096,0.1334,0.313,0.3395,0.19,0.1207,0.32,0.2327,0.226,0.1736,0.266
age45_64,11703.0,0.087,0.2533,0.209,0.3574,0.168,0.0649,0.422,0.2468,0.201,0.0778,0.376
age65+,7752.0,0.109,0.3767,0.197,0.3153,0.216,0.0494,0.557,0.2002,0.272,0.0584,0.514
citizenSwiss,23036.0,0.042,0.1874,0.164,0.3749,0.108,0.0619,0.305,0.2622,0.132,0.1135,0.217
citizenUE28_AELE,5001.0,0.153,0.3591,0.265,0.2581,0.323,0.1664,0.398,0.121,0.472,0.0956,0.547
citizenOtherEuropeanCountries,1567.0,0.307,0.3791,0.491,0.2278,0.7,0.1059,0.867,0.1844,0.736,NaN,NaN
citizenOtherWorldwideCountries,736.0,0.45,0.8519,0.492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,19709.0,0.052,0.1753,0.186,0.393,0.116,0.0578,0.344,0.2616,0.144,0.1122,0.237
migratoryBackgroundSwissWith,3255.0,0.194,0.243,0.408,0.2737,0.391,0.0885,0.685,0.2713,0.383,0.1235,0.58
migratoryBackgroundFirstGeneration,6223.0,0.136,0.4565,0.213,0.1827,0.345,0.1528,0.366,0.1188,0.434,0.0893,0.505
migratoryBackgroundSecondGenerationAndMore,1002.0,0.39,NaN,NaN,0.497,0.567,NaN,NaN,0.1936,0.876,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,18804.0,0.057,0.1663,0.203,0.3367,0.135,0.0899,0.279,0.268,0.149,0.139,0.219
labourMarketUnemployedPersons,975.0,0.395,0.2954,0.744,0.2923,0.733,NaN,NaN,0.2123,0.869,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,10561.0,0.091,0.3712,0.171,0.351,0.177,0.0653,0.431,0.1635,0.262,0.0489,0.503
socioprofessionalCategoriesExecutives,435.0,0.564,0.4621,0.881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesLiberalAndSimilar,358.0,0.614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.614
socioprofessionalCategoriesOtherSelfEmployed,2496.0,0.226,0.1514,0.613,0.4415,0.349,0.1198,0.692,0.2596,0.441,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,2596.0,0.217,NaN,NaN,0.1722,0.535,NaN,NaN,0.2408,0.453,0.5597,0.297
socioprofessionalCategoriesIntermediate,5671.0,0.14,0.0513,0.689,0.0926,0.497,0.1046,0.469,0.6339,0.181,0.1176,0.456
socioprofessionalCategoriesSkilledNonManuals,3121.0,0.202,NaN,NaN,0.8526,0.219,0.107,0.649,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,2179.0,0.25,0.1441,0.645,0.6567,0.317,0.1987,0.563,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1533.0,0.295,1.0,0.295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,373.0,0.615,0.6595,0.735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,11536.0,0.086,0.3648,0.166,0.346,0.171,0.0663,0.411,0.1676,0.25,0.0553,0.458
