attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.024,0.2372,0.123,0.4339,0.08,0.0872,0.216,0.1438,0.159,0.0979,0.201
sexMale,1.0,0.069,0.197,0.205,0.4298,0.127,0.0802,0.325,0.1892,0.198,0.1039,0.278
sexFemale,1.0,0.072,0.279,0.168,0.438,0.129,0.0946,0.3,0.0966,0.296,0.0917,0.305
age25_44,1.0,0.095,0.1624,0.283,0.4323,0.16,0.0924,0.363,0.1274,0.301,0.1855,0.253
age45_64,1.0,0.087,0.2228,0.221,0.4612,0.144,0.0861,0.363,0.1688,0.245,0.0612,0.409
age65+,1.0,0.111,0.361,0.202,0.3952,0.192,0.0818,0.44,0.1285,0.348,0.0336,0.681
citizenSwiss,1.0,0.043,0.1858,0.163,0.4788,0.09,0.0839,0.252,0.157,0.176,0.0945,0.235
citizenUE28_AELE,1.0,0.157,0.2946,0.314,0.3137,0.292,0.1179,0.483,0.1381,0.432,0.1359,0.444
citizenOtherEuropeanCountries,1.0,0.295,0.6986,0.351,0.2178,0.645,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,1.0,0.463,0.5104,0.626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.053,0.17,0.188,0.4906,0.099,0.0762,0.289,0.1645,0.188,0.0987,0.25
migratoryBackgroundSwissWith,1.0,0.189,0.2718,0.375,0.4231,0.3,0.1263,0.555,0.1031,0.609,0.076,0.737
migratoryBackgroundFirstGeneration,1.0,0.139,0.426,0.229,0.2461,0.301,0.1068,0.456,0.1078,0.445,0.1134,0.444
migratoryBackgroundSecondGenerationAndMore,1.0,0.365,0.2936,0.693,0.5523,0.5,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,1.0,0.652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,1.0,0.056,0.1688,0.198,0.4432,0.109,0.0736,0.301,0.1787,0.183,0.1357,0.216
labourMarketUnemployedPersons,1.0,0.654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,1.0,0.091,0.3479,0.176,0.4214,0.158,0.1106,0.328,0.0844,0.369,0.0356,0.585
socioprofessionalCategoriesExecutives,1.0,0.399,NaN,NaN,NaN,NaN,NaN,NaN,0.5257,0.556,0.2178,0.863
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.864
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.276,0.1273,0.789,0.5173,0.391,NaN,NaN,0.2948,0.514,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.239,NaN,NaN,NaN,NaN,NaN,NaN,0.0788,0.866,0.8264,0.266
socioprofessionalCategoriesIntermediate,1.0,0.143,0.0955,0.498,0.3037,0.277,0.0772,0.557,0.429,0.227,0.0949,0.515
socioprofessionalCategoriesSkilledNonManuals,1.0,0.168,NaN,NaN,0.8826,0.18,0.1174,0.515,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.241,NaN,NaN,0.8681,0.26,0.1324,0.689,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.26,1.0,0.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.455,0.5723,0.614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.089,0.352,0.172,0.4182,0.156,0.1101,0.323,0.0851,0.362,0.0345,0.585
