attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,30340.0,0.022,7336.0,0.121,10324.0,0.096,2456.0,0.227,6972.0,0.121,3252.0,0.195
sexMale,0.5091,0.07,0.3765,0.221,0.5098,0.15,0.4674,0.351,0.6297,0.159,0.579,0.264
sexFemale,0.4909,0.07,0.6235,0.156,0.4902,0.151,0.5326,0.306,0.3703,0.22,0.421,0.304
age25_44,0.3588,0.096,0.1979,0.313,0.358,0.19,0.535,0.32,0.3633,0.226,0.5812,0.266
age45_64,0.3857,0.087,0.404,0.209,0.4052,0.168,0.309,0.422,0.4142,0.201,0.2798,0.376
age65+,0.2555,0.109,0.398,0.197,0.2367,0.216,0.1559,0.557,0.2226,0.272,0.1393,0.514
citizenSwiss,0.7593,0.042,0.5886,0.164,0.8366,0.108,0.581,0.305,0.8663,0.132,0.8038,0.217
citizenUE28_AELE,0.1648,0.153,0.2448,0.265,0.125,0.323,0.3388,0.398,0.0868,0.472,0.147,0.547
citizenOtherEuropeanCountries,0.0516,0.307,0.081,0.491,0.0346,0.7,0.0676,0.867,0.0415,0.736,NaN,NaN
citizenOtherWorldwideCountries,0.0243,0.45,0.0855,0.492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.6496,0.052,0.471,0.186,0.7503,0.116,0.4642,0.344,0.7395,0.144,0.6802,0.237
migratoryBackgroundSwissWith,0.1073,0.194,0.1078,0.408,0.0863,0.391,0.1173,0.685,0.1266,0.383,0.1236,0.58
migratoryBackgroundFirstGeneration,0.2051,0.136,0.3873,0.213,0.1101,0.345,0.3872,0.366,0.106,0.434,0.171,0.505
migratoryBackgroundSecondGenerationAndMore,0.033,0.39,NaN,NaN,0.0482,0.567,NaN,NaN,0.0278,0.876,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,0.6198,0.057,0.4264,0.203,0.6133,0.135,0.6885,0.279,0.7227,0.149,0.8038,0.219
labourMarketUnemployedPersons,0.0321,0.395,0.0393,0.744,0.0276,0.733,NaN,NaN,0.0297,0.869,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,0.3481,0.091,0.5344,0.171,0.3591,0.177,0.2809,0.431,0.2477,0.262,0.1587,0.503
socioprofessionalCategoriesExecutives,0.0143,0.564,0.0274,0.881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesLiberalAndSimilar,0.0118,0.614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1101,0.614
socioprofessionalCategoriesOtherSelfEmployed,0.0823,0.226,0.0515,0.613,0.1067,0.349,0.1217,0.692,0.0929,0.441,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,0.0856,0.217,NaN,NaN,0.0433,0.535,NaN,NaN,0.0896,0.453,0.4468,0.297
socioprofessionalCategoriesIntermediate,0.1869,0.14,0.0397,0.689,0.0509,0.497,0.2414,0.469,0.5156,0.181,0.2051,0.456
socioprofessionalCategoriesSkilledNonManuals,0.1029,0.202,NaN,NaN,0.2577,0.219,0.136,0.649,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0718,0.25,0.0428,0.645,0.1386,0.317,0.1763,0.563,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.0505,0.295,0.209,0.295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.0123,0.615,0.0335,0.735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,0.3802,0.086,0.5736,0.166,0.3867,0.171,0.3115,0.411,0.2774,0.25,0.1962,0.458
