attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,151659,0.010,28038,0.063,55382,0.039,14664,0.090,31624,0.056,21952,0.071
sexMale,75541,0.031,10817,0.109,27955,0.061,6023,0.146,17782,0.078,12962,0.095
sexFemale,76118,0.030,17220,0.083,27426,0.062,8640,0.118,13841,0.090,8990,0.116
age25_44,50262,0.043,6498,0.147,16784,0.084,5241,0.157,10939,0.104,10800,0.106
age45_64,59042,0.037,9799,0.114,22301,0.069,5589,0.149,13565,0.091,7789,0.123
age65+,42355,0.046,11741,0.100,16296,0.082,3834,0.177,7120,0.126,3363,0.186
citizenSwiss,122954,0.016,17464,0.080,50039,0.041,10587,0.104,28468,0.059,16395,0.081
citizenUE28_AELE,22605,0.075,7857,0.133,4456,0.178,3442,0.205,2630,0.228,4219,0.180
citizenOtherEuropeanCountries,3037,0.223,1169,0.368,555,0.517,510,0.536,280,0.731,522,0.538
citizenOtherWorldwideCountries,3063,0.225,1547,0.323,331,0.689,X,NaN,245,0.789,816,0.425
citizenUnknown,X,NaN,X,NaN,X,NaN,X,NaN,X,NaN,X,NaN
migratoryBackgroundSwissWithout,107449,0.020,13634,0.092,45521,0.044,8413,0.117,25874,0.062,14008,0.089
migratoryBackgroundSwissWith,14697,0.087,3659,0.182,4045,0.172,2111,0.238,2525,0.216,2357,0.224
migratoryBackgroundFirstGeneration,27435,0.068,10220,0.118,4714,0.173,4039,0.189,2977,0.216,5485,0.159
migratoryBackgroundSecondGenerationAndMore,1147,0.353,231,0.793,628,0.483,X,NaN,179,0.867,X,NaN
migratoryBackgroundUnknown,930,0.373,294,0.689,474,0.517,X,NaN,X,NaN,X,NaN
labourMarketEmployedPersons,93430,0.025,11933,0.104,33842,0.054,8529,0.120,22425,0.069,16700,0.082
labourMarketUnemployedPersons,2980,0.219,821,0.434,947,0.381,434,0.583,328,0.646,449,0.560
labourMarketPersonsWithoutProfessionalActivity,55249,0.039,15284,0.088,20592,0.072,5700,0.147,8871,0.114,4803,0.160
socioprofessionalCategoriesExecutives,1809,0.257,X,NaN,273,0.685,X,NaN,623,0.435,771,0.388
socioprofessionalCategoriesLiberalAndSimilar,2139,0.238,X,NaN,X,NaN,X,NaN,X,NaN,2139,0.238
socioprofessionalCategoriesOtherSelfEmployed,12183,0.098,1209,0.333,5248,0.151,1116,0.337,4246,0.168,364,0.584
socioprofessionalCategoriesIntellectualAndManagerial,14120,0.089,239,0.733,964,0.359,525,0.484,2669,0.212,9722,0.109
socioprofessionalCategoriesIntermediate,28081,0.061,1473,0.303,5660,0.147,2774,0.209,14721,0.087,3453,0.195
socioprofessionalCategoriesSkilledNonManuals,17817,0.079,231,0.730,14675,0.088,2912,0.210,X,NaN,X,NaN
socioprofessionalCategoriesSkilledManuals,8077,0.125,682,0.457,6360,0.140,1036,0.367,X,NaN,X,NaN
socioprofessionalCategoriesUnskilled,7526,0.133,7526,0.133,X,NaN,X,NaN,X,NaN,X,NaN
socioprofessionalCategoriesApprentices,197,0.872,X,NaN,X,NaN,X,NaN,X,NaN,X,NaN
socioprofessionalCategoriesNotAttributable,1481,0.296,444,0.563,516,0.483,X,NaN,166,0.864,251,0.738
socioprofessionalCategoriesUnemployedOrNotWorking,58229,0.038,16105,0.086,21539,0.071,6134,0.142,9198,0.112,5252,0.154
