attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,147339,0.010,31228,0.058,60908,0.036,15227,0.087,19710,0.074,20266,0.074
sexMale,73151,0.031,11039,0.107,30929,0.057,6373,0.141,13076,0.093,11735,0.100
sexFemale,74188,0.030,20190,0.073,29979,0.058,8854,0.115,6634,0.134,8531,0.118
age25_44,50035,0.043,6373,0.143,18568,0.078,5720,0.151,8642,0.117,10732,0.105
age45_64,58648,0.037,11607,0.102,26813,0.062,5708,0.144,7940,0.122,6580,0.136
age65+,38656,0.049,13248,0.092,15528,0.084,3799,0.176,3128,0.194,2954,0.202
citizenSwiss,119769,0.017,20971,0.071,54507,0.039,11801,0.098,17732,0.078,14757,0.087
citizenUE28_AELE,22584,0.073,7819,0.130,5348,0.157,2966,0.218,1709,0.284,4742,0.168
citizenOtherEuropeanCountries,2657,0.229,1366,0.324,604,0.485,280,0.683,NaN,NaN,337,0.652
citizenOtherWorldwideCountries,2330,0.244,1072,0.363,449,0.565,179,0.864,199,0.793,431,0.567
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,106419,0.020,17795,0.078,49567,0.041,10222,0.106,16071,0.083,12763,0.094
migratoryBackgroundSwissWith,12911,0.093,3110,0.195,4671,0.158,1548,0.278,1589,0.275,1994,0.246
migratoryBackgroundFirstGeneration,26310,0.067,10061,0.114,5802,0.152,3160,0.212,1873,0.270,5414,0.157
migratoryBackgroundSecondGenerationAndMore,1212,0.322,196,0.788,551,0.486,265,0.684,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,486,0.519,NaN,NaN,317,0.649,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,95753,0.024,14326,0.092,39581,0.049,9712,0.112,16309,0.083,15825,0.085
labourMarketUnemployedPersons,2435,0.227,651,0.446,927,0.365,235,0.731,227,0.730,395,0.588
labourMarketPersonsWithoutProfessionalActivity,49151,0.042,16252,0.083,20400,0.072,5279,0.150,3173,0.193,4046,0.173
socioprofessionalCategoriesExecutives,5063,0.155,599,0.492,1789,0.260,336,0.657,1370,0.298,968,0.352
socioprofessionalCategoriesLiberalAndSimilar,2030,0.247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2030,0.247
socioprofessionalCategoriesOtherSelfEmployed,10468,0.105,869,0.379,5935,0.141,907,0.365,2143,0.236,613,0.456
socioprofessionalCategoriesIntellectualAndManagerial,11265,0.102,NaN,NaN,808,0.386,NaN,NaN,1063,0.342,9198,0.114
socioprofessionalCategoriesIntermediate,25893,0.064,1822,0.269,7711,0.125,2668,0.216,11203,0.102,2489,0.229
socioprofessionalCategoriesSkilledNonManuals,18653,0.077,NaN,NaN,14522,0.088,4037,0.176,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,8828,0.118,744,0.427,7046,0.132,1037,0.365,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,8098,0.123,8098,0.123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,5334,0.154,1912,0.264,1770,0.265,595,0.455,530,0.482,527,0.509
socioprofessionalCategoriesUnemployedOrNotWorking,51586,0.040,16903,0.081,21327,0.070,5515,0.147,3401,0.187,4441,0.166
