attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.0,0.1813,0.001,0.4233,0.0,0.1074,0.001,0.1578,0.001,0.1302,0.001
sexMale,1.0,0.0,0.1457,0.001,0.4338,0.001,0.0773,0.001,0.1957,0.001,0.1475,0.001
sexFemale,1.0,0.0,0.2165,0.001,0.4128,0.001,0.1373,0.001,0.1202,0.001,0.1131,0.001
age25_44,1.0,0.0,0.1283,0.001,0.3795,0.001,0.1124,0.002,0.1883,0.001,0.1914,0.001
age45_64,1.0,0.0,0.1498,0.001,0.4496,0.001,0.1034,0.001,0.1762,0.001,0.1209,0.001
age65+,1.0,0.0,0.2903,0.001,0.4383,0.001,0.1071,0.002,0.0946,0.002,0.0697,0.002
citizenSwiss,1.0,0.0,0.1424,0.001,0.468,0.0,0.0996,0.001,0.1707,0.001,0.1193,0.001
citizenUE28_AELE,1.0,0.001,0.3259,0.001,0.237,0.002,0.1475,0.002,0.1138,0.002,0.1757,0.002
citizenOtherEuropeanCountries,1.0,0.003,0.3511,0.005,0.3278,0.005,0.1289,0.007,NaN,NaN,0.1329,0.007
citizenOtherWorldwideCountries,1.0,0.002,0.5336,0.003,0.1404,0.006,0.0778,0.009,NaN,NaN,0.2161,0.005
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.0,0.1318,0.001,0.4811,0.0,0.097,0.001,0.1734,0.001,0.1167,0.001
migratoryBackgroundSwissWith,1.0,0.001,0.221,0.002,0.3634,0.002,0.1224,0.003,0.1479,0.002,0.1454,0.002
migratoryBackgroundFirstGeneration,1.0,0.001,0.3552,0.001,0.2236,0.001,0.1409,0.002,0.0981,0.002,0.1822,0.002
migratoryBackgroundSecondGenerationAndMore,1.0,0.003,0.1416,0.009,0.4432,0.005,0.1368,0.009,0.2216,0.007,NaN,NaN
migratoryBackgroundUnknown,1.0,0.004,0.2355,0.009,0.5318,0.006,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,1.0,0.0,0.1234,0.001,0.4162,0.0,0.104,0.001,0.1962,0.001,0.1603,0.001
labourMarketUnemployedPersons,1.0,0.003,0.3267,0.005,0.3236,0.005,NaN,NaN,NaN,NaN,0.2035,0.006
labourMarketPersonsWithoutProfessionalActivity,1.0,0.0,0.2813,0.001,0.4398,0.001,0.1148,0.001,0.0912,0.002,0.0729,0.002
socioprofessionalCategoriesExecutives,1.0,0.002,0.1345,0.005,0.197,0.004,0.072,0.006,0.3611,0.003,0.2354,0.003
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.003
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.001,0.0919,0.004,0.5238,0.001,0.1003,0.003,0.2376,0.002,0.0463,0.005
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.001,NaN,NaN,0.0566,0.004,0.0285,0.006,0.1173,0.003,0.7916,0.001
socioprofessionalCategoriesIntermediate,1.0,0.001,0.0638,0.003,0.2958,0.001,0.0882,0.002,0.4593,0.001,0.0929,0.002
socioprofessionalCategoriesSkilledNonManuals,1.0,0.001,NaN,NaN,0.7731,0.001,0.2234,0.002,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.001,0.0319,0.007,0.8585,0.001,0.1097,0.004,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.001,1.0,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1.0,0.009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.002,0.2622,0.004,0.4379,0.003,0.1018,0.006,0.0848,0.007,0.1133,0.006
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.0,0.2829,0.001,0.4356,0.001,0.1134,0.001,0.0905,0.002,0.0776,0.002
