attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,147339.0,0.01,31228.0,0.058,60908.0,0.036,15227.0,0.087,19710.0,0.074,20266.0,0.074
sexMale,0.4965,0.031,0.3535,0.107,0.5078,0.057,0.4185,0.141,0.6634,0.093,0.579,0.1
sexFemale,0.5035,0.03,0.6465,0.073,0.4922,0.058,0.5815,0.115,0.3366,0.134,0.421,0.118
age25_44,0.3396,0.043,0.2041,0.143,0.3049,0.078,0.3756,0.151,0.4385,0.117,0.5296,0.105
age45_64,0.398,0.037,0.3717,0.102,0.4402,0.062,0.3749,0.144,0.4028,0.122,0.3247,0.136
age65+,0.2624,0.049,0.4242,0.092,0.2549,0.084,0.2495,0.176,0.1587,0.194,0.1458,0.202
citizenSwiss,0.8129,0.017,0.6715,0.071,0.8949,0.039,0.775,0.098,0.8996,0.078,0.7282,0.087
citizenUE28_AELE,0.1533,0.073,0.2504,0.13,0.0878,0.157,0.1948,0.218,0.0867,0.284,0.234,0.168
citizenOtherEuropeanCountries,0.018,0.229,0.0437,0.324,0.0099,0.485,0.0184,0.683,NaN,NaN,0.0166,0.652
citizenOtherWorldwideCountries,0.0158,0.244,0.0343,0.363,0.0074,0.565,0.0118,0.864,0.0101,0.793,0.0213,0.567
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.7223,0.02,0.5698,0.078,0.8138,0.041,0.6713,0.106,0.8154,0.083,0.6298,0.094
migratoryBackgroundSwissWith,0.0876,0.093,0.0996,0.195,0.0767,0.158,0.1017,0.278,0.0806,0.275,0.0984,0.246
migratoryBackgroundFirstGeneration,0.1786,0.067,0.3222,0.114,0.0953,0.152,0.2075,0.212,0.095,0.27,0.2671,0.157
migratoryBackgroundSecondGenerationAndMore,0.0082,0.322,0.0063,0.788,0.009,0.486,0.0174,0.684,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,0.0033,0.519,NaN,NaN,0.0052,0.649,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,0.6499,0.024,0.4588,0.092,0.6498,0.049,0.6378,0.112,0.8274,0.083,0.7809,0.085
labourMarketUnemployedPersons,0.0165,0.227,0.0208,0.446,0.0152,0.365,0.0154,0.731,0.0115,0.73,0.0195,0.588
labourMarketPersonsWithoutProfessionalActivity,0.3336,0.042,0.5204,0.083,0.3349,0.072,0.3467,0.15,0.161,0.193,0.1996,0.173
socioprofessionalCategoriesExecutives,0.0344,0.155,0.0192,0.492,0.0294,0.26,0.0221,0.657,0.0695,0.298,0.0478,0.352
socioprofessionalCategoriesLiberalAndSimilar,0.0138,0.247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1002,0.247
socioprofessionalCategoriesOtherSelfEmployed,0.071,0.105,0.0278,0.379,0.0974,0.141,0.0596,0.365,0.1087,0.236,0.0302,0.456
socioprofessionalCategoriesIntellectualAndManagerial,0.0765,0.102,NaN,NaN,0.0133,0.386,NaN,NaN,0.0539,0.342,0.4539,0.114
socioprofessionalCategoriesIntermediate,0.1757,0.064,0.0583,0.269,0.1266,0.125,0.1752,0.216,0.5684,0.102,0.1228,0.229
socioprofessionalCategoriesSkilledNonManuals,0.1266,0.077,NaN,NaN,0.2384,0.088,0.2651,0.176,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0599,0.118,0.0238,0.427,0.1157,0.132,0.0681,0.365,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.055,0.123,0.2593,0.123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.0362,0.154,0.0612,0.264,0.0291,0.265,0.0391,0.455,0.0269,0.482,0.026,0.509
socioprofessionalCategoriesUnemployedOrNotWorking,0.3501,0.04,0.5413,0.081,0.3502,0.07,0.3622,0.147,0.1726,0.187,0.2191,0.166
