attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,52665,0.018,13867,0.084,20614,0.063,5891,0.136,5912,0.136,6381,0.133
sexMale,25690,0.055,5305,0.151,11377,0.096,1989,0.244,3698,0.177,3321,0.196
sexFemale,26975,0.049,8562,0.111,9237,0.105,3902,0.170,2214,0.227,3060,0.191
age25_44,17288,0.076,2822,0.224,6775,0.134,1734,0.267,2065,0.247,3892,0.178
age45_64,20422,0.063,4460,0.163,9530,0.104,2426,0.219,2376,0.220,1631,0.267
age65+,14955,0.075,6585,0.125,4310,0.155,1731,0.252,1471,0.273,858,0.363
citizenSwiss,45088,0.026,10463,0.098,19021,0.067,5029,0.148,5304,0.144,5271,0.146
citizenUE28_AELE,4990,0.154,1704,0.268,1488,0.286,461,0.519,528,0.487,808,0.413
citizenOtherEuropeanCountries,810,0.426,557,0.523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,1777,0.286,1142,0.368,NaN,NaN,262,0.688,NaN,NaN,262,0.733
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,39157,0.033,8604,0.109,16921,0.073,4339,0.160,4745,0.154,4548,0.159
migratoryBackgroundSwissWith,5669,0.140,1724,0.266,1974,0.244,690,0.423,559,0.454,723,0.401
migratoryBackgroundFirstGeneration,6938,0.132,3266,0.203,1304,0.308,680,0.424,578,0.473,1110,0.353
migratoryBackgroundSecondGenerationAndMore,639,0.444,NaN,NaN,290,0.647,182,0.865,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,262,0.684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,30009,0.047,4302,0.168,13589,0.085,3074,0.194,4073,0.169,4970,0.153
labourMarketUnemployedPersons,1859,0.271,683,0.475,580,0.468,316,0.648,NaN,NaN,189,0.873
labourMarketPersonsWithoutProfessionalActivity,20797,0.061,8881,0.108,6445,0.129,2500,0.212,1748,0.255,1222,0.314
socioprofessionalCategoriesExecutives,1541,0.277,198,0.798,479,0.499,NaN,NaN,409,0.537,322,0.611
socioprofessionalCategoriesLiberalAndSimilar,340,0.582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,340,0.582
socioprofessionalCategoriesOtherSelfEmployed,2669,0.214,251,0.732,1572,0.283,253,0.684,499,0.498,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,4115,0.169,NaN,NaN,315,0.612,NaN,NaN,258,0.683,3478,0.186
socioprofessionalCategoriesIntermediate,6656,0.130,522,0.504,1902,0.253,682,0.410,2849,0.205,701,0.433
socioprofessionalCategoriesSkilledNonManuals,7296,0.123,NaN,NaN,5763,0.140,1498,0.283,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,3772,0.181,NaN,NaN,3335,0.193,366,0.586,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,3006,0.200,3006,0.200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,477,0.529,NaN,NaN,191,0.797,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,22656,0.058,9565,0.105,7025,0.123,2817,0.201,1839,0.248,1411,0.295
