attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,52339,0.017,14633,0.081,20039,0.062,4491,0.156,6161,0.128,7015,0.121
sexMale,25499,0.051,5152,0.151,11247,0.091,1447,0.283,3879,0.164,3774,0.171
sexFemale,26840,0.050,9481,0.105,8792,0.108,3045,0.191,2281,0.221,3241,0.183
age25_44,17194,0.069,2209,0.239,6473,0.125,1788,0.247,2652,0.199,4073,0.162
age45_64,20477,0.064,5674,0.146,8847,0.108,1401,0.296,2411,0.215,2144,0.230
age65+,14668,0.078,6751,0.124,4720,0.151,1302,0.295,1097,0.324,798,0.385
citizenSwiss,44810,0.025,11147,0.094,18339,0.066,4190,0.161,5490,0.135,5645,0.133
citizenUE28_AELE,5987,0.145,2706,0.224,1423,0.304,213,0.790,600,0.469,1045,0.358
citizenOtherEuropeanCountries,509,0.564,258,0.803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,999,0.360,489,0.520,NaN,NaN,NaN,NaN,NaN,NaN,284,0.691
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,38893,0.032,9248,0.105,16542,0.071,3564,0.175,4787,0.145,4753,0.146
migratoryBackgroundSwissWith,5786,0.134,1833,0.251,1732,0.253,626,0.431,703,0.402,892,0.353
migratoryBackgroundFirstGeneration,6671,0.137,3232,0.205,1231,0.332,301,0.648,637,0.456,1269,0.326
migratoryBackgroundSecondGenerationAndMore,819,0.406,255,0.756,431,0.558,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,169,0.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,30969,0.043,4987,0.155,13157,0.083,2425,0.214,4868,0.145,5532,0.137
labourMarketUnemployedPersons,1632,0.278,497,0.532,626,0.433,NaN,NaN,NaN,NaN,340,0.619
labourMarketPersonsWithoutProfessionalActivity,19737,0.064,9149,0.107,6256,0.130,2032,0.238,1158,0.315,1143,0.325
socioprofessionalCategoriesExecutives,1341,0.283,NaN,NaN,390,0.537,183,0.793,387,0.515,253,0.643
socioprofessionalCategoriesLiberalAndSimilar,729,0.395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,729,0.395
socioprofessionalCategoriesOtherSelfEmployed,3620,0.174,527,0.485,1849,0.246,211,0.732,817,0.374,216,0.733
socioprofessionalCategoriesIntellectualAndManagerial,4079,0.159,NaN,NaN,202,0.730,NaN,NaN,291,0.613,3558,0.172
socioprofessionalCategoriesIntermediate,7214,0.118,569,0.469,2246,0.221,417,0.517,3305,0.179,678,0.426
socioprofessionalCategoriesSkilledNonManuals,6251,0.130,NaN,NaN,4857,0.149,1360,0.289,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,3418,0.181,NaN,NaN,3255,0.186,162,0.864,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,3482,0.189,3482,0.189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,767,0.393,248,0.684,322,0.611,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,21370,0.061,9646,0.104,6882,0.124,2066,0.236,1293,0.300,1483,0.286
