attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,52025.0,0.02,0.3028,0.078,0.3582,0.068,0.094,0.154,0.1203,0.132,0.1246,0.133
sexMale,25353.0,0.055,0.2385,0.144,0.4103,0.1,0.0588,0.291,0.162,0.165,0.1303,0.192
sexFemale,26672.0,0.051,0.364,0.103,0.3086,0.114,0.1275,0.186,0.0807,0.236,0.1192,0.195
age25_44,17247.0,0.075,0.1864,0.211,0.3421,0.14,0.1058,0.264,0.1396,0.22,0.2262,0.176
age45_64,20366.0,0.066,0.267,0.15,0.4041,0.116,0.0918,0.257,0.1461,0.199,0.0909,0.26
age65+,14412.0,0.077,0.4929,0.119,0.3125,0.153,0.0831,0.307,0.0609,0.356,0.0505,0.403
citizenSwiss,44263.0,0.026,0.2632,0.09,0.383,0.071,0.0975,0.162,0.1346,0.135,0.1217,0.144
citizenUE28_AELE,5407.0,0.162,0.4596,0.244,0.2748,0.321,0.0666,0.648,0.0483,0.73,0.1507,0.435
citizenOtherEuropeanCountries,887.0,0.454,0.7621,0.515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,1468.0,0.326,0.6431,0.413,NaN,NaN,NaN,NaN,NaN,NaN,0.154,0.788
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,38822.0,0.033,0.2525,0.1,0.3933,0.077,0.0888,0.182,0.1407,0.141,0.1247,0.153
migratoryBackgroundSwissWith,5270.0,0.144,0.344,0.252,0.2935,0.276,0.1649,0.371,0.0939,0.497,0.1036,0.467
migratoryBackgroundFirstGeneration,6993.0,0.144,0.5597,0.197,0.1895,0.347,0.0748,0.538,0.038,0.731,0.138,0.396
migratoryBackgroundSecondGenerationAndMore,769.0,0.447,0.2484,0.892,0.4655,0.644,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,171.0,0.863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,29439.0,0.049,0.1879,0.152,0.3977,0.094,0.0904,0.215,0.1564,0.157,0.1677,0.155
labourMarketUnemployedPersons,1771.0,0.273,0.3377,0.504,0.3021,0.482,NaN,NaN,0.1937,0.61,0.096,0.863
labourMarketPersonsWithoutProfessionalActivity,20815.0,0.061,0.4625,0.103,0.3071,0.129,0.1012,0.237,0.0631,0.295,0.0661,0.301
socioprofessionalCategoriesExecutives,1570.0,0.28,NaN,NaN,0.1662,0.682,NaN,NaN,0.314,0.497,0.3752,0.472
socioprofessionalCategoriesLiberalAndSimilar,259.0,0.683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.683
socioprofessionalCategoriesOtherSelfEmployed,3058.0,0.199,0.1985,0.469,0.619,0.255,0.0759,0.729,0.0955,0.643,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,3610.0,0.182,NaN,NaN,0.0607,0.793,NaN,NaN,0.0443,0.864,0.8759,0.195
socioprofessionalCategoriesIntermediate,7252.0,0.124,0.0556,0.588,0.2739,0.249,0.067,0.52,0.4909,0.18,0.1127,0.403
socioprofessionalCategoriesSkilledNonManuals,5612.0,0.144,NaN,NaN,0.7543,0.167,0.2315,0.312,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,3041.0,0.201,NaN,NaN,0.8892,0.214,0.0993,0.643,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,3471.0,0.194,1.0,0.194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,256.0,0.792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1310.0,0.317,0.5031,0.459,0.2847,0.581,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,22586.0,0.058,0.4527,0.1,0.3067,0.123,0.0988,0.23,0.0733,0.265,0.0684,0.283
