attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.0,0.2633,0.001,0.3914,0.001,0.1119,0.001,0.1123,0.001,0.1212,0.001
sexMale,1.0,0.001,0.2065,0.002,0.4429,0.001,0.0774,0.002,0.1439,0.002,0.1293,0.002
sexFemale,1.0,0.0,0.3174,0.001,0.3424,0.001,0.1447,0.002,0.0821,0.002,0.1134,0.002
age25_44,1.0,0.001,0.1632,0.002,0.3919,0.001,0.1003,0.003,0.1194,0.002,0.2251,0.002
age45_64,1.0,0.001,0.2184,0.002,0.4667,0.001,0.1188,0.002,0.1163,0.002,0.0799,0.003
age65+,1.0,0.001,0.4403,0.001,0.2882,0.002,0.1157,0.003,0.0984,0.003,0.0574,0.004
citizenSwiss,1.0,0.0,0.2321,0.001,0.4219,0.001,0.1115,0.001,0.1176,0.001,0.1169,0.001
citizenUE28_AELE,1.0,0.002,0.3415,0.003,0.2982,0.003,0.0924,0.005,0.1058,0.005,0.1619,0.004
citizenOtherEuropeanCountries,1.0,0.004,0.6877,0.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,1.0,0.003,0.6427,0.004,NaN,NaN,0.1474,0.007,NaN,NaN,0.1474,0.007
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.0,0.2197,0.001,0.4321,0.001,0.1108,0.002,0.1212,0.002,0.1161,0.002
migratoryBackgroundSwissWith,1.0,0.001,0.3041,0.003,0.3482,0.002,0.1217,0.004,0.0986,0.005,0.1275,0.004
migratoryBackgroundFirstGeneration,1.0,0.001,0.4707,0.002,0.188,0.003,0.098,0.004,0.0833,0.005,0.16,0.004
migratoryBackgroundSecondGenerationAndMore,1.0,0.004,NaN,NaN,0.4538,0.006,0.2848,0.009,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,1.0,0.007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,1.0,0.0,0.1434,0.002,0.4528,0.001,0.1024,0.002,0.1357,0.002,0.1656,0.002
labourMarketUnemployedPersons,1.0,0.003,0.3674,0.005,0.312,0.005,0.17,0.006,NaN,NaN,0.1017,0.009
labourMarketPersonsWithoutProfessionalActivity,1.0,0.001,0.427,0.001,0.3099,0.001,0.1202,0.002,0.0841,0.003,0.0588,0.003
socioprofessionalCategoriesExecutives,1.0,0.003,0.1285,0.008,0.3108,0.005,NaN,NaN,0.2654,0.005,0.209,0.006
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.006
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.002,0.094,0.007,0.589,0.003,0.0948,0.007,0.187,0.005,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.002,NaN,NaN,0.0765,0.006,NaN,NaN,0.0627,0.007,0.8452,0.002
socioprofessionalCategoriesIntermediate,1.0,0.001,0.0784,0.005,0.2858,0.003,0.1025,0.004,0.428,0.002,0.1053,0.004
socioprofessionalCategoriesSkilledNonManuals,1.0,0.001,NaN,NaN,0.7899,0.001,0.2053,0.003,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.002,NaN,NaN,0.8841,0.002,0.097,0.006,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.002,1.0,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.005,NaN,NaN,0.4004,0.008,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.001,0.4222,0.001,0.3101,0.001,0.1243,0.002,0.0812,0.002,0.0623,0.003
