attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,288266,0.006,57832,0.032,113987,0.020,26947,0.049,49276,0.034,40224,0.039
sexMale,142540,0.017,21362,0.056,55658,0.032,10318,0.083,32182,0.044,23021,0.054
sexFemale,145726,0.016,36470,0.041,58329,0.031,16629,0.062,17094,0.061,17203,0.062
age25_44,111521,0.021,13903,0.074,41010,0.039,11221,0.080,21778,0.055,23609,0.054
age45_64,112113,0.020,20453,0.056,48505,0.034,10538,0.078,20455,0.055,12161,0.073
age65+,64632,0.029,23476,0.051,24472,0.050,5187,0.112,7043,0.095,4453,0.120
citizenSwiss,235692,0.009,38629,0.039,101492,0.021,21008,0.054,44468,0.036,30096,0.045
citizenUE28_AELE,32891,0.046,8992,0.091,8271,0.096,3982,0.140,3897,0.138,7749,0.100
citizenOtherEuropeanCountries,12347,0.082,6537,0.112,3064,0.167,1353,0.254,656,0.363,737,0.339
citizenOtherWorldwideCountries,7256,0.106,3623,0.151,1131,0.269,605,0.371,255,0.582,1642,0.220
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,206693,0.011,31575,0.043,91424,0.023,17319,0.060,40503,0.038,25872,0.049
migratoryBackgroundSwissWith,28050,0.046,6834,0.097,9718,0.082,3579,0.135,3783,0.132,4136,0.126
migratoryBackgroundFirstGeneration,48536,0.038,18189,0.065,10723,0.085,5525,0.120,4295,0.133,9805,0.089
migratoryBackgroundSecondGenerationAndMore,3064,0.163,426,0.429,1560,0.228,338,0.530,477,0.410,264,0.554
migratoryBackgroundUnknown,1922,0.193,808,0.303,563,0.358,186,0.605,218,0.551,147,0.676
labourMarketEmployedPersons,195647,0.012,25260,0.052,78214,0.026,18598,0.060,40106,0.039,33468,0.044
labourMarketUnemployedPersons,5477,0.115,1264,0.246,1972,0.190,779,0.313,709,0.315,753,0.321
labourMarketPersonsWithoutProfessionalActivity,87143,0.024,31308,0.044,33800,0.042,7570,0.094,8461,0.087,6003,0.105
socioprofessionalCategoriesExecutives,8165,0.090,995,0.269,2020,0.183,512,0.377,2440,0.165,2198,0.175
socioprofessionalCategoriesLiberalAndSimilar,2695,0.157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2695,0.157
socioprofessionalCategoriesOtherSelfEmployed,17610,0.060,1498,0.213,8358,0.088,1623,0.202,5352,0.111,779,0.309
socioprofessionalCategoriesIntellectualAndManagerial,25743,0.050,117,0.784,1060,0.251,598,0.345,2333,0.170,21635,0.055
socioprofessionalCategoriesIntermediate,57542,0.032,2398,0.173,15423,0.065,5727,0.108,28807,0.047,5186,0.118
socioprofessionalCategoriesSkilledNonManuals,40611,0.038,364,0.441,33656,0.043,6591,0.102,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,15714,0.066,629,0.334,12830,0.073,2255,0.179,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,14783,0.069,14783,0.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,682,0.340,284,0.531,353,0.467,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,12103,0.075,4193,0.132,4515,0.122,1246,0.247,1174,0.242,975,0.271
socioprofessionalCategoriesUnemployedOrNotWorking,92619,0.023,32572,0.044,35773,0.040,8349,0.090,9170,0.083,6756,0.100
