attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,301498,0.005,51164,0.033,108517,0.020,22913,0.051,68469,0.026,50434,0.032
sexMale,149318,0.015,19338,0.057,50718,0.032,10053,0.080,41327,0.036,27882,0.045
sexFemale,152180,0.015,31826,0.043,57799,0.030,12861,0.068,27142,0.045,22552,0.050
age25_44,115708,0.019,12496,0.075,39539,0.038,9523,0.083,26530,0.046,27620,0.046
age45_64,114938,0.019,17955,0.059,42693,0.035,8293,0.086,28882,0.043,17115,0.057
age65+,70852,0.026,20713,0.053,26285,0.046,5097,0.108,13058,0.066,5699,0.101
citizenSwiss,244257,0.008,32138,0.042,95432,0.021,16245,0.060,62121,0.028,38321,0.037
citizenUE28_AELE,34800,0.041,8544,0.087,8712,0.086,4602,0.121,4447,0.119,8494,0.086
citizenOtherEuropeanCountries,14023,0.072,6418,0.109,3325,0.148,1358,0.234,1144,0.255,1778,0.201
citizenOtherWorldwideCountries,8359,0.091,4048,0.134,1049,0.256,691,0.326,756,0.306,1815,0.190
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,210169,0.010,24765,0.048,84505,0.023,12442,0.069,55882,0.030,32575,0.040
migratoryBackgroundSwissWith,33032,0.041,7183,0.092,10397,0.076,3788,0.126,6031,0.099,5632,0.102
migratoryBackgroundFirstGeneration,52770,0.033,18209,0.061,10756,0.078,6502,0.103,5590,0.109,11712,0.073
migratoryBackgroundSecondGenerationAndMore,4043,0.129,576,0.343,2207,0.177,146,0.675,758,0.296,357,0.429
migratoryBackgroundUnknown,1484,0.207,431,0.390,652,0.309,NaN,NaN,208,0.551,159,0.644
labourMarketEmployedPersons,196885,0.012,19699,0.056,70288,0.027,14455,0.065,51725,0.031,40718,0.036
labourMarketUnemployedPersons,7999,0.092,2128,0.188,3058,0.147,655,0.324,792,0.285,1365,0.218
labourMarketPersonsWithoutProfessionalActivity,96614,0.021,29337,0.045,35171,0.039,7803,0.089,15951,0.060,8351,0.085
socioprofessionalCategoriesExecutives,4922,0.110,482,0.377,647,0.313,366,0.441,1608,0.191,1819,0.177
socioprofessionalCategoriesLiberalAndSimilar,4082,0.120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4082,0.120
socioprofessionalCategoriesOtherSelfEmployed,19917,0.054,1327,0.221,8488,0.084,1405,0.209,8097,0.086,600,0.324
socioprofessionalCategoriesIntellectualAndManagerial,33634,0.040,289,0.462,1951,0.175,571,0.317,5525,0.102,25297,0.047
socioprofessionalCategoriesIntermediate,64452,0.028,2549,0.159,11959,0.071,5374,0.106,36069,0.039,8500,0.085
socioprofessionalCategoriesSkilledNonManuals,36612,0.039,732,0.295,32073,0.042,3806,0.129,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,17621,0.059,1081,0.242,13903,0.066,2637,0.162,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,12408,0.072,12408,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,318,0.481,NaN,NaN,189,0.604,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,2919,0.148,742,0.295,1078,0.243,273,0.495,407,0.390,419,0.392
socioprofessionalCategoriesUnemployedOrNotWorking,104613,0.020,31465,0.043,38229,0.038,8459,0.086,16744,0.059,9717,0.079
