attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,301498.0,0.005,0.1697,0.033,0.3599,0.02,0.076,0.051,0.2271,0.026,0.1673,0.032
sexMale,149318.0,0.015,0.1295,0.057,0.3397,0.032,0.0673,0.08,0.2768,0.036,0.1867,0.045
sexFemale,152180.0,0.015,0.2091,0.043,0.3798,0.03,0.0845,0.068,0.1784,0.045,0.1482,0.05
age25_44,115708.0,0.019,0.108,0.075,0.3417,0.038,0.0823,0.083,0.2293,0.046,0.2387,0.046
age45_64,114938.0,0.019,0.1562,0.059,0.3714,0.035,0.0722,0.086,0.2513,0.043,0.1489,0.057
age65+,70852.0,0.026,0.2923,0.053,0.371,0.046,0.0719,0.108,0.1843,0.066,0.0804,0.101
citizenSwiss,244257.0,0.008,0.1316,0.042,0.3907,0.021,0.0665,0.06,0.2543,0.028,0.1569,0.037
citizenUE28_AELE,34800.0,0.041,0.2455,0.087,0.2503,0.086,0.1322,0.121,0.1278,0.119,0.2441,0.086
citizenOtherEuropeanCountries,14023.0,0.072,0.4577,0.109,0.2371,0.148,0.0968,0.234,0.0816,0.255,0.1268,0.201
citizenOtherWorldwideCountries,8359.0,0.091,0.4843,0.134,0.1255,0.256,0.0827,0.326,0.0904,0.306,0.2171,0.19
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,210169.0,0.01,0.1178,0.048,0.4021,0.023,0.0592,0.069,0.2659,0.03,0.155,0.04
migratoryBackgroundSwissWith,33032.0,0.041,0.2175,0.092,0.3148,0.076,0.1147,0.126,0.1826,0.099,0.1705,0.102
migratoryBackgroundFirstGeneration,52770.0,0.033,0.3451,0.061,0.2038,0.078,0.1232,0.103,0.1059,0.109,0.2219,0.073
migratoryBackgroundSecondGenerationAndMore,4043.0,0.129,0.1425,0.343,0.5459,0.177,0.0361,0.675,0.1875,0.296,0.0883,0.429
migratoryBackgroundUnknown,1484.0,0.207,0.2904,0.39,0.4394,0.309,NaN,NaN,0.1402,0.551,0.1071,0.644
labourMarketEmployedPersons,196885.0,0.012,0.1001,0.056,0.357,0.027,0.0734,0.065,0.2627,0.031,0.2068,0.036
labourMarketUnemployedPersons,7999.0,0.092,0.266,0.188,0.3823,0.147,0.0819,0.324,0.099,0.285,0.1706,0.218
labourMarketPersonsWithoutProfessionalActivity,96614.0,0.021,0.3037,0.045,0.364,0.039,0.0808,0.089,0.1651,0.06,0.0864,0.085
socioprofessionalCategoriesExecutives,4922.0,0.11,0.0979,0.377,0.1315,0.313,0.0744,0.441,0.3267,0.191,0.3696,0.177
socioprofessionalCategoriesLiberalAndSimilar,4082.0,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.12
socioprofessionalCategoriesOtherSelfEmployed,19917.0,0.054,0.0666,0.221,0.4262,0.084,0.0705,0.209,0.4065,0.086,0.0301,0.324
socioprofessionalCategoriesIntellectualAndManagerial,33634.0,0.04,0.0086,0.462,0.058,0.175,0.017,0.317,0.1643,0.102,0.7521,0.047
socioprofessionalCategoriesIntermediate,64452.0,0.028,0.0395,0.159,0.1855,0.071,0.0834,0.106,0.5596,0.039,0.1319,0.085
socioprofessionalCategoriesSkilledNonManuals,36612.0,0.039,0.02,0.295,0.876,0.042,0.104,0.129,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,17621.0,0.059,0.0613,0.242,0.789,0.066,0.1497,0.162,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,12408.0,0.072,1.0,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,318.0,0.481,NaN,NaN,0.5943,0.604,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,2919.0,0.148,0.2542,0.295,0.3693,0.243,0.0935,0.495,0.1394,0.39,0.1435,0.392
socioprofessionalCategoriesUnemployedOrNotWorking,104613.0,0.02,0.3008,0.043,0.3654,0.038,0.0809,0.086,0.1601,0.059,0.0929,0.079
