attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.0,0.1697,0.0,0.3599,0.0,0.076,0.001,0.2271,0.0,0.1673,0.0
sexMale,1.0,0.0,0.1295,0.001,0.3397,0.0,0.0673,0.001,0.2768,0.0,0.1867,0.0
sexFemale,1.0,0.0,0.2091,0.0,0.3798,0.0,0.0845,0.001,0.1784,0.0,0.1482,0.0
age25_44,1.0,0.0,0.108,0.001,0.3417,0.0,0.0823,0.001,0.2293,0.0,0.2387,0.0
age45_64,1.0,0.0,0.1562,0.001,0.3714,0.0,0.0722,0.001,0.2513,0.0,0.1489,0.001
age65+,1.0,0.0,0.2923,0.001,0.371,0.0,0.0719,0.001,0.1843,0.001,0.0804,0.001
citizenSwiss,1.0,0.0,0.1316,0.0,0.3907,0.0,0.0665,0.001,0.2543,0.0,0.1569,0.0
citizenUE28_AELE,1.0,0.0,0.2455,0.001,0.2503,0.001,0.1322,0.001,0.1278,0.001,0.2441,0.001
citizenOtherEuropeanCountries,1.0,0.001,0.4577,0.001,0.2371,0.001,0.0968,0.002,0.0816,0.003,0.1268,0.002
citizenOtherWorldwideCountries,1.0,0.001,0.4843,0.001,0.1255,0.003,0.0827,0.003,0.0904,0.003,0.2171,0.002
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.0,0.1178,0.0,0.4021,0.0,0.0592,0.001,0.2659,0.0,0.155,0.0
migratoryBackgroundSwissWith,1.0,0.0,0.2175,0.001,0.3148,0.001,0.1147,0.001,0.1826,0.001,0.1705,0.001
migratoryBackgroundFirstGeneration,1.0,0.0,0.3451,0.001,0.2038,0.001,0.1232,0.001,0.1059,0.001,0.2219,0.001
migratoryBackgroundSecondGenerationAndMore,1.0,0.001,0.1425,0.003,0.5459,0.002,0.0361,0.007,0.1875,0.003,0.0883,0.004
migratoryBackgroundUnknown,1.0,0.002,0.2904,0.004,0.4394,0.003,NaN,NaN,0.1402,0.006,0.1071,0.006
labourMarketEmployedPersons,1.0,0.0,0.1001,0.001,0.357,0.0,0.0734,0.001,0.2627,0.0,0.2068,0.0
labourMarketUnemployedPersons,1.0,0.001,0.266,0.002,0.3823,0.001,0.0819,0.003,0.099,0.003,0.1706,0.002
labourMarketPersonsWithoutProfessionalActivity,1.0,0.0,0.3037,0.0,0.364,0.0,0.0808,0.001,0.1651,0.001,0.0864,0.001
socioprofessionalCategoriesExecutives,1.0,0.001,0.0979,0.004,0.1315,0.003,0.0744,0.004,0.3267,0.002,0.3696,0.002
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.001
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.001,0.0666,0.002,0.4262,0.001,0.0705,0.002,0.4065,0.001,0.0301,0.003
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.0,0.0086,0.005,0.058,0.002,0.017,0.003,0.1643,0.001,0.7521,0.0
socioprofessionalCategoriesIntermediate,1.0,0.0,0.0395,0.002,0.1855,0.001,0.0834,0.001,0.5596,0.0,0.1319,0.001
socioprofessionalCategoriesSkilledNonManuals,1.0,0.0,0.02,0.003,0.876,0.0,0.104,0.001,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.001,0.0613,0.002,0.789,0.001,0.1497,0.002,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.001,1.0,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1.0,0.005,NaN,NaN,0.5943,0.006,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.001,0.2542,0.003,0.3693,0.002,0.0935,0.005,0.1394,0.004,0.1435,0.004
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.0,0.3008,0.0,0.3654,0.0,0.0809,0.001,0.1601,0.001,0.0929,0.001
