attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,291696.0,0.006,57942.0,0.032,113969.0,0.02,26485.0,0.05,48959.0,0.035,44342.0,0.038
sexMale,0.4948,0.017,0.3824,0.057,0.4961,0.033,0.3973,0.083,0.6343,0.046,0.5422,0.053
sexFemale,0.5052,0.016,0.6176,0.042,0.5039,0.031,0.6027,0.064,0.3657,0.06,0.4578,0.057
age25_44,0.3849,0.021,0.2437,0.074,0.3584,0.04,0.4022,0.082,0.418,0.058,0.5906,0.051
age45_64,0.3881,0.02,0.3471,0.058,0.4257,0.035,0.3738,0.082,0.4253,0.055,0.3123,0.069
age65+,0.227,0.029,0.4092,0.052,0.2159,0.051,0.2241,0.107,0.1566,0.094,0.0971,0.126
citizenSwiss,0.8169,0.009,0.66,0.04,0.8919,0.022,0.7887,0.056,0.9076,0.037,0.7459,0.044
citizenUE28_AELE,0.1132,0.045,0.1527,0.091,0.0721,0.094,0.139,0.141,0.0724,0.145,0.1967,0.091
citizenOtherEuropeanCountries,0.0438,0.081,0.1173,0.111,0.0274,0.169,0.049,0.254,0.0118,0.384,0.0219,0.296
citizenOtherWorldwideCountries,0.0259,0.104,0.0691,0.145,0.0084,0.292,0.0233,0.377,0.0082,0.452,0.0355,0.227
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.7119,0.011,0.5327,0.045,0.798,0.023,0.6517,0.062,0.8196,0.039,0.642,0.048
migratoryBackgroundSwissWith,0.1016,0.046,0.1231,0.097,0.0903,0.081,0.1325,0.139,0.0859,0.128,0.1012,0.123
migratoryBackgroundFirstGeneration,0.1698,0.037,0.3259,0.064,0.0914,0.086,0.1998,0.121,0.0825,0.137,0.2455,0.082
migratoryBackgroundSecondGenerationAndMore,0.0113,0.154,0.008,0.409,0.0153,0.213,0.0108,0.512,0.0095,0.41,0.0074,0.495
migratoryBackgroundUnknown,0.0055,0.214,0.0103,0.356,0.005,0.355,0.0052,0.724,0.0025,0.782,0.0039,0.637
labourMarketEmployedPersons,0.6782,0.012,0.423,0.053,0.697,0.026,0.6418,0.063,0.8126,0.039,0.8367,0.042
labourMarketUnemployedPersons,0.0202,0.113,0.0255,0.233,0.019,0.184,0.0259,0.336,0.0121,0.35,0.0218,0.281
labourMarketPersonsWithoutProfessionalActivity,0.3016,0.024,0.5514,0.045,0.2839,0.044,0.3322,0.088,0.1753,0.089,0.1416,0.106
socioprofessionalCategoriesExecutives,0.0281,0.092,0.0142,0.304,0.017,0.191,0.014,0.44,0.0528,0.162,0.0559,0.167
socioprofessionalCategoriesLiberalAndSimilar,0.0104,0.152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0682,0.152
socioprofessionalCategoriesOtherSelfEmployed,0.0602,0.061,0.0268,0.213,0.0737,0.09,0.0609,0.209,0.1045,0.116,0.0203,0.283
socioprofessionalCategoriesIntellectualAndManagerial,0.0952,0.049,0.004,0.552,0.0122,0.225,0.0132,0.45,0.04,0.187,0.5378,0.053
socioprofessionalCategoriesIntermediate,0.2012,0.032,0.0486,0.162,0.1345,0.067,0.2064,0.112,0.5966,0.047,0.1322,0.112
socioprofessionalCategoriesSkilledNonManuals,0.1361,0.04,0.0049,0.493,0.295,0.043,0.2189,0.111,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0585,0.064,0.0127,0.315,0.1249,0.07,0.079,0.187,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.049,0.071,0.2465,0.071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,0.0016,0.4,0.0025,0.725,0.0018,0.605,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.0379,0.08,0.0629,0.144,0.0379,0.129,0.0472,0.241,0.0187,0.276,0.0207,0.279
socioprofessionalCategoriesUnemployedOrNotWorking,0.3218,0.023,0.577,0.044,0.303,0.042,0.3582,0.085,0.1874,0.086,0.1633,0.099
