attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,126369,0.008,28421,0.042,44831,0.030,12531,0.067,12714,0.065,27872,0.042
sexMale,61093,0.024,11720,0.072,22644,0.048,4529,0.118,7671,0.086,14529,0.062
sexFemale,65276,0.022,16701,0.057,22187,0.047,8002,0.084,5042,0.106,13343,0.064
age25_44,45685,0.032,7562,0.093,14026,0.065,5093,0.113,4154,0.122,14849,0.062
age45_64,48350,0.028,10726,0.073,18997,0.051,3875,0.122,5373,0.101,9380,0.076
age65+,32334,0.037,10133,0.073,11808,0.067,3563,0.126,3186,0.135,3643,0.126
citizenSwiss,93985,0.014,16799,0.056,37766,0.034,9508,0.076,10533,0.072,19379,0.051
citizenUE28_AELE,24212,0.048,8045,0.088,5841,0.105,2147,0.175,1747,0.193,6431,0.098
citizenOtherEuropeanCountries,2780,0.158,1163,0.245,456,0.391,257,0.601,164,0.636,739,0.298
citizenOtherWorldwideCountries,5374,0.113,2413,0.173,749,0.305,619,0.344,269,0.513,1324,0.226
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,71377,0.020,10644,0.072,30804,0.039,7021,0.090,8219,0.082,14689,0.060
migratoryBackgroundSwissWith,21952,0.048,5938,0.098,6707,0.092,2455,0.155,2228,0.160,4625,0.110
migratoryBackgroundFirstGeneration,28829,0.044,11133,0.075,5136,0.113,2652,0.161,1871,0.188,8037,0.088
migratoryBackgroundSecondGenerationAndMore,3504,0.138,457,0.390,1928,0.186,352,0.451,310,0.448,456,0.383
migratoryBackgroundUnknown,707,0.290,250,0.493,256,0.476,NaN,NaN,86,0.850,NaN,NaN
labourMarketEmployedPersons,73144,0.020,11250,0.072,26263,0.043,6670,0.094,8033,0.083,20927,0.049
labourMarketUnemployedPersons,6910,0.096,2256,0.174,2116,0.174,697,0.310,488,0.368,1354,0.222
labourMarketPersonsWithoutProfessionalActivity,46315,0.030,14915,0.061,16452,0.057,5165,0.107,4192,0.118,5591,0.103
socioprofessionalCategoriesExecutives,2396,0.153,123,0.726,384,0.390,145,0.636,411,0.366,1333,0.206
socioprofessionalCategoriesLiberalAndSimilar,2151,0.165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2151,0.165
socioprofessionalCategoriesOtherSelfEmployed,7601,0.087,1117,0.235,3843,0.124,708,0.294,1600,0.191,332,0.441
socioprofessionalCategoriesIntellectualAndManagerial,14227,0.061,153,0.635,783,0.272,246,0.492,770,0.275,12276,0.067
socioprofessionalCategoriesIntermediate,17507,0.055,1129,0.234,4020,0.120,2478,0.155,5188,0.105,4692,0.113
socioprofessionalCategoriesSkilledNonManuals,14180,0.062,518,0.342,11438,0.070,2224,0.166,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,6895,0.093,565,0.333,5574,0.103,756,0.287,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,7404,0.091,7404,0.091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,193,0.602,NaN,NaN,NaN,NaN,98,0.851,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,589,0.317,203,0.552,181,0.574,NaN,NaN,NaN,NaN,144,0.635
socioprofessionalCategoriesUnemployedOrNotWorking,53225,0.027,17171,0.057,18568,0.053,5861,0.101,4680,0.112,6945,0.093
