attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,126202,0.008,32637,0.039,38296,0.034,14927,0.061,15549,0.059,24792,0.046
sexMale,60963,0.025,13002,0.068,19803,0.052,5732,0.105,9566,0.076,12859,0.067
sexFemale,65239,0.023,19635,0.052,18493,0.053,9195,0.078,5983,0.098,11933,0.069
age25_44,45884,0.032,8368,0.088,11848,0.071,6163,0.102,5075,0.110,14430,0.064
age45_64,48255,0.029,12212,0.069,16298,0.057,5305,0.105,6877,0.090,7562,0.086
age65+,32063,0.037,12057,0.066,10151,0.072,3459,0.127,3596,0.124,2801,0.140
citizenSwiss,93849,0.015,19575,0.051,32748,0.038,11606,0.069,13005,0.064,16915,0.056
citizenUE28_AELE,24712,0.046,9411,0.080,4599,0.116,2387,0.164,2228,0.167,6087,0.100
citizenOtherEuropeanCountries,2368,0.183,1288,0.251,382,0.452,237,0.609,102,0.853,359,0.453
citizenOtherWorldwideCountries,5273,0.112,2364,0.172,567,0.356,697,0.311,214,0.550,1432,0.213
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,72283,0.020,13177,0.064,27202,0.042,8716,0.081,10269,0.073,12920,0.066
migratoryBackgroundSwissWith,21081,0.049,6187,0.096,5393,0.104,2873,0.144,2670,0.147,3958,0.121
migratoryBackgroundFirstGeneration,29021,0.043,12501,0.070,4115,0.125,2701,0.157,2098,0.173,7606,0.090
migratoryBackgroundSecondGenerationAndMore,3266,0.139,527,0.355,1434,0.211,604,0.330,445,0.374,256,0.495
migratoryBackgroundUnknown,550,0.338,245,0.512,153,0.641,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,73253,0.021,12328,0.069,22692,0.048,8750,0.082,10441,0.073,19043,0.053
labourMarketUnemployedPersons,6179,0.104,2010,0.189,1390,0.217,816,0.289,621,0.328,1342,0.227
labourMarketPersonsWithoutProfessionalActivity,46770,0.030,18299,0.054,14215,0.061,5361,0.104,4487,0.112,4408,0.116
socioprofessionalCategoriesExecutives,3781,0.123,286,0.478,726,0.283,302,0.450,877,0.256,1590,0.190
socioprofessionalCategoriesLiberalAndSimilar,1548,0.194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1548,0.194
socioprofessionalCategoriesOtherSelfEmployed,6795,0.094,985,0.252,3085,0.140,923,0.267,1394,0.207,408,0.390
socioprofessionalCategoriesIntellectualAndManagerial,13563,0.064,88,0.857,475,0.353,274,0.461,682,0.294,12045,0.068
socioprofessionalCategoriesIntermediate,17939,0.055,1646,0.196,3971,0.122,1925,0.176,7246,0.089,3151,0.142
socioprofessionalCategoriesSkilledNonManuals,13816,0.063,99,0.777,9549,0.077,4168,0.121,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,5659,0.105,203,0.550,4480,0.118,977,0.255,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,8554,0.084,8554,0.084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,195,0.605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1403,0.214,404,0.409,330,0.438,146,0.675,243,0.510,280,0.478
socioprofessionalCategoriesUnemployedOrNotWorking,52949,0.027,20309,0.052,15605,0.059,6177,0.098,5108,0.106,5750,0.103
