attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.008,0.272,0.037,0.2963,0.034,0.109,0.063,0.1233,0.059,0.1994,0.045
sexMale,1.0,0.024,0.2265,0.063,0.3224,0.052,0.0754,0.115,0.1632,0.075,0.2126,0.067
sexFemale,1.0,0.022,0.3144,0.05,0.2721,0.054,0.1402,0.078,0.0862,0.101,0.187,0.068
age25_44,1.0,0.031,0.1921,0.083,0.2656,0.069,0.1157,0.107,0.1236,0.103,0.303,0.065
age45_64,1.0,0.029,0.2813,0.064,0.3193,0.058,0.1006,0.109,0.1368,0.092,0.1621,0.085
age65+,1.0,0.037,0.3761,0.066,0.3068,0.073,0.1118,0.123,0.1022,0.13,0.103,0.129
citizenSwiss,1.0,0.015,0.2153,0.049,0.3474,0.038,0.118,0.07,0.1367,0.065,0.1826,0.056
citizenUE28_AELE,1.0,0.045,0.4115,0.074,0.161,0.122,0.0823,0.174,0.0942,0.161,0.2512,0.098
citizenOtherEuropeanCountries,1.0,0.177,0.569,0.235,0.162,0.438,0.0913,0.574,NaN,NaN,0.1494,0.464
citizenOtherWorldwideCountries,1.0,0.119,0.4987,0.17,0.0781,0.427,0.0808,0.428,0.0633,0.479,0.2791,0.228
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.02,0.1881,0.061,0.3772,0.042,0.1131,0.082,0.1419,0.073,0.1798,0.065
migratoryBackgroundSwissWith,1.0,0.05,0.313,0.094,0.2385,0.109,0.1365,0.146,0.1187,0.156,0.1933,0.122
migratoryBackgroundFirstGeneration,1.0,0.043,0.4578,0.066,0.1233,0.132,0.0817,0.165,0.0737,0.172,0.2635,0.09
migratoryBackgroundSecondGenerationAndMore,1.0,0.141,0.2156,0.309,0.3958,0.224,0.0912,0.476,0.1925,0.317,0.1049,0.45
migratoryBackgroundUnknown,1.0,0.311,0.3858,0.518,0.2723,0.575,NaN,NaN,NaN,NaN,0.1619,0.784
labourMarketEmployedPersons,1.0,0.02,0.1952,0.061,0.3048,0.047,0.1011,0.087,0.1452,0.071,0.2537,0.053
labourMarketUnemployedPersons,1.0,0.099,0.3462,0.172,0.2693,0.191,0.1199,0.294,0.069,0.381,0.1955,0.229
labourMarketPersonsWithoutProfessionalActivity,1.0,0.03,0.3953,0.054,0.2855,0.064,0.1211,0.102,0.093,0.117,0.1051,0.111
socioprofessionalCategoriesExecutives,1.0,0.129,0.1027,0.416,0.1891,0.297,0.0395,0.681,0.2823,0.245,0.3862,0.207
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.192
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.094,0.1784,0.227,0.4435,0.143,0.1322,0.266,0.1938,0.218,0.0522,0.426
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.066,0.0157,0.554,0.0335,0.374,0.0179,0.509,0.0455,0.317,0.8874,0.07
socioprofessionalCategoriesIntermediate,1.0,0.053,0.0904,0.19,0.2034,0.124,0.1007,0.178,0.4102,0.086,0.1954,0.13
socioprofessionalCategoriesSkilledNonManuals,1.0,0.063,0.0075,0.78,0.7443,0.074,0.2482,0.132,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.107,0.0636,0.415,0.7994,0.12,0.1371,0.294,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.077,1.0,0.077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1.0,0.575,0.4505,0.852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.138,0.3495,0.238,0.2128,0.301,0.111,0.416,0.1516,0.353,0.1754,0.337
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.028,0.3891,0.051,0.2835,0.06,0.121,0.096,0.09,0.111,0.1164,0.1
