attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,126207.0,0.008,34330.0,0.037,37401.0,0.034,13752.0,0.063,15564.0,0.059,25160.0,0.045
sexMale,0.4823,0.024,0.4016,0.063,0.5247,0.052,0.3337,0.115,0.6381,0.075,0.5142,0.067
sexFemale,0.5177,0.022,0.5984,0.05,0.4753,0.054,0.6663,0.078,0.3619,0.101,0.4857,0.068
age25_44,0.3691,0.031,0.2606,0.083,0.3308,0.069,0.3919,0.107,0.37,0.103,0.561,0.065
age45_64,0.3815,0.029,0.3944,0.064,0.411,0.058,0.3521,0.109,0.4232,0.092,0.3101,0.085
age65+,0.2494,0.037,0.3449,0.066,0.2582,0.073,0.256,0.123,0.2068,0.13,0.1289,0.129
citizenSwiss,0.7432,0.015,0.5883,0.049,0.8712,0.038,0.805,0.07,0.8236,0.065,0.6806,0.056
citizenUE28_AELE,0.1997,0.045,0.302,0.074,0.1085,0.122,0.1507,0.174,0.1525,0.161,0.2516,0.098
citizenOtherEuropeanCountries,0.0188,0.177,0.0394,0.235,0.0103,0.438,0.0158,0.574,NaN,NaN,0.0141,0.464
citizenOtherWorldwideCountries,0.0383,0.119,0.0703,0.17,0.0101,0.427,0.0284,0.428,0.0197,0.479,0.0537,0.228
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.5803,0.02,0.4012,0.061,0.7385,0.042,0.6023,0.082,0.6676,0.073,0.5233,0.065
migratoryBackgroundSwissWith,0.1588,0.05,0.1828,0.094,0.1278,0.109,0.199,0.146,0.1529,0.156,0.154,0.122
migratoryBackgroundFirstGeneration,0.2313,0.043,0.3893,0.066,0.0963,0.132,0.1734,0.165,0.1383,0.172,0.3056,0.09
migratoryBackgroundSecondGenerationAndMore,0.0244,0.141,0.0193,0.309,0.0326,0.224,0.0204,0.476,0.0381,0.317,0.0128,0.45
migratoryBackgroundUnknown,0.0052,0.311,0.0074,0.518,0.0048,0.575,NaN,NaN,NaN,NaN,0.0043,0.784
labourMarketEmployedPersons,0.604,0.02,0.4335,0.061,0.6212,0.047,0.5604,0.087,0.7109,0.071,0.7687,0.053
labourMarketUnemployedPersons,0.0497,0.099,0.0632,0.172,0.0452,0.191,0.0547,0.294,0.0278,0.381,0.0487,0.229
labourMarketPersonsWithoutProfessionalActivity,0.3463,0.03,0.5032,0.054,0.3336,0.064,0.385,0.102,0.2612,0.117,0.1825,0.111
socioprofessionalCategoriesExecutives,0.0277,0.129,0.0105,0.416,0.0177,0.297,0.01,0.681,0.0634,0.245,0.0537,0.207
socioprofessionalCategoriesLiberalAndSimilar,0.0126,0.192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.063,0.192
socioprofessionalCategoriesOtherSelfEmployed,0.0514,0.094,0.0337,0.227,0.077,0.143,0.0624,0.266,0.0808,0.218,0.0135,0.426
socioprofessionalCategoriesIntellectualAndManagerial,0.1053,0.066,0.0061,0.554,0.0119,0.374,0.0173,0.509,0.0388,0.317,0.4685,0.07
socioprofessionalCategoriesIntermediate,0.1495,0.053,0.0497,0.19,0.1026,0.124,0.1382,0.178,0.4972,0.086,0.1465,0.13
socioprofessionalCategoriesSkilledNonManuals,0.1107,0.063,0.0031,0.78,0.2781,0.074,0.2523,0.132,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0425,0.107,0.0099,0.415,0.1146,0.12,0.0534,0.294,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.0778,0.077,0.2859,0.077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,0.0016,0.575,0.0027,0.852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.025,0.138,0.0321,0.238,0.0179,0.301,0.0255,0.416,0.0307,0.353,0.022,0.337
socioprofessionalCategoriesUnemployedOrNotWorking,0.396,0.028,0.5665,0.051,0.3788,0.06,0.4396,0.096,0.2891,0.111,0.2313,0.1
