attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,32100,0.023,5473,0.146,13609,0.076,2587,0.213,6104,0.128,4328,0.161
sexMale,16340,0.063,1770,0.260,6834,0.119,1053,0.332,4100,0.160,2583,0.209
sexFemale,15760,0.070,3702,0.185,6775,0.124,1534,0.286,2003,0.243,1745,0.272
age25_44,10762,0.090,792,0.434,4898,0.146,871,0.377,2206,0.223,1996,0.245
age45_64,13286,0.079,2128,0.245,5429,0.141,1080,0.337,3007,0.193,1643,0.274
age65+,8052,0.111,2553,0.217,3283,0.187,636,0.440,891,0.368,688,0.418
citizenSwiss,27303,0.033,3910,0.171,12306,0.081,2240,0.227,5680,0.133,3167,0.186
citizenUE28_AELE,2937,0.210,498,0.535,978,0.365,235,0.788,389,0.583,837,0.409
citizenOtherEuropeanCountries,1141,0.372,717,0.472,217,0.873,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,719,0.444,347,0.648,NaN,NaN,NaN,NaN,NaN,NaN,234,0.794
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,24897,0.039,3639,0.178,11239,0.087,2071,0.237,5176,0.141,2771,0.199
migratoryBackgroundSwissWith,2375,0.221,271,0.680,1066,0.337,169,0.863,472,0.500,395,0.555
migratoryBackgroundFirstGeneration,4588,0.169,1448,0.321,1208,0.336,347,0.645,424,0.557,1161,0.350
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,21431,0.050,2248,0.241,9026,0.102,1839,0.255,5031,0.143,3287,0.187
labourMarketUnemployedPersons,469,0.520,NaN,NaN,205,0.789,NaN,NaN,NaN,NaN,183,0.867
labourMarketPersonsWithoutProfessionalActivity,10199,0.096,3192,0.195,4378,0.158,748,0.409,1024,0.343,858,0.384
socioprofessionalCategoriesExecutives,1239,0.309,NaN,NaN,352,0.580,NaN,NaN,411,0.533,291,0.644
socioprofessionalCategoriesLiberalAndSimilar,370,0.591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,370,0.591
socioprofessionalCategoriesOtherSelfEmployed,2105,0.233,205,0.788,868,0.371,320,0.609,681,0.413,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,2576,0.213,NaN,NaN,NaN,NaN,NaN,NaN,226,0.728,2165,0.233
socioprofessionalCategoriesIntermediate,5775,0.134,281,0.685,1211,0.314,430,0.534,3586,0.174,267,0.690
socioprofessionalCategoriesSkilledNonManuals,4945,0.148,NaN,NaN,4019,0.166,856,0.384,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,2107,0.233,NaN,NaN,1943,0.243,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1061,0.357,1061,0.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1222,0.321,407,0.592,494,0.500,NaN,NaN,NaN,NaN,162,0.862
socioprofessionalCategoriesUnemployedOrNotWorking,10669,0.093,3225,0.194,4583,0.154,748,0.409,1072,0.333,1041,0.350
