attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,32100.0,0.023,0.1705,0.146,0.424,0.076,0.0806,0.213,0.1902,0.128,0.1348,0.161
sexMale,16340.0,0.063,0.1083,0.26,0.4182,0.119,0.0644,0.332,0.2509,0.16,0.1581,0.209
sexFemale,15760.0,0.07,0.2349,0.185,0.4299,0.124,0.0973,0.286,0.1271,0.243,0.1107,0.272
age25_44,10762.0,0.09,0.0736,0.434,0.4551,0.146,0.0809,0.377,0.205,0.223,0.1855,0.245
age45_64,13286.0,0.079,0.1602,0.245,0.4086,0.141,0.0813,0.337,0.2263,0.193,0.1237,0.274
age65+,8052.0,0.111,0.3171,0.217,0.4077,0.187,0.079,0.44,0.1107,0.368,0.0854,0.418
citizenSwiss,27303.0,0.033,0.1432,0.171,0.4507,0.081,0.082,0.227,0.208,0.133,0.116,0.186
citizenUE28_AELE,2937.0,0.21,0.1696,0.535,0.333,0.365,0.08,0.788,0.1324,0.583,0.285,0.409
citizenOtherEuropeanCountries,1141.0,0.372,0.6284,0.472,0.1902,0.873,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,719.0,0.444,0.4826,0.648,NaN,NaN,NaN,NaN,NaN,NaN,0.3255,0.794
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,24897.0,0.039,0.1462,0.178,0.4514,0.087,0.0832,0.237,0.2079,0.141,0.1113,0.199
migratoryBackgroundSwissWith,2375.0,0.221,0.1141,0.68,0.4488,0.337,0.0712,0.863,0.1987,0.5,0.1663,0.555
migratoryBackgroundFirstGeneration,4588.0,0.169,0.3156,0.321,0.2633,0.336,0.0756,0.645,0.0924,0.557,0.2531,0.35
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,21431.0,0.05,0.1049,0.241,0.4212,0.102,0.0858,0.255,0.2348,0.143,0.1534,0.187
labourMarketUnemployedPersons,469.0,0.52,NaN,NaN,0.4371,0.789,NaN,NaN,NaN,NaN,0.3902,0.867
labourMarketPersonsWithoutProfessionalActivity,10199.0,0.096,0.313,0.195,0.4293,0.158,0.0733,0.409,0.1004,0.343,0.0841,0.384
socioprofessionalCategoriesExecutives,1239.0,0.309,NaN,NaN,0.2841,0.58,NaN,NaN,0.3317,0.533,0.2349,0.644
socioprofessionalCategoriesLiberalAndSimilar,370.0,0.591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.591
socioprofessionalCategoriesOtherSelfEmployed,2105.0,0.233,0.0974,0.788,0.4124,0.371,0.152,0.609,0.3235,0.413,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,2576.0,0.213,NaN,NaN,NaN,NaN,NaN,NaN,0.0877,0.728,0.8405,0.233
socioprofessionalCategoriesIntermediate,5775.0,0.134,0.0487,0.685,0.2097,0.314,0.0745,0.534,0.621,0.174,0.0462,0.69
socioprofessionalCategoriesSkilledNonManuals,4945.0,0.148,NaN,NaN,0.8127,0.166,0.1731,0.384,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,2107.0,0.233,NaN,NaN,0.9222,0.243,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1061.0,0.357,1.0,0.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1222.0,0.321,0.3331,0.592,0.4043,0.5,NaN,NaN,NaN,NaN,0.1326,0.862
socioprofessionalCategoriesUnemployedOrNotWorking,10669.0,0.093,0.3023,0.194,0.4296,0.154,0.0701,0.409,0.1005,0.333,0.0976,0.35
