attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.0,0.1731,0.001,0.4152,0.001,0.0838,0.002,0.1942,0.001,0.1337,0.002
sexMale,1.0,0.001,0.1043,0.003,0.4055,0.001,0.0736,0.003,0.2537,0.002,0.1629,0.002
sexFemale,1.0,0.001,0.2466,0.002,0.4256,0.001,0.0947,0.003,0.1306,0.002,0.1025,0.003
age25_44,1.0,0.001,0.1075,0.003,0.4233,0.002,0.0935,0.004,0.1977,0.002,0.178,0.003
age45_64,1.0,0.001,0.1253,0.003,0.4336,0.001,0.0757,0.003,0.2232,0.002,0.1423,0.002
age65+,1.0,0.001,0.3335,0.002,0.3758,0.002,0.084,0.004,0.1439,0.003,0.0629,0.004
citizenSwiss,1.0,0.0,0.1576,0.002,0.4409,0.001,0.0775,0.002,0.2091,0.001,0.1149,0.002
citizenUE28_AELE,1.0,0.002,0.1481,0.005,0.3052,0.004,0.1345,0.005,0.146,0.005,0.2659,0.004
citizenOtherEuropeanCountries,1.0,0.004,0.5135,0.006,0.277,0.007,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,1.0,0.004,0.4938,0.006,NaN,NaN,NaN,NaN,NaN,NaN,0.2938,0.008
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.0,0.1593,0.002,0.4583,0.001,0.0744,0.002,0.204,0.001,0.104,0.002
migratoryBackgroundSwissWith,1.0,0.002,0.1427,0.006,0.2748,0.004,0.1089,0.006,0.2504,0.004,0.2233,0.005
migratoryBackgroundFirstGeneration,1.0,0.002,0.2665,0.003,0.2694,0.003,0.1152,0.005,0.1027,0.005,0.2464,0.003
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,1.0,0.001,0.0969,0.002,0.4269,0.001,0.0786,0.003,0.2337,0.001,0.1638,0.002
labourMarketUnemployedPersons,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,1.0,0.001,0.3169,0.002,0.3951,0.002,0.0913,0.003,0.1185,0.003,0.0783,0.004
socioprofessionalCategoriesExecutives,1.0,0.003,NaN,NaN,0.3224,0.006,NaN,NaN,0.3693,0.005,0.224,0.007
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.005
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.002,0.1161,0.007,0.5178,0.003,0.0771,0.009,0.2889,0.004,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.002,NaN,NaN,0.0585,0.009,NaN,NaN,0.1133,0.006,0.8282,0.002
socioprofessionalCategoriesIntermediate,1.0,0.001,NaN,NaN,0.2511,0.003,0.0751,0.005,0.5815,0.002,0.0784,0.005
socioprofessionalCategoriesSkilledNonManuals,1.0,0.002,NaN,NaN,0.8406,0.002,0.1521,0.004,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.002,NaN,NaN,0.8551,0.003,0.1314,0.007,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.003,1.0,0.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.004,0.3201,0.008,0.5191,0.006,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.001,0.3161,0.002,0.3932,0.002,0.0935,0.003,0.12,0.003,0.0772,0.004
