attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,32100.0,0.023,5473.0,0.146,13609.0,0.076,2587.0,0.213,6104.0,0.128,4328.0,0.161
sexMale,0.509,0.063,0.3234,0.26,0.5022,0.119,0.407,0.332,0.6717,0.16,0.5968,0.209
sexFemale,0.491,0.07,0.6764,0.185,0.4978,0.124,0.593,0.286,0.3281,0.243,0.4032,0.272
age25_44,0.3353,0.09,0.1447,0.434,0.3599,0.146,0.3367,0.377,0.3614,0.223,0.4612,0.245
age45_64,0.4139,0.079,0.3888,0.245,0.3989,0.141,0.4175,0.337,0.4926,0.193,0.3796,0.274
age65+,0.2508,0.111,0.4665,0.217,0.2412,0.187,0.2458,0.44,0.146,0.368,0.159,0.418
citizenSwiss,0.8506,0.033,0.7144,0.171,0.9043,0.081,0.8659,0.227,0.9305,0.133,0.7317,0.186
citizenUE28_AELE,0.0915,0.21,0.091,0.535,0.0719,0.365,0.0908,0.788,0.0637,0.583,0.1934,0.409
citizenOtherEuropeanCountries,0.0355,0.372,0.131,0.472,0.0159,0.873,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,0.0224,0.444,0.0634,0.648,NaN,NaN,NaN,NaN,NaN,NaN,0.0541,0.794
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.7756,0.039,0.6649,0.178,0.8259,0.087,0.8005,0.237,0.848,0.141,0.6402,0.199
migratoryBackgroundSwissWith,0.074,0.221,0.0495,0.68,0.0783,0.337,0.0653,0.863,0.0773,0.5,0.0913,0.555
migratoryBackgroundFirstGeneration,0.1429,0.169,0.2646,0.321,0.0888,0.336,0.1341,0.645,0.0695,0.557,0.2683,0.35
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,0.6676,0.05,0.4107,0.241,0.6632,0.102,0.7109,0.255,0.8242,0.143,0.7595,0.187
labourMarketUnemployedPersons,0.0146,0.52,NaN,NaN,0.0151,0.789,NaN,NaN,NaN,NaN,0.0423,0.867
labourMarketPersonsWithoutProfessionalActivity,0.3177,0.096,0.5832,0.195,0.3217,0.158,0.2891,0.409,0.1678,0.343,0.1982,0.384
socioprofessionalCategoriesExecutives,0.0386,0.309,NaN,NaN,0.0259,0.58,NaN,NaN,0.0673,0.533,0.0672,0.644
socioprofessionalCategoriesLiberalAndSimilar,0.0115,0.591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0855,0.591
socioprofessionalCategoriesOtherSelfEmployed,0.0656,0.233,0.0375,0.788,0.0638,0.371,0.1237,0.609,0.1116,0.413,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,0.0802,0.213,NaN,NaN,NaN,NaN,NaN,NaN,0.037,0.728,0.5002,0.233
socioprofessionalCategoriesIntermediate,0.1799,0.134,0.0513,0.685,0.089,0.314,0.1662,0.534,0.5875,0.174,0.0617,0.69
socioprofessionalCategoriesSkilledNonManuals,0.154,0.148,NaN,NaN,0.2953,0.166,0.3309,0.384,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0656,0.233,NaN,NaN,0.1428,0.243,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.0331,0.357,0.1939,0.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.0381,0.321,0.0744,0.592,0.0363,0.5,NaN,NaN,NaN,NaN,0.0374,0.862
socioprofessionalCategoriesUnemployedOrNotWorking,0.3324,0.093,0.5893,0.194,0.3368,0.154,0.2891,0.409,0.1756,0.333,0.2405,0.35
