attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,27228,0.026,5076,0.151,12165,0.078,2147,0.236,4799,0.147,3041,0.197
sexMale,13878,0.073,1994,0.256,6288,0.127,955,0.370,2849,0.200,1791,0.265
sexFemale,13350,0.073,3082,0.198,5876,0.127,1193,0.315,1950,0.239,1250,0.310
age25_44,9547,0.101,1057,0.385,4152,0.165,878,0.394,2237,0.231,1223,0.328
age45_64,11228,0.079,1741,0.253,5519,0.129,915,0.349,1837,0.240,1215,0.304
age65+,6453,0.129,2278,0.236,2494,0.221,354,0.608,724,0.417,603,0.481
citizenSwiss,23184,0.036,3518,0.177,11308,0.082,1691,0.259,4424,0.153,2243,0.225
citizenUE28_AELE,2881,0.217,922,0.400,743,0.432,272,0.730,301,0.688,643,0.481
citizenOtherEuropeanCountries,552,0.561,379,0.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,611,0.500,258,0.795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,21162,0.043,3212,0.187,10681,0.086,1405,0.286,4142,0.159,1722,0.262
migratoryBackgroundSwissWith,1986,0.234,306,0.609,591,0.441,286,0.643,282,0.643,521,0.466
migratoryBackgroundFirstGeneration,3854,0.189,1480,0.324,822,0.411,456,0.583,298,0.688,798,0.430
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,18968,0.051,2437,0.227,8591,0.101,1819,0.255,3851,0.167,2269,0.226
labourMarketUnemployedPersons,566,0.503,NaN,NaN,162,0.868,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,7695,0.114,2469,0.224,3412,0.181,286,0.693,881,0.367,648,0.467
socioprofessionalCategoriesExecutives,568,0.453,162,0.867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesLiberalAndSimilar,509,0.482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,509,0.482
socioprofessionalCategoriesOtherSelfEmployed,2640,0.205,270,0.689,1276,0.301,317,0.609,743,0.399,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,1641,0.265,NaN,NaN,NaN,NaN,NaN,NaN,140,0.873,1311,0.301
socioprofessionalCategoriesIntermediate,5239,0.141,334,0.620,1409,0.290,636,0.430,2709,0.204,NaN,NaN
socioprofessionalCategoriesSkilledNonManuals,3704,0.168,NaN,NaN,3199,0.182,476,0.517,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,2318,0.226,NaN,NaN,2076,0.239,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1141,0.341,1141,0.341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1080,0.341,243,0.752,413,0.536,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,8260,0.109,2639,0.218,3574,0.177,328,0.652,947,0.354,772,0.430
