attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,27702,0.024,5584,0.137,12121,0.080,2290,0.229,4780,0.147,2928,0.196
sexMale,14095,0.073,2186,0.242,5999,0.134,886,0.395,3447,0.179,1577,0.275
sexFemale,13607,0.070,3398,0.178,6122,0.124,1404,0.286,1332,0.292,1351,0.293
age25_44,9616,0.100,966,0.379,4376,0.164,856,0.404,1830,0.256,1588,0.280
age45_64,11198,0.080,2162,0.225,4877,0.140,799,0.375,2157,0.221,1203,0.300
age65+,6888,0.121,2455,0.219,2869,0.202,634,0.440,792,0.407,NaN,NaN
citizenSwiss,23438,0.036,4264,0.158,10931,0.086,1484,0.279,4419,0.153,2341,0.221
citizenUE28_AELE,3073,0.200,804,0.405,888,0.387,661,0.462,280,0.687,440,0.519
citizenOtherEuropeanCountries,842,0.402,428,0.559,263,0.737,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,349,0.648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,21745,0.041,3973,0.165,10240,0.090,1335,0.296,4295,0.156,1903,0.248
migratoryBackgroundSwissWith,1664,0.262,291,0.643,691,0.422,NaN,NaN,NaN,NaN,438,0.514
migratoryBackgroundFirstGeneration,4104,0.172,1254,0.326,1163,0.341,740,0.436,361,0.614,587,0.456
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,18487,0.052,2717,0.207,8012,0.107,1554,0.282,3870,0.165,2334,0.219
labourMarketUnemployedPersons,178,0.865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,9037,0.101,2867,0.201,3998,0.167,705,0.418,910,0.375,558,0.482
socioprofessionalCategoriesExecutives,946,0.349,NaN,NaN,318,0.611,NaN,NaN,436,0.515,NaN,NaN
socioprofessionalCategoriesLiberalAndSimilar,179,0.787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,179,0.787
socioprofessionalCategoriesOtherSelfEmployed,2179,0.227,297,0.644,1008,0.337,164,0.863,711,0.409,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,1976,0.239,NaN,NaN,NaN,NaN,NaN,NaN,209,0.730,1672,0.263
socioprofessionalCategoriesIntermediate,5226,0.141,279,0.747,1556,0.276,631,0.430,2409,0.215,352,0.584
socioprofessionalCategoriesSkilledNonManuals,3322,0.180,NaN,NaN,2784,0.197,479,0.523,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,2257,0.235,NaN,NaN,1869,0.256,247,0.799,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1550,0.275,1550,0.275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,776,0.402,293,0.644,379,0.589,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,9215,0.100,2867,0.201,4109,0.165,735,0.408,910,0.375,593,0.467
