attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,27957.0,0.024,0.1673,0.154,0.4237,0.082,0.067,0.257,0.2214,0.127,0.1207,0.183
sexMale,14117.0,0.071,0.1284,0.261,0.4059,0.136,0.047,0.441,0.2663,0.17,0.1524,0.233
sexFemale,13840.0,0.072,0.2071,0.203,0.4417,0.129,0.0873,0.322,0.1757,0.218,0.0883,0.318
age25_44,9640.0,0.098,0.0883,0.399,0.4101,0.172,0.1018,0.369,0.2576,0.216,0.1422,0.298
age45_64,11244.0,0.084,0.1347,0.286,0.4769,0.138,0.0435,0.496,0.2393,0.204,0.1056,0.318
age65+,7073.0,0.118,0.3267,0.226,0.3576,0.214,0.0568,0.554,0.1436,0.348,0.1152,0.39
citizenSwiss,23822.0,0.035,0.1453,0.18,0.4581,0.087,0.0649,0.279,0.2344,0.134,0.0972,0.22
citizenUE28_AELE,3083.0,0.202,0.2916,0.39,0.2254,0.444,0.0649,0.862,0.1424,0.556,0.2754,0.39
citizenOtherEuropeanCountries,754.0,0.455,0.2692,0.864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,297.0,0.742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,21956.0,0.041,0.1359,0.195,0.4759,0.089,0.0608,0.299,0.2353,0.141,0.0921,0.236
migratoryBackgroundSwissWith,1833.0,0.253,0.2608,0.514,0.2537,0.513,0.1151,0.79,0.21,0.555,0.1598,0.642
migratoryBackgroundFirstGeneration,3776.0,0.184,0.3109,0.342,0.2076,0.424,0.0863,0.682,0.1417,0.515,0.2529,0.376
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,245.0,0.809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,18614.0,0.053,0.1129,0.242,0.4359,0.108,0.0579,0.344,0.2716,0.143,0.1217,0.224
labourMarketUnemployedPersons,576.0,0.482,NaN,NaN,0.3698,0.792,NaN,NaN,NaN,NaN,0.3715,0.789
labourMarketPersonsWithoutProfessionalActivity,8767.0,0.103,0.2846,0.218,0.4012,0.178,0.0829,0.418,0.1293,0.331,0.1021,0.383
socioprofessionalCategoriesExecutives,384.0,0.555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4922,0.787
socioprofessionalCategoriesLiberalAndSimilar,461.0,0.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.513
socioprofessionalCategoriesOtherSelfEmployed,2369.0,0.222,0.133,0.644,0.4171,0.354,NaN,NaN,0.377,0.362,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,1861.0,0.246,NaN,NaN,0.1064,0.787,NaN,NaN,0.2692,0.479,0.6072,0.321
socioprofessionalCategoriesIntermediate,5614.0,0.136,NaN,NaN,0.2207,0.316,0.0946,0.481,0.624,0.178,0.055,0.626
socioprofessionalCategoriesSkilledNonManuals,4079.0,0.165,NaN,NaN,0.911,0.173,0.0731,0.686,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1915.0,0.255,NaN,NaN,0.8877,0.271,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1465.0,0.292,1.0,0.292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,395.0,0.582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,9343.0,0.099,0.2756,0.215,0.3992,0.172,0.0852,0.399,0.1214,0.331,0.1187,0.343
