attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.0,0.1673,0.002,0.4237,0.001,0.067,0.003,0.2214,0.001,0.1207,0.002
sexMale,1.0,0.001,0.1284,0.003,0.4059,0.001,0.047,0.004,0.2663,0.002,0.1524,0.002
sexFemale,1.0,0.001,0.2071,0.002,0.4417,0.001,0.0873,0.003,0.1757,0.002,0.0883,0.003
age25_44,1.0,0.001,0.0883,0.004,0.4101,0.002,0.1018,0.004,0.2576,0.002,0.1422,0.003
age45_64,1.0,0.001,0.1347,0.003,0.4769,0.001,0.0435,0.005,0.2393,0.002,0.1056,0.003
age65+,1.0,0.001,0.3267,0.002,0.3576,0.002,0.0568,0.006,0.1436,0.003,0.1152,0.004
citizenSwiss,1.0,0.0,0.1453,0.002,0.4581,0.001,0.0649,0.003,0.2344,0.001,0.0972,0.002
citizenUE28_AELE,1.0,0.002,0.2916,0.004,0.2254,0.004,0.0649,0.009,0.1424,0.006,0.2754,0.004
citizenOtherEuropeanCountries,1.0,0.005,0.2692,0.009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,1.0,0.007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.0,0.1359,0.002,0.4759,0.001,0.0608,0.003,0.2353,0.001,0.0921,0.002
migratoryBackgroundSwissWith,1.0,0.003,0.2608,0.005,0.2537,0.005,0.1151,0.008,0.21,0.006,0.1598,0.006
migratoryBackgroundFirstGeneration,1.0,0.002,0.3109,0.003,0.2076,0.004,0.0863,0.007,0.1417,0.005,0.2529,0.004
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,1.0,0.008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,1.0,0.001,0.1129,0.002,0.4359,0.001,0.0579,0.003,0.2716,0.001,0.1217,0.002
labourMarketUnemployedPersons,1.0,0.005,NaN,NaN,0.3698,0.008,NaN,NaN,NaN,NaN,0.3715,0.008
labourMarketPersonsWithoutProfessionalActivity,1.0,0.001,0.2846,0.002,0.4012,0.002,0.0829,0.004,0.1293,0.003,0.1021,0.004
socioprofessionalCategoriesExecutives,1.0,0.006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4922,0.008
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.005
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.002,0.133,0.006,0.4171,0.004,NaN,NaN,0.377,0.004,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.002,NaN,NaN,0.1064,0.008,NaN,NaN,0.2692,0.005,0.6072,0.003
socioprofessionalCategoriesIntermediate,1.0,0.001,NaN,NaN,0.2207,0.003,0.0946,0.005,0.624,0.002,0.055,0.006
socioprofessionalCategoriesSkilledNonManuals,1.0,0.002,NaN,NaN,0.911,0.002,0.0731,0.007,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.003,NaN,NaN,0.8877,0.003,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.003,1.0,0.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.001,0.2756,0.002,0.3992,0.002,0.0852,0.004,0.1214,0.003,0.1187,0.003
