attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,26914.0,0.026,6100.0,0.129,11411.0,0.082,2140.0,0.23,4507.0,0.153,2755.0,0.203
sexMale,0.5055,0.075,0.4098,0.223,0.4844,0.138,0.3724,0.399,0.7138,0.189,0.5681,0.282
sexFemale,0.4945,0.069,0.5902,0.171,0.5156,0.125,0.6276,0.288,0.2864,0.292,0.4319,0.308
age25_44,0.356,0.094,0.228,0.297,0.3449,0.162,0.3364,0.41,0.4564,0.237,0.5361,0.283
age45_64,0.411,0.084,0.3321,0.238,0.4638,0.137,0.4019,0.367,0.4185,0.246,0.3623,0.348
age65+,0.233,0.127,0.4398,0.207,0.1913,0.232,0.2621,0.465,0.1254,0.479,0.102,0.681
citizenSwiss,0.8468,0.037,0.7711,0.149,0.922,0.086,0.7542,0.264,0.9155,0.161,0.6632,0.251
citizenUE28_AELE,0.1015,0.209,0.1141,0.429,0.0591,0.44,0.1607,0.609,0.0672,0.642,0.2599,0.419
citizenOtherEuropeanCountries,0.0294,0.419,0.0798,0.535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,0.0222,0.466,0.0351,0.787,NaN,NaN,NaN,NaN,NaN,NaN,0.0639,0.868
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.7744,0.044,0.7087,0.156,0.8501,0.092,0.6056,0.296,0.8493,0.168,0.6149,0.261
migratoryBackgroundSwissWith,0.0713,0.242,0.0623,0.554,0.0691,0.382,0.1486,0.608,0.0663,0.643,NaN,NaN
migratoryBackgroundFirstGeneration,0.1442,0.174,0.2126,0.317,0.0716,0.399,0.228,0.515,0.0845,0.584,0.3256,0.376
migratoryBackgroundSecondGenerationAndMore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,0.0102,0.681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,0.664,0.054,0.4148,0.215,0.7089,0.105,0.586,0.304,0.8482,0.168,0.7898,0.23
labourMarketUnemployedPersons,0.0218,0.467,NaN,NaN,0.0179,0.788,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,0.3142,0.103,0.5646,0.179,0.2733,0.188,0.393,0.375,0.1356,0.452,0.1601,0.533
socioprofessionalCategoriesExecutives,0.0265,0.418,NaN,NaN,0.0148,0.863,NaN,NaN,0.0504,0.727,0.0762,0.787
socioprofessionalCategoriesLiberalAndSimilar,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesOtherSelfEmployed,0.0615,0.264,0.032,0.786,0.0692,0.382,0.0766,0.862,0.1047,0.513,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,0.0711,0.244,NaN,NaN,0.0145,0.868,NaN,NaN,0.0723,0.608,0.5162,0.285
socioprofessionalCategoriesIntermediate,0.1941,0.14,0.0441,0.681,0.1374,0.272,0.1449,0.608,0.5915,0.205,0.1488,0.558
socioprofessionalCategoriesSkilledNonManuals,0.1322,0.17,NaN,NaN,0.2729,0.183,0.207,0.514,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0828,0.228,NaN,NaN,0.1715,0.244,0.0799,0.863,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.0547,0.29,0.2411,0.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.0363,0.348,0.0636,0.556,0.0255,0.642,0.0776,0.864,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,0.336,0.099,0.5852,0.176,0.2912,0.181,0.4136,0.368,0.152,0.428,0.2102,0.465
