attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,361897,0.007,77753,0.037,150501,0.023,32474,0.061,53964,0.045,47205,0.050
sexMale,180231,0.021,28432,0.067,76278,0.038,13065,0.101,36167,0.057,26290,0.069
sexFemale,181666,0.020,49321,0.048,74223,0.037,19409,0.079,17797,0.082,20915,0.076
age25_44,136392,0.027,19114,0.087,54191,0.047,13556,0.100,22583,0.075,26948,0.069
age45_64,139913,0.024,28464,0.065,61495,0.042,11154,0.105,23592,0.071,15209,0.089
age65+,85592,0.033,30175,0.061,34815,0.055,7764,0.123,7789,0.121,5049,0.151
citizenSwiss,275330,0.012,46664,0.048,126165,0.026,23520,0.071,46447,0.049,32534,0.060
citizenUE28_AELE,52357,0.047,12001,0.102,16615,0.088,5898,0.150,6205,0.145,11637,0.106
citizenOtherEuropeanCountries,25727,0.076,14447,0.101,6364,0.159,2432,0.251,765,0.460,1720,0.309
citizenOtherWorldwideCountries,8355,0.132,4513,0.180,1357,0.334,624,0.487,548,0.502,1314,0.333
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,231279,0.015,36614,0.055,108247,0.029,19588,0.078,40254,0.053,26575,0.067
migratoryBackgroundSwissWith,42580,0.051,9612,0.112,17335,0.083,3898,0.179,5881,0.145,5854,0.146
migratoryBackgroundFirstGeneration,79529,0.038,29749,0.067,21189,0.080,8353,0.128,6124,0.148,14114,0.098
migratoryBackgroundSecondGenerationAndMore,6878,0.143,1216,0.346,3146,0.211,566,0.502,1394,0.315,557,0.530
migratoryBackgroundUnknown,1631,0.280,562,0.486,584,0.458,NaN,NaN,311,0.645,NaN,NaN
labourMarketEmployedPersons,233876,0.016,32076,0.063,99720,0.032,20038,0.080,43475,0.052,38566,0.056
labourMarketUnemployedPersons,8947,0.124,2575,0.239,3484,0.198,1001,0.380,727,0.422,1161,0.342
labourMarketPersonsWithoutProfessionalActivity,119074,0.027,43101,0.051,47297,0.047,11435,0.103,9762,0.109,7479,0.129
socioprofessionalCategoriesExecutives,9655,0.115,966,0.374,2904,0.211,500,0.519,2783,0.213,2502,0.226
socioprofessionalCategoriesLiberalAndSimilar,3694,0.185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3694,0.185
socioprofessionalCategoriesOtherSelfEmployed,19283,0.080,3036,0.209,9555,0.115,1409,0.302,4490,0.168,794,0.407
socioprofessionalCategoriesIntellectualAndManagerial,29107,0.065,175,0.868,1236,0.322,235,0.730,2905,0.211,24556,0.071
socioprofessionalCategoriesIntermediate,65389,0.041,2613,0.227,19204,0.081,5570,0.151,32179,0.061,5822,0.151
socioprofessionalCategoriesSkilledNonManuals,49044,0.048,264,0.737,41088,0.053,7692,0.130,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,24289,0.073,743,0.436,20498,0.080,3048,0.214,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,18689,0.084,18689,0.084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,591,0.502,322,0.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,14135,0.096,5268,0.161,5135,0.159,1500,0.295,1073,0.342,1160,0.349
socioprofessionalCategoriesUnemployedOrNotWorking,128021,0.026,45677,0.050,50780,0.046,12435,0.099,10490,0.105,8639,0.121
