attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,365019,0.007,71781,0.039,156500,0.022,33890,0.059,55232,0.044,47616,0.049
sexMale,181885,0.020,26090,0.070,77712,0.037,14128,0.096,36922,0.055,27033,0.067
sexFemale,183134,0.020,45691,0.050,78788,0.036,19762,0.078,18309,0.080,20583,0.076
age25_44,137212,0.026,17751,0.090,55804,0.046,14203,0.097,22411,0.074,27044,0.068
age45_64,140417,0.024,24715,0.070,64637,0.040,12703,0.097,23145,0.070,15218,0.087
age65+,87390,0.033,29315,0.063,36059,0.056,6984,0.131,9677,0.110,5355,0.149
citizenSwiss,277017,0.012,42897,0.051,130805,0.025,23299,0.071,48204,0.047,31811,0.060
citizenUE28_AELE,52909,0.048,11244,0.108,17280,0.087,6755,0.143,5333,0.159,12296,0.104
citizenOtherEuropeanCountries,26530,0.073,13349,0.105,7031,0.147,2875,0.228,1483,0.317,1792,0.287
citizenOtherWorldwideCountries,8512,0.129,4239,0.186,1383,0.320,960,0.391,212,0.791,1718,0.287
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,232041,0.015,33462,0.058,112767,0.028,18208,0.080,42275,0.051,25329,0.067
migratoryBackgroundSwissWith,43344,0.050,8896,0.116,17167,0.083,5057,0.156,5835,0.143,6388,0.136
migratoryBackgroundFirstGeneration,80033,0.038,27344,0.071,21758,0.078,9695,0.121,6151,0.150,15085,0.094
migratoryBackgroundSecondGenerationAndMore,7573,0.136,1370,0.331,3861,0.191,822,0.417,835,0.396,685,0.462
migratoryBackgroundUnknown,2029,0.250,709,0.423,947,0.366,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,233648,0.016,27420,0.068,102516,0.031,21802,0.075,43864,0.050,38046,0.055
labourMarketUnemployedPersons,7269,0.138,1920,0.281,2907,0.217,684,0.459,768,0.413,989,0.374
labourMarketPersonsWithoutProfessionalActivity,124102,0.027,42441,0.052,51076,0.046,11403,0.105,10600,0.107,8581,0.122
socioprofessionalCategoriesExecutives,9288,0.114,621,0.473,2381,0.230,685,0.435,3097,0.196,2504,0.217
socioprofessionalCategoriesLiberalAndSimilar,3418,0.188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3418,0.188
socioprofessionalCategoriesOtherSelfEmployed,21397,0.075,2053,0.252,11597,0.103,2063,0.248,4888,0.158,796,0.405
socioprofessionalCategoriesIntellectualAndManagerial,28564,0.064,NaN,NaN,1627,0.274,312,0.650,2632,0.216,23860,0.071
socioprofessionalCategoriesIntermediate,68357,0.039,3398,0.196,18903,0.080,6784,0.134,32522,0.059,6751,0.139
socioprofessionalCategoriesSkilledNonManuals,52069,0.046,322,0.653,43762,0.050,7986,0.127,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,24211,0.072,706,0.435,20501,0.079,3004,0.216,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,16585,0.089,16585,0.089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,298,0.684,NaN,NaN,187,0.866,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,9462,0.118,3566,0.196,3560,0.191,969,0.376,690,0.422,678,0.434
socioprofessionalCategoriesUnemployedOrNotWorking,131371,0.026,44361,0.051,53983,0.045,12088,0.102,11368,0.103,9570,0.116
