attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,361897.0,0.007,0.2148,0.037,0.4159,0.023,0.0897,0.061,0.1491,0.045,0.1304,0.05
sexMale,180231.0,0.021,0.1578,0.067,0.4232,0.038,0.0725,0.101,0.2007,0.057,0.1459,0.069
sexFemale,181666.0,0.02,0.2715,0.048,0.4086,0.037,0.1068,0.079,0.098,0.082,0.1151,0.076
age25_44,136392.0,0.027,0.1401,0.087,0.3973,0.047,0.0994,0.1,0.1656,0.075,0.1976,0.069
age45_64,139913.0,0.024,0.2034,0.065,0.4395,0.042,0.0797,0.105,0.1686,0.071,0.1087,0.089
age65+,85592.0,0.033,0.3525,0.061,0.4068,0.055,0.0907,0.123,0.091,0.121,0.059,0.151
citizenSwiss,275330.0,0.012,0.1695,0.048,0.4582,0.026,0.0854,0.071,0.1687,0.049,0.1182,0.06
citizenUE28_AELE,52357.0,0.047,0.2292,0.102,0.3173,0.088,0.1126,0.15,0.1185,0.145,0.2223,0.106
citizenOtherEuropeanCountries,25727.0,0.076,0.5616,0.101,0.2474,0.159,0.0945,0.251,0.0297,0.46,0.0669,0.309
citizenOtherWorldwideCountries,8355.0,0.132,0.5402,0.18,0.1624,0.334,0.0747,0.487,0.0656,0.502,0.1573,0.333
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,231279.0,0.015,0.1583,0.055,0.468,0.029,0.0847,0.078,0.174,0.053,0.1149,0.067
migratoryBackgroundSwissWith,42580.0,0.051,0.2257,0.112,0.4071,0.083,0.0915,0.179,0.1381,0.145,0.1375,0.146
migratoryBackgroundFirstGeneration,79529.0,0.038,0.3741,0.067,0.2664,0.08,0.105,0.128,0.077,0.148,0.1775,0.098
migratoryBackgroundSecondGenerationAndMore,6878.0,0.143,0.1768,0.346,0.4574,0.211,0.0823,0.502,0.2027,0.315,0.081,0.53
migratoryBackgroundUnknown,1631.0,0.28,0.3446,0.486,0.3581,0.458,NaN,NaN,0.1907,0.645,NaN,NaN
labourMarketEmployedPersons,233876.0,0.016,0.1371,0.063,0.4264,0.032,0.0857,0.08,0.1859,0.052,0.1649,0.056
labourMarketUnemployedPersons,8947.0,0.124,0.2878,0.239,0.3894,0.198,0.1119,0.38,0.0813,0.422,0.1298,0.342
labourMarketPersonsWithoutProfessionalActivity,119074.0,0.027,0.362,0.051,0.3972,0.047,0.096,0.103,0.082,0.109,0.0628,0.129
socioprofessionalCategoriesExecutives,9655.0,0.115,0.1001,0.374,0.3008,0.211,0.0518,0.519,0.2882,0.213,0.2591,0.226
socioprofessionalCategoriesLiberalAndSimilar,3694.0,0.185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.185
socioprofessionalCategoriesOtherSelfEmployed,19283.0,0.08,0.1574,0.209,0.4955,0.115,0.0731,0.302,0.2328,0.168,0.0412,0.407
socioprofessionalCategoriesIntellectualAndManagerial,29107.0,0.065,0.006,0.868,0.0425,0.322,0.0081,0.73,0.0998,0.211,0.8436,0.071
socioprofessionalCategoriesIntermediate,65389.0,0.041,0.04,0.227,0.2937,0.081,0.0852,0.151,0.4921,0.061,0.089,0.151
socioprofessionalCategoriesSkilledNonManuals,49044.0,0.048,0.0054,0.737,0.8378,0.053,0.1568,0.13,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,24289.0,0.073,0.0306,0.436,0.8439,0.08,0.1255,0.214,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,18689.0,0.084,1.0,0.084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,591.0,0.502,0.5448,0.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,14135.0,0.096,0.3727,0.161,0.3633,0.159,0.1061,0.295,0.0759,0.342,0.0821,0.349
socioprofessionalCategoriesUnemployedOrNotWorking,128021.0,0.026,0.3568,0.05,0.3967,0.046,0.0971,0.099,0.0819,0.105,0.0675,0.121
