attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.0,0.1973,0.0,0.4186,0.0,0.09,0.001,0.1549,0.0,0.1391,0.0
sexMale,1.0,0.0,0.1451,0.001,0.4188,0.0,0.0719,0.001,0.2069,0.001,0.1574,0.001
sexFemale,1.0,0.0,0.2492,0.0,0.4184,0.0,0.1081,0.001,0.1032,0.001,0.121,0.001
age25_44,1.0,0.0,0.1201,0.001,0.3945,0.0,0.098,0.001,0.1811,0.001,0.2063,0.001
age45_64,1.0,0.0,0.1857,0.001,0.4613,0.0,0.0802,0.001,0.1512,0.001,0.1216,0.001
age65+,1.0,0.0,0.3354,0.001,0.3886,0.001,0.0932,0.001,0.1202,0.001,0.0627,0.001
citizenSwiss,1.0,0.0,0.1551,0.0,0.4621,0.0,0.083,0.001,0.1774,0.0,0.1225,0.001
citizenUE28_AELE,1.0,0.0,0.2031,0.001,0.3115,0.001,0.1189,0.001,0.1166,0.001,0.2499,0.001
citizenOtherEuropeanCountries,1.0,0.001,0.5322,0.001,0.2726,0.001,0.0969,0.002,0.0346,0.004,0.0638,0.003
citizenOtherWorldwideCountries,1.0,0.001,0.4883,0.002,0.16,0.003,0.1107,0.004,0.0449,0.005,0.1962,0.003
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.0,0.1424,0.001,0.4734,0.0,0.0803,0.001,0.1854,0.0,0.1184,0.001
migratoryBackgroundSwissWith,1.0,0.0,0.2176,0.001,0.4011,0.001,0.0973,0.002,0.1399,0.001,0.1441,0.001
migratoryBackgroundFirstGeneration,1.0,0.0,0.3454,0.001,0.2567,0.001,0.1154,0.001,0.0779,0.001,0.2045,0.001
migratoryBackgroundSecondGenerationAndMore,1.0,0.001,0.1472,0.004,0.5794,0.002,0.0661,0.005,0.1558,0.003,0.0515,0.006
migratoryBackgroundUnknown,1.0,0.002,0.2196,0.005,0.4643,0.003,0.1028,0.008,0.1244,0.007,0.0889,0.008
labourMarketEmployedPersons,1.0,0.0,0.1176,0.001,0.4341,0.0,0.0849,0.001,0.185,0.001,0.1783,0.001
labourMarketUnemployedPersons,1.0,0.001,0.2994,0.002,0.4138,0.002,0.0962,0.004,0.0774,0.004,0.1133,0.004
labourMarketPersonsWithoutProfessionalActivity,1.0,0.0,0.3392,0.001,0.3898,0.0,0.0992,0.001,0.1044,0.001,0.0675,0.001
socioprofessionalCategoriesExecutives,1.0,0.001,0.1136,0.003,0.2811,0.002,0.0521,0.005,0.2532,0.002,0.3,0.002
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.002
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.001,0.0979,0.003,0.5646,0.001,0.0854,0.003,0.2214,0.002,0.0307,0.005
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.001,0.0103,0.006,0.0539,0.003,0.0143,0.005,0.0621,0.002,0.8595,0.001
socioprofessionalCategoriesIntermediate,1.0,0.0,0.0469,0.002,0.2859,0.001,0.0859,0.001,0.4877,0.001,0.0936,0.001
socioprofessionalCategoriesSkilledNonManuals,1.0,0.0,0.0051,0.007,0.8436,0.001,0.1512,0.001,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.001,0.0269,0.004,0.8538,0.001,0.1193,0.002,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.001,1.0,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1.0,0.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.001,0.3119,0.002,0.3988,0.002,0.0856,0.004,0.1215,0.004,0.0822,0.004
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.0,0.3364,0.0,0.3914,0.0,0.099,0.001,0.1025,0.001,0.0707,0.001
