attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,367893.0,0.007,72593.0,0.038,153996.0,0.023,33128.0,0.059,56997.0,0.043,51180.0,0.047
sexMale,0.4987,0.02,0.3667,0.069,0.4989,0.037,0.398,0.099,0.6659,0.054,0.5641,0.065
sexFemale,0.5013,0.019,0.6333,0.049,0.5011,0.036,0.602,0.076,0.3341,0.078,0.4359,0.072
age25_44,0.3757,0.026,0.2287,0.09,0.3541,0.046,0.409,0.098,0.4392,0.069,0.5571,0.065
age45_64,0.3819,0.024,0.3593,0.069,0.4209,0.04,0.3402,0.103,0.3728,0.074,0.3337,0.083
age65+,0.2424,0.032,0.412,0.061,0.225,0.055,0.2508,0.118,0.188,0.102,0.1092,0.143
citizenSwiss,0.7555,0.012,0.5938,0.05,0.834,0.026,0.696,0.071,0.8653,0.046,0.665,0.057
citizenUE28_AELE,0.1482,0.047,0.1525,0.109,0.1103,0.088,0.1957,0.146,0.1115,0.142,0.2661,0.099
citizenOtherEuropeanCountries,0.0707,0.071,0.1906,0.099,0.046,0.138,0.076,0.231,0.0158,0.39,0.0324,0.287
citizenOtherWorldwideCountries,0.0255,0.119,0.0631,0.174,0.0097,0.296,0.0313,0.351,0.0074,0.544,0.0359,0.267
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.6278,0.015,0.453,0.058,0.71,0.029,0.5601,0.079,0.7514,0.05,0.5345,0.064
migratoryBackgroundSwissWith,0.1223,0.049,0.1349,0.11,0.1172,0.081,0.1322,0.165,0.1105,0.137,0.1267,0.135
migratoryBackgroundFirstGeneration,0.2224,0.037,0.3894,0.068,0.1364,0.079,0.2851,0.12,0.1118,0.142,0.3271,0.088
migratoryBackgroundSecondGenerationAndMore,0.0214,0.131,0.016,0.351,0.0296,0.172,0.0157,0.52,0.0215,0.328,0.0079,0.59
migratoryBackgroundUnknown,0.0061,0.239,0.0067,0.5,0.0067,0.348,0.0069,0.795,0.0049,0.69,0.0039,0.789
labourMarketEmployedPersons,0.6358,0.016,0.379,0.067,0.6594,0.031,0.5996,0.078,0.759,0.051,0.815,0.052
labourMarketUnemployedPersons,0.0253,0.121,0.0384,0.228,0.025,0.188,0.027,0.398,0.0126,0.423,0.0206,0.36
labourMarketPersonsWithoutProfessionalActivity,0.3389,0.026,0.5825,0.051,0.3156,0.047,0.3734,0.098,0.2283,0.094,0.1644,0.12
socioprofessionalCategoriesExecutives,0.028,0.109,0.0161,0.34,0.0188,0.209,0.0162,0.483,0.0457,0.216,0.0603,0.196
socioprofessionalCategoriesLiberalAndSimilar,0.0089,0.194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.064,0.194
socioprofessionalCategoriesOtherSelfEmployed,0.0505,0.08,0.025,0.27,0.0681,0.108,0.0479,0.28,0.0722,0.172,0.0112,0.47
socioprofessionalCategoriesIntellectualAndManagerial,0.0872,0.06,0.0045,0.614,0.0112,0.265,0.0138,0.519,0.0349,0.245,0.5386,0.065
socioprofessionalCategoriesIntermediate,0.1867,0.039,0.0443,0.199,0.1275,0.078,0.1781,0.144,0.5876,0.058,0.1256,0.142
socioprofessionalCategoriesSkilledNonManuals,0.1391,0.046,0.0036,0.684,0.2803,0.051,0.2335,0.128,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0644,0.073,0.0088,0.445,0.1314,0.079,0.0853,0.22,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.0472,0.086,0.2393,0.086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,0.0017,0.485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.0221,0.124,0.0349,0.225,0.0211,0.198,0.021,0.435,0.0173,0.354,0.0131,0.433
socioprofessionalCategoriesUnemployedOrNotWorking,0.3642,0.025,0.6209,0.05,0.3406,0.045,0.4004,0.095,0.241,0.091,0.185,0.114
