attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,61063,0.015,10763,0.100,25822,0.055,6247,0.136,9379,0.106,8852,0.109
sexMale,29924,0.050,4049,0.178,12517,0.093,2706,0.220,6032,0.138,4620,0.158
sexFemale,31139,0.046,6713,0.129,13305,0.085,3541,0.180,3347,0.183,4232,0.162
age25_44,21000,0.068,2035,0.259,8724,0.117,2337,0.242,3765,0.182,4138,0.171
age45_64,23468,0.057,3893,0.175,9863,0.101,2292,0.223,3812,0.167,3609,0.172
age65+,16595,0.075,4835,0.154,7235,0.123,1618,0.270,1802,0.257,1105,0.329
citizenSwiss,45576,0.030,5789,0.139,21416,0.063,4504,0.161,7989,0.116,5878,0.138
citizenUE28_AELE,9411,0.107,1835,0.258,3004,0.203,1278,0.319,1130,0.325,2164,0.230
citizenOtherEuropeanCountries,3669,0.190,1926,0.267,1039,0.365,314,0.645,NaN,NaN,227,0.741
citizenOtherWorldwideCountries,2407,0.233,1212,0.337,364,0.622,NaN,NaN,NaN,NaN,583,0.457
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,34399,0.042,3919,0.172,16682,0.075,3144,0.195,6235,0.134,4418,0.161
migratoryBackgroundSwissWith,10956,0.097,1775,0.257,4607,0.158,1360,0.300,1753,0.258,1460,0.286
migratoryBackgroundFirstGeneration,14234,0.086,4759,0.163,3723,0.183,1612,0.281,1226,0.319,2914,0.198
migratoryBackgroundSecondGenerationAndMore,1254,0.327,215,0.790,684,0.444,NaN,NaN,165,0.865,NaN,NaN
migratoryBackgroundUnknown,221,0.729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,36976,0.040,3609,0.185,15663,0.079,3801,0.178,7143,0.124,6760,0.126
labourMarketUnemployedPersons,1496,0.295,239,0.730,721,0.435,NaN,NaN,233,0.733,189,0.788
labourMarketPersonsWithoutProfessionalActivity,22592,0.061,6915,0.128,9438,0.106,2332,0.229,2004,0.242,1902,0.254
socioprofessionalCategoriesExecutives,1659,0.267,NaN,NaN,356,0.587,NaN,NaN,253,0.683,804,0.378
socioprofessionalCategoriesLiberalAndSimilar,678,0.411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,678,0.411
socioprofessionalCategoriesOtherSelfEmployed,2810,0.208,234,0.737,1571,0.280,369,0.588,523,0.484,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,4698,0.154,NaN,NaN,252,0.682,187,0.788,462,0.498,3797,0.173
socioprofessionalCategoriesIntermediate,11182,0.097,484,0.519,2775,0.208,1103,0.337,5709,0.141,1111,0.330
socioprofessionalCategoriesSkilledNonManuals,8446,0.113,NaN,NaN,6822,0.127,1547,0.283,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,3786,0.183,NaN,NaN,3304,0.197,419,0.560,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,2247,0.236,2247,0.236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1402,0.297,373,0.615,514,0.482,NaN,NaN,196,0.788,257,0.684
socioprofessionalCategoriesUnemployedOrNotWorking,24087,0.058,7154,0.126,10159,0.102,2446,0.224,2237,0.229,2091,0.241
