attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,60665,0.015,11144,0.102,25686,0.055,5226,0.150,10327,0.099,8282,0.114
sexMale,29239,0.048,3590,0.191,12512,0.089,1870,0.258,6745,0.124,4522,0.155
sexFemale,31426,0.048,7554,0.127,13174,0.088,3356,0.191,3582,0.183,3760,0.179
age25_44,20955,0.067,2906,0.227,8412,0.118,1939,0.259,3639,0.178,4059,0.171
age45_64,23379,0.060,3580,0.194,10624,0.100,1845,0.264,4579,0.157,2751,0.207
age65+,16331,0.072,4658,0.154,6650,0.123,1442,0.279,2109,0.227,1471,0.270
citizenSwiss,44758,0.029,6228,0.132,20759,0.063,3789,0.173,8661,0.108,5322,0.142
citizenUE28_AELE,10520,0.106,2149,0.252,3534,0.193,888,0.397,1502,0.295,2447,0.227
citizenOtherEuropeanCountries,3278,0.226,1573,0.338,1085,0.386,366,0.688,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,2109,0.253,1193,0.348,308,0.645,182,0.871,NaN,NaN,389,0.561
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,35102,0.039,4464,0.158,16351,0.074,2978,0.197,7261,0.119,4048,0.165
migratoryBackgroundSwissWith,9310,0.105,1695,0.263,4217,0.163,751,0.393,1372,0.292,1274,0.299
migratoryBackgroundFirstGeneration,14767,0.089,4811,0.175,4158,0.180,1317,0.334,1550,0.292,2931,0.207
migratoryBackgroundSecondGenerationAndMore,1140,0.353,NaN,NaN,769,0.433,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,347,0.583,NaN,NaN,190,0.790,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,37124,0.040,4342,0.175,15988,0.078,2924,0.206,7735,0.117,6134,0.135
labourMarketUnemployedPersons,1867,0.276,569,0.499,579,0.505,324,0.693,180,0.870,216,0.793
labourMarketPersonsWithoutProfessionalActivity,21673,0.062,6232,0.138,9119,0.106,1978,0.244,2412,0.215,1931,0.245
socioprofessionalCategoriesExecutives,1172,0.312,NaN,NaN,227,0.733,NaN,NaN,521,0.468,386,0.534
socioprofessionalCategoriesLiberalAndSimilar,741,0.403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,741,0.403
socioprofessionalCategoriesOtherSelfEmployed,3508,0.186,261,0.685,1716,0.271,306,0.647,1016,0.346,208,0.791
socioprofessionalCategoriesIntellectualAndManagerial,4692,0.155,NaN,NaN,310,0.613,167,0.866,556,0.455,3659,0.178
socioprofessionalCategoriesIntermediate,11036,0.097,324,0.695,3412,0.188,791,0.386,5461,0.143,1048,0.341
socioprofessionalCategoriesSkilledNonManuals,8121,0.118,NaN,NaN,6906,0.129,1164,0.338,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,3451,0.189,NaN,NaN,3030,0.202,283,0.684,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,2733,0.221,2733,0.221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1559,0.291,833,0.421,311,0.611,176,0.871,146,0.864,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,23541,0.059,6802,0.133,9698,0.103,2302,0.230,2592,0.209,2147,0.234
