attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,61699.0,0.015,0.1626,0.107,0.3777,0.061,0.0833,0.152,0.2034,0.09,0.1729,0.1
sexMale,30483.0,0.049,0.1236,0.186,0.3857,0.096,0.0661,0.252,0.2352,0.125,0.1895,0.141
sexFemale,31216.0,0.047,0.2007,0.138,0.3699,0.096,0.1001,0.196,0.1724,0.147,0.1568,0.156
age25_44,21281.0,0.068,0.1068,0.252,0.3733,0.125,0.0859,0.272,0.196,0.174,0.238,0.157
age45_64,23533.0,0.057,0.1556,0.183,0.3633,0.111,0.0968,0.226,0.2168,0.146,0.1674,0.168
age65+,16885.0,0.075,0.2428,0.172,0.4032,0.129,0.0612,0.345,0.1941,0.191,0.0987,0.273
citizenSwiss,45637.0,0.03,0.1278,0.14,0.4124,0.07,0.0752,0.186,0.2314,0.1,0.1531,0.126
citizenUE28_AELE,10468.0,0.103,0.1676,0.274,0.3029,0.199,0.1194,0.322,0.1545,0.272,0.2556,0.214
citizenOtherEuropeanCountries,3441.0,0.205,0.4298,0.313,0.2601,0.416,0.1122,0.614,0.0866,0.747,0.1113,0.613
citizenOtherWorldwideCountries,2153.0,0.259,0.4487,0.404,0.1937,0.586,NaN,NaN,NaN,NaN,0.2894,0.47
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,35615.0,0.041,0.1015,0.181,0.428,0.08,0.0681,0.224,0.2496,0.11,0.1527,0.146
migratoryBackgroundSwissWith,9707.0,0.105,0.2153,0.242,0.3607,0.184,0.1036,0.345,0.168,0.273,0.1525,0.282
migratoryBackgroundFirstGeneration,15073.0,0.085,0.2658,0.185,0.2609,0.182,0.1087,0.284,0.1231,0.261,0.2415,0.184
migratoryBackgroundSecondGenerationAndMore,989.0,0.373,0.1941,0.864,0.5571,0.503,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,315.0,0.647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,36620.0,0.04,0.099,0.186,0.3682,0.087,0.0909,0.192,0.2321,0.113,0.2098,0.12
labourMarketUnemployedPersons,2353.0,0.239,0.2087,0.54,0.4144,0.381,0.1283,0.652,0.0935,0.798,0.1551,0.595
labourMarketPersonsWithoutProfessionalActivity,22725.0,0.062,0.2604,0.144,0.3892,0.112,0.0665,0.286,0.1686,0.177,0.1154,0.22
socioprofessionalCategoriesExecutives,785.0,0.385,NaN,NaN,NaN,NaN,NaN,NaN,0.2051,0.863,0.465,0.559
socioprofessionalCategoriesLiberalAndSimilar,642.0,0.443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.443
socioprofessionalCategoriesOtherSelfEmployed,3656.0,0.182,0.134,0.518,0.3701,0.304,0.0818,0.689,0.3671,0.3,0.047,0.866
socioprofessionalCategoriesIntellectualAndManagerial,6602.0,0.13,NaN,NaN,0.1042,0.42,NaN,NaN,0.1306,0.37,0.7454,0.153
socioprofessionalCategoriesIntermediate,11642.0,0.095,0.053,0.456,0.1728,0.247,0.1221,0.294,0.5192,0.137,0.133,0.286
socioprofessionalCategoriesSkilledNonManuals,6711.0,0.131,NaN,NaN,0.8543,0.143,0.1314,0.379,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,3922.0,0.177,NaN,NaN,0.8577,0.192,0.1035,0.557,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1920.0,0.26,1.0,0.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,186.0,0.864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,555.0,0.486,NaN,NaN,0.3135,0.871,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,25079.0,0.058,0.2555,0.138,0.3916,0.106,0.0723,0.261,0.1615,0.173,0.1191,0.205
