attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.015,0.1837,0.102,0.4234,0.055,0.0861,0.15,0.1702,0.099,0.1365,0.114
sexMale,1.0,0.048,0.1228,0.191,0.4279,0.089,0.064,0.258,0.2307,0.124,0.1547,0.155
sexFemale,1.0,0.048,0.2404,0.127,0.4192,0.088,0.1068,0.191,0.114,0.183,0.1196,0.179
age25_44,1.0,0.067,0.1387,0.227,0.4014,0.118,0.0925,0.259,0.1737,0.178,0.1937,0.171
age45_64,1.0,0.06,0.1531,0.194,0.4544,0.1,0.0789,0.264,0.1959,0.157,0.1177,0.207
age65+,1.0,0.072,0.2852,0.154,0.4072,0.123,0.0883,0.279,0.1291,0.227,0.0901,0.27
citizenSwiss,1.0,0.029,0.1391,0.132,0.4638,0.063,0.0847,0.173,0.1935,0.108,0.1189,0.142
citizenUE28_AELE,1.0,0.106,0.2043,0.252,0.3359,0.193,0.0844,0.397,0.1428,0.295,0.2326,0.227
citizenOtherEuropeanCountries,1.0,0.226,0.4799,0.338,0.331,0.386,0.1117,0.688,NaN,NaN,NaN,NaN
citizenOtherWorldwideCountries,1.0,0.253,0.5657,0.348,0.146,0.645,0.0863,0.871,NaN,NaN,0.1844,0.561
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.039,0.1272,0.158,0.4658,0.074,0.0848,0.197,0.2069,0.119,0.1153,0.165
migratoryBackgroundSwissWith,1.0,0.105,0.1821,0.263,0.453,0.163,0.0807,0.393,0.1474,0.292,0.1368,0.299
migratoryBackgroundFirstGeneration,1.0,0.089,0.3258,0.175,0.2816,0.18,0.0892,0.334,0.105,0.292,0.1985,0.207
migratoryBackgroundSecondGenerationAndMore,1.0,0.353,NaN,NaN,0.6746,0.433,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,1.0,0.583,NaN,NaN,0.5476,0.79,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,1.0,0.04,0.117,0.175,0.4307,0.078,0.0788,0.206,0.2084,0.117,0.1652,0.135
labourMarketUnemployedPersons,1.0,0.276,0.3048,0.499,0.3101,0.505,0.1735,0.693,0.0964,0.87,0.1157,0.793
labourMarketPersonsWithoutProfessionalActivity,1.0,0.062,0.2875,0.138,0.4208,0.106,0.0913,0.244,0.1113,0.215,0.0891,0.245
socioprofessionalCategoriesExecutives,1.0,0.312,NaN,NaN,0.1937,0.733,NaN,NaN,0.4445,0.468,0.3294,0.534
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.403
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.186,0.0744,0.685,0.4892,0.271,0.0872,0.647,0.2896,0.346,0.0593,0.791
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.155,NaN,NaN,0.0661,0.613,0.0356,0.866,0.1185,0.455,0.7798,0.178
socioprofessionalCategoriesIntermediate,1.0,0.097,0.0294,0.695,0.3092,0.188,0.0717,0.386,0.4948,0.143,0.095,0.341
socioprofessionalCategoriesSkilledNonManuals,1.0,0.118,NaN,NaN,0.8504,0.129,0.1433,0.338,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.189,NaN,NaN,0.878,0.202,0.082,0.684,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.221,1.0,0.221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.291,0.5343,0.421,0.1995,0.611,0.1129,0.871,0.0936,0.864,NaN,NaN
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.059,0.2889,0.133,0.412,0.103,0.0978,0.23,0.1101,0.209,0.0912,0.234
