attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,60079.0,0.017,11301.0,0.101,24840.0,0.058,5579.0,0.15,9037.0,0.111,9323.0,0.111
sexMale,0.4891,0.05,0.3388,0.187,0.4767,0.095,0.3676,0.255,0.6873,0.136,0.585,0.149
sexFemale,0.5109,0.05,0.6612,0.127,0.5233,0.091,0.6324,0.19,0.3127,0.214,0.415,0.182
age25_44,0.3455,0.071,0.2805,0.217,0.2912,0.135,0.408,0.252,0.3657,0.2,0.5121,0.166
age45_64,0.3873,0.059,0.3065,0.191,0.4064,0.103,0.3997,0.235,0.4509,0.168,0.3653,0.187
age65+,0.2672,0.077,0.4129,0.16,0.3024,0.122,0.1923,0.339,0.1834,0.273,0.1225,0.329
citizenSwiss,0.7419,0.031,0.5669,0.135,0.8086,0.067,0.7281,0.174,0.8467,0.121,0.6826,0.136
citizenUE28_AELE,0.1733,0.107,0.1989,0.243,0.1383,0.197,0.1819,0.376,0.1218,0.353,0.2805,0.226
citizenOtherEuropeanCountries,0.0568,0.219,0.1553,0.309,0.0395,0.424,0.0708,0.648,0.0222,0.865,NaN,NaN
citizenOtherWorldwideCountries,0.028,0.286,0.0789,0.394,0.0136,0.646,NaN,NaN,NaN,NaN,0.028,0.73
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.5775,0.042,0.3846,0.166,0.6392,0.078,0.5422,0.203,0.6961,0.135,0.5535,0.153
migratoryBackgroundSwissWith,0.1594,0.107,0.1765,0.251,0.163,0.173,0.1861,0.351,0.143,0.311,0.1291,0.32
migratoryBackgroundFirstGeneration,0.236,0.092,0.4162,0.173,0.155,0.19,0.2578,0.32,0.136,0.336,0.3174,0.212
migratoryBackgroundSecondGenerationAndMore,0.0222,0.331,0.0169,0.867,0.0365,0.405,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundUnknown,0.0049,0.644,NaN,NaN,0.0064,0.864,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,0.6075,0.042,0.3781,0.177,0.5888,0.085,0.6042,0.197,0.748,0.132,0.8008,0.126
labourMarketUnemployedPersons,0.0281,0.288,0.0359,0.614,0.0229,0.502,0.0419,0.789,0.0367,0.618,NaN,NaN
labourMarketPersonsWithoutProfessionalActivity,0.3644,0.063,0.586,0.135,0.3883,0.107,0.3538,0.256,0.2152,0.253,0.1833,0.274
socioprofessionalCategoriesExecutives,0.0279,0.278,0.0283,0.689,0.0151,0.584,NaN,NaN,0.0277,0.682,0.0712,0.444
socioprofessionalCategoriesLiberalAndSimilar,0.0071,0.536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.046,0.536
socioprofessionalCategoriesOtherSelfEmployed,0.0524,0.195,NaN,NaN,0.0659,0.273,0.0358,0.789,0.1186,0.34,NaN,NaN
socioprofessionalCategoriesIntellectualAndManagerial,0.0845,0.156,NaN,NaN,NaN,NaN,NaN,NaN,0.0405,0.585,0.4881,0.166
socioprofessionalCategoriesIntermediate,0.1578,0.11,0.0479,0.519,0.0878,0.241,0.1339,0.421,0.53,0.16,0.1311,0.33
socioprofessionalCategoriesSkilledNonManuals,0.1308,0.123,NaN,NaN,0.252,0.14,0.2689,0.295,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.062,0.187,0.0187,0.79,0.1287,0.203,0.0568,0.686,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.0391,0.24,0.2077,0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.0433,0.225,0.0481,0.499,0.0338,0.394,0.0778,0.592,0.0311,0.684,0.0538,0.517
socioprofessionalCategoriesUnemployedOrNotWorking,0.3925,0.06,0.6219,0.131,0.4112,0.103,0.3958,0.243,0.252,0.233,0.1992,0.263
