attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,197937,0.010,42453,0.052,82729,0.031,16862,0.085,29605,0.061,26287,0.067
sexMale,97903,0.029,16311,0.093,40234,0.053,5814,0.154,20225,0.077,15320,0.092
sexFemale,100034,0.026,26142,0.066,42495,0.048,11048,0.103,9380,0.112,10968,0.105
age25_44,69056,0.039,10595,0.120,26112,0.069,6463,0.146,11447,0.106,14439,0.096
age45_64,79981,0.032,14735,0.092,36266,0.053,6532,0.136,12929,0.096,9520,0.113
age65+,48900,0.044,17124,0.083,20351,0.073,3867,0.175,5229,0.148,2329,0.224
citizenSwiss,156225,0.015,25048,0.066,71424,0.034,13074,0.094,26714,0.064,19966,0.076
citizenUE28_AELE,24211,0.075,6866,0.145,8123,0.132,2355,0.253,2290,0.253,4577,0.179
citizenOtherEuropeanCountries,12105,0.118,7375,0.152,2766,0.255,1064,0.397,395,0.690,504,0.586
citizenOtherWorldwideCountries,5396,0.168,3165,0.220,416,0.618,370,0.648,206,0.871,1240,0.354
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,135574,0.019,20781,0.073,64346,0.037,10675,0.105,23504,0.069,16267,0.086
migratoryBackgroundSwissWith,19751,0.075,4055,0.172,6626,0.135,2366,0.227,3099,0.197,3605,0.185
migratoryBackgroundFirstGeneration,36639,0.061,15979,0.097,8582,0.134,3601,0.208,2428,0.249,6049,0.157
migratoryBackgroundSecondGenerationAndMore,5036,0.173,1427,0.336,2685,0.235,187,0.865,464,0.591,272,0.737
migratoryBackgroundUnknown,937,0.366,211,0.791,489,0.500,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,125293,0.022,16441,0.091,53922,0.043,10374,0.111,23462,0.070,21094,0.076
labourMarketUnemployedPersons,5717,0.161,1754,0.304,2055,0.267,327,0.694,683,0.451,898,0.397
labourMarketPersonsWithoutProfessionalActivity,66927,0.036,24258,0.070,26752,0.063,6160,0.140,5460,0.147,4296,0.172
socioprofessionalCategoriesExecutives,5393,0.156,700,0.461,1411,0.310,315,0.648,1531,0.292,1436,0.302
socioprofessionalCategoriesLiberalAndSimilar,1793,0.263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1793,0.263
socioprofessionalCategoriesOtherSelfEmployed,8854,0.118,922,0.382,4535,0.164,757,0.426,2325,0.233,316,0.646
socioprofessionalCategoriesIntellectualAndManagerial,16544,0.087,242,0.801,928,0.383,252,0.734,1589,0.285,13532,0.096
socioprofessionalCategoriesIntermediate,35091,0.057,2083,0.265,9740,0.114,2918,0.205,17138,0.084,3212,0.209
socioprofessionalCategoriesSkilledNonManuals,28372,0.063,229,0.731,24382,0.068,3761,0.186,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,12681,0.102,568,0.503,10430,0.113,1683,0.295,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,8984,0.124,8984,0.124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,306,0.768,226,0.916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,7275,0.134,2487,0.237,2448,0.230,689,0.435,879,0.372,772,0.424
socioprofessionalCategoriesUnemployedOrNotWorking,72644,0.035,26012,0.068,28807,0.061,6488,0.137,6143,0.139,5194,0.158
