attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,203751,0.009,37739,0.054,89899,0.029,18361,0.081,31361,0.058,26392,0.065
sexMale,101254,0.028,12673,0.105,45469,0.048,8284,0.130,20169,0.075,14659,0.092
sexFemale,102497,0.025,25066,0.067,44430,0.046,10076,0.107,11192,0.101,11733,0.099
age25_44,71262,0.037,8958,0.127,28947,0.065,6814,0.144,11891,0.102,14652,0.093
age45_64,80555,0.031,13137,0.098,37824,0.051,6564,0.136,14108,0.089,8922,0.113
age65+,51934,0.042,15644,0.085,23128,0.068,4982,0.154,5362,0.147,2819,0.204
citizenSwiss,158524,0.015,21566,0.071,76026,0.032,13118,0.094,27586,0.062,20228,0.074
citizenUE28_AELE,25710,0.071,6489,0.144,8612,0.126,3384,0.212,2851,0.221,4373,0.179
citizenOtherEuropeanCountries,13248,0.106,7018,0.147,3992,0.198,1096,0.381,463,0.566,680,0.498
citizenOtherWorldwideCountries,6234,0.151,2665,0.232,1234,0.349,763,0.449,460,0.540,1111,0.350
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,136913,0.019,17018,0.081,67286,0.036,10885,0.103,24688,0.066,17035,0.082
migratoryBackgroundSwissWith,20379,0.073,4409,0.164,8040,0.121,2035,0.243,2739,0.210,3156,0.192
migratoryBackgroundFirstGeneration,39602,0.056,15099,0.095,10565,0.116,4918,0.177,3260,0.207,5760,0.156
migratoryBackgroundSecondGenerationAndMore,5544,0.162,993,0.399,3308,0.210,325,0.646,515,0.519,404,0.637
migratoryBackgroundUnknown,1314,0.310,220,0.794,700,0.423,198,0.790,159,0.868,NaN,NaN
labourMarketEmployedPersons,127822,0.021,14628,0.094,56872,0.041,10750,0.109,24165,0.067,21408,0.073
labourMarketUnemployedPersons,5190,0.166,1436,0.321,1885,0.277,473,0.568,625,0.457,772,0.444
labourMarketPersonsWithoutProfessionalActivity,70739,0.035,21675,0.073,31142,0.058,7138,0.131,6570,0.135,4213,0.171
socioprofessionalCategoriesExecutives,5463,0.150,504,0.520,1289,0.310,374,0.660,1698,0.265,1597,0.273
socioprofessionalCategoriesLiberalAndSimilar,1538,0.279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1538,0.279
socioprofessionalCategoriesOtherSelfEmployed,9909,0.110,739,0.438,5388,0.149,930,0.375,2408,0.222,445,0.574
socioprofessionalCategoriesIntellectualAndManagerial,15785,0.085,223,0.793,958,0.353,291,0.646,1164,0.322,13150,0.094
socioprofessionalCategoriesIntermediate,38554,0.052,2025,0.261,10904,0.105,3173,0.199,18673,0.078,3779,0.189
socioprofessionalCategoriesSkilledNonManuals,29176,0.061,NaN,NaN,25251,0.066,3786,0.184,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,13720,0.097,420,0.587,11647,0.105,1653,0.301,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,9128,0.119,9128,0.119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,4423,0.173,1449,0.315,1435,0.295,498,0.520,223,0.730,818,0.406
socioprofessionalCategoriesUnemployedOrNotWorking,75929,0.033,23111,0.071,33027,0.057,7611,0.128,7196,0.129,4985,0.159
