attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,201797.0,0.009,0.1954,0.054,0.4328,0.03,0.0915,0.081,0.1578,0.057,0.1225,0.067
sexMale,100112.0,0.027,0.1414,0.098,0.444,0.048,0.0691,0.139,0.2111,0.073,0.1344,0.094
sexFemale,101685.0,0.026,0.2486,0.068,0.4218,0.048,0.1135,0.102,0.1054,0.103,0.1107,0.102
age25_44,70450.0,0.037,0.1441,0.122,0.3934,0.066,0.1077,0.135,0.1632,0.103,0.1917,0.095
age45_64,80592.0,0.031,0.166,0.099,0.469,0.052,0.0757,0.141,0.1824,0.087,0.1068,0.116
age65+,50755.0,0.042,0.3132,0.084,0.43,0.07,0.0941,0.156,0.1114,0.143,0.0513,0.211
citizenSwiss,157824.0,0.015,0.1513,0.068,0.4716,0.033,0.0827,0.094,0.1783,0.061,0.1161,0.078
citizenUE28_AELE,25211.0,0.069,0.2282,0.15,0.3329,0.123,0.1341,0.201,0.1188,0.206,0.186,0.165
citizenOtherEuropeanCountries,12625.0,0.117,0.5393,0.161,0.2749,0.227,0.1127,0.355,0.0314,0.652,0.0417,0.588
citizenOtherWorldwideCountries,6029.0,0.154,0.4908,0.225,0.167,0.374,0.1008,0.488,0.0473,0.738,0.1939,0.34
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,136522.0,0.018,0.1384,0.077,0.4858,0.036,0.0792,0.104,0.1844,0.065,0.1123,0.086
migratoryBackgroundSwissWith,20450.0,0.074,0.2349,0.158,0.3778,0.124,0.1067,0.236,0.1375,0.206,0.1432,0.201
migratoryBackgroundFirstGeneration,38397.0,0.058,0.3802,0.101,0.2576,0.12,0.1299,0.172,0.074,0.216,0.1584,0.147
migratoryBackgroundSecondGenerationAndMore,5388.0,0.163,0.1643,0.433,0.5536,0.218,0.0789,0.588,0.1472,0.418,0.0559,0.702
migratoryBackgroundUnknown,1040.0,0.348,0.249,0.735,0.4048,0.536,NaN,NaN,0.224,0.737,NaN,NaN
labourMarketEmployedPersons,125551.0,0.021,0.1135,0.097,0.447,0.041,0.0852,0.108,0.1962,0.066,0.1582,0.076
labourMarketUnemployedPersons,4674.0,0.178,0.3166,0.336,0.3721,0.285,0.1001,0.571,0.0674,0.646,0.1436,0.459
labourMarketPersonsWithoutProfessionalActivity,71572.0,0.035,0.3313,0.071,0.4119,0.06,0.102,0.13,0.0964,0.13,0.0585,0.171
socioprofessionalCategoriesExecutives,4885.0,0.158,0.0792,0.618,0.2387,0.322,0.0794,0.595,0.3212,0.276,0.2817,0.295
socioprofessionalCategoriesLiberalAndSimilar,1488.0,0.281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.281
socioprofessionalCategoriesOtherSelfEmployed,9867.0,0.111,0.0937,0.373,0.5369,0.152,0.0829,0.398,0.2598,0.217,0.0268,0.738
socioprofessionalCategoriesIntellectualAndManagerial,14958.0,0.087,NaN,NaN,0.0521,0.394,0.017,0.686,0.1067,0.273,0.8153,0.097
socioprofessionalCategoriesIntermediate,38041.0,0.053,0.0568,0.259,0.2683,0.108,0.0803,0.199,0.4856,0.078,0.109,0.178
socioprofessionalCategoriesSkilledNonManuals,29231.0,0.061,NaN,NaN,0.8598,0.066,0.1357,0.18,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,13052.0,0.099,0.0264,0.611,0.8449,0.107,0.1286,0.294,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,8441.0,0.127,1.0,0.127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,180.0,0.867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,5409.0,0.157,0.3108,0.291,0.4505,0.23,0.0932,0.523,0.0795,0.538,0.0658,0.639
socioprofessionalCategoriesUnemployedOrNotWorking,76246.0,0.033,0.3304,0.069,0.4095,0.058,0.1018,0.127,0.0946,0.128,0.0637,0.16
