attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,1.0,0.0,0.1954,0.001,0.4328,0.0,0.0915,0.001,0.1578,0.001,0.1225,0.001
sexMale,1.0,0.0,0.1414,0.001,0.444,0.0,0.0691,0.001,0.2111,0.001,0.1344,0.001
sexFemale,1.0,0.0,0.2486,0.001,0.4218,0.0,0.1135,0.001,0.1054,0.001,0.1107,0.001
age25_44,1.0,0.0,0.1441,0.001,0.3934,0.001,0.1077,0.001,0.1632,0.001,0.1917,0.001
age45_64,1.0,0.0,0.166,0.001,0.469,0.001,0.0757,0.001,0.1824,0.001,0.1068,0.001
age65+,1.0,0.0,0.3132,0.001,0.43,0.001,0.0941,0.002,0.1114,0.001,0.0513,0.002
citizenSwiss,1.0,0.0,0.1513,0.001,0.4716,0.0,0.0827,0.001,0.1783,0.001,0.1161,0.001
citizenUE28_AELE,1.0,0.001,0.2282,0.002,0.3329,0.001,0.1341,0.002,0.1188,0.002,0.186,0.002
citizenOtherEuropeanCountries,1.0,0.001,0.5393,0.002,0.2749,0.002,0.1127,0.004,0.0314,0.007,0.0417,0.006
citizenOtherWorldwideCountries,1.0,0.002,0.4908,0.002,0.167,0.004,0.1008,0.005,0.0473,0.007,0.1939,0.003
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,1.0,0.0,0.1384,0.001,0.4858,0.0,0.0792,0.001,0.1844,0.001,0.1123,0.001
migratoryBackgroundSwissWith,1.0,0.001,0.2349,0.002,0.3778,0.001,0.1067,0.002,0.1375,0.002,0.1432,0.002
migratoryBackgroundFirstGeneration,1.0,0.001,0.3802,0.001,0.2576,0.001,0.1299,0.002,0.074,0.002,0.1584,0.001
migratoryBackgroundSecondGenerationAndMore,1.0,0.002,0.1643,0.004,0.5536,0.002,0.0789,0.006,0.1472,0.004,0.0559,0.007
migratoryBackgroundUnknown,1.0,0.003,0.249,0.007,0.4048,0.005,NaN,NaN,0.224,0.007,NaN,NaN
labourMarketEmployedPersons,1.0,0.0,0.1135,0.001,0.447,0.0,0.0852,0.001,0.1962,0.001,0.1582,0.001
labourMarketUnemployedPersons,1.0,0.002,0.3166,0.003,0.3721,0.003,0.1001,0.006,0.0674,0.006,0.1436,0.005
labourMarketPersonsWithoutProfessionalActivity,1.0,0.0,0.3313,0.001,0.4119,0.001,0.102,0.001,0.0964,0.001,0.0585,0.002
socioprofessionalCategoriesExecutives,1.0,0.002,0.0792,0.006,0.2387,0.003,0.0794,0.006,0.3212,0.003,0.2817,0.003
socioprofessionalCategoriesLiberalAndSimilar,1.0,0.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.003
socioprofessionalCategoriesOtherSelfEmployed,1.0,0.001,0.0937,0.004,0.5369,0.002,0.0829,0.004,0.2598,0.002,0.0268,0.007
socioprofessionalCategoriesIntellectualAndManagerial,1.0,0.001,NaN,NaN,0.0521,0.004,0.017,0.007,0.1067,0.003,0.8153,0.001
socioprofessionalCategoriesIntermediate,1.0,0.001,0.0568,0.003,0.2683,0.001,0.0803,0.002,0.4856,0.001,0.109,0.002
socioprofessionalCategoriesSkilledNonManuals,1.0,0.001,NaN,NaN,0.8598,0.001,0.1357,0.002,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,1.0,0.001,0.0264,0.006,0.8449,0.001,0.1286,0.003,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,1.0,0.001,1.0,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,1.0,0.009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,1.0,0.002,0.3108,0.003,0.4505,0.002,0.0932,0.005,0.0795,0.005,0.0658,0.006
socioprofessionalCategoriesUnemployedOrNotWorking,1.0,0.0,0.3304,0.001,0.4095,0.001,0.1018,0.001,0.0946,0.001,0.0637,0.002
