attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,201797.0,0.009,39434.0,0.054,87336.0,0.03,18465.0,0.081,31847.0,0.057,24714.0,0.067
sexMale,0.4961,0.027,0.3589,0.098,0.5089,0.048,0.3748,0.139,0.6635,0.073,0.5446,0.094
sexFemale,0.5039,0.026,0.6411,0.068,0.4911,0.048,0.6252,0.102,0.3365,0.103,0.4554,0.102
age25_44,0.3491,0.037,0.2575,0.122,0.3173,0.066,0.4108,0.135,0.361,0.103,0.5463,0.095
age45_64,0.3994,0.031,0.3394,0.099,0.4328,0.052,0.3305,0.141,0.4616,0.087,0.3484,0.116
age65+,0.2515,0.042,0.4032,0.084,0.2499,0.07,0.2587,0.156,0.1775,0.143,0.1053,0.211
citizenSwiss,0.7821,0.015,0.6054,0.068,0.8522,0.033,0.707,0.094,0.8834,0.061,0.7416,0.078
citizenUE28_AELE,0.1249,0.069,0.1459,0.15,0.0961,0.123,0.183,0.201,0.0941,0.206,0.1898,0.165
citizenOtherEuropeanCountries,0.0626,0.117,0.1727,0.161,0.0397,0.227,0.0771,0.355,0.0124,0.652,0.0213,0.588
citizenOtherWorldwideCountries,0.0299,0.154,0.075,0.225,0.0115,0.374,0.0329,0.488,0.0089,0.738,0.0473,0.34
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,0.6765,0.018,0.479,0.077,0.7593,0.036,0.5854,0.104,0.7903,0.065,0.6205,0.086
migratoryBackgroundSwissWith,0.1013,0.074,0.1218,0.158,0.0885,0.124,0.1182,0.236,0.0883,0.206,0.1185,0.201
migratoryBackgroundFirstGeneration,0.1903,0.058,0.3702,0.101,0.1132,0.12,0.27,0.172,0.0892,0.216,0.2462,0.147
migratoryBackgroundSecondGenerationAndMore,0.0267,0.163,0.0224,0.433,0.0342,0.218,0.023,0.588,0.0249,0.418,0.0122,0.702
migratoryBackgroundUnknown,0.0052,0.348,0.0066,0.735,0.0048,0.536,NaN,NaN,0.0073,0.737,NaN,NaN
labourMarketEmployedPersons,0.6222,0.021,0.3612,0.097,0.6426,0.041,0.5795,0.108,0.7734,0.066,0.8035,0.076
labourMarketUnemployedPersons,0.0232,0.178,0.0375,0.336,0.0199,0.285,0.0253,0.571,0.0099,0.646,0.0272,0.459
labourMarketPersonsWithoutProfessionalActivity,0.3547,0.035,0.6013,0.071,0.3375,0.06,0.3952,0.13,0.2167,0.13,0.1694,0.171
socioprofessionalCategoriesExecutives,0.0242,0.158,0.0098,0.618,0.0134,0.322,0.021,0.595,0.0493,0.276,0.0557,0.295
socioprofessionalCategoriesLiberalAndSimilar,0.0074,0.281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0602,0.281
socioprofessionalCategoriesOtherSelfEmployed,0.0489,0.111,0.0235,0.373,0.0607,0.152,0.0443,0.398,0.0805,0.217,0.0107,0.738
socioprofessionalCategoriesIntellectualAndManagerial,0.0741,0.087,NaN,NaN,0.0089,0.394,0.0138,0.686,0.0501,0.273,0.4934,0.097
socioprofessionalCategoriesIntermediate,0.1885,0.053,0.0547,0.259,0.1169,0.108,0.1653,0.199,0.5801,0.078,0.1678,0.178
socioprofessionalCategoriesSkilledNonManuals,0.1449,0.061,NaN,NaN,0.2878,0.066,0.2148,0.18,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,0.0647,0.099,0.0087,0.611,0.1263,0.107,0.0909,0.294,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,0.0418,0.127,0.2141,0.127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,0.0009,0.867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,0.0268,0.157,0.0426,0.291,0.0279,0.23,0.0273,0.523,0.0135,0.538,0.0144,0.639
socioprofessionalCategoriesUnemployedOrNotWorking,0.3778,0.033,0.6388,0.069,0.3575,0.058,0.4205,0.127,0.2266,0.128,0.1965,0.16
