attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,116706,0.012,21406,0.071,48480,0.041,9225,0.113,19236,0.075,18357,0.077
sexMale,60068,0.035,7972,0.126,24561,0.066,3165,0.201,13186,0.093,11184,0.102
sexFemale,56638,0.035,13435,0.091,23919,0.065,6060,0.140,6051,0.138,7173,0.127
age25_44,41675,0.048,3447,0.203,17266,0.083,4047,0.181,7705,0.127,9211,0.115
age45_64,48671,0.040,8189,0.122,20452,0.071,3433,0.185,9031,0.112,7567,0.123
age65+,26360,0.059,9770,0.107,10763,0.099,1746,0.257,2501,0.213,1580,0.269
citizenSwiss,92111,0.020,15612,0.083,41767,0.045,6813,0.130,16045,0.082,11874,0.097
citizenUE28_AELE,16689,0.084,2262,0.242,4690,0.165,1888,0.270,2360,0.235,5489,0.151
citizenOtherEuropeanCountries,5435,0.168,2636,0.244,1719,0.303,383,0.649,493,0.559,204,0.872
citizenOtherWorldwideCountries,2471,0.232,897,0.398,305,0.690,NaN,NaN,338,0.617,790,0.396
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,81309,0.024,13831,0.088,37804,0.048,5421,0.146,14750,0.086,9503,0.110
migratoryBackgroundSwissWith,10304,0.104,1619,0.272,3835,0.176,1392,0.294,1164,0.321,2294,0.228
migratoryBackgroundFirstGeneration,22880,0.072,5606,0.159,5709,0.153,2293,0.247,2933,0.212,6339,0.140
migratoryBackgroundSecondGenerationAndMore,1644,0.292,NaN,NaN,1005,0.374,NaN,NaN,228,0.795,NaN,NaN
migratoryBackgroundUnknown,569,0.470,203,0.794,NaN,NaN,NaN,NaN,161,0.864,NaN,NaN
labourMarketEmployedPersons,76863,0.027,8099,0.123,32607,0.055,6051,0.142,15560,0.084,14545,0.088
labourMarketUnemployedPersons,1565,0.297,390,0.614,428,0.560,NaN,NaN,331,0.649,336,0.632
labourMarketPersonsWithoutProfessionalActivity,38278,0.048,12917,0.094,15445,0.083,3093,0.198,3346,0.188,3476,0.189
socioprofessionalCategoriesExecutives,4659,0.161,192,0.869,848,0.386,293,0.647,1198,0.321,2129,0.240
socioprofessionalCategoriesLiberalAndSimilar,1738,0.263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1738,0.263
socioprofessionalCategoriesOtherSelfEmployed,8605,0.117,841,0.386,4538,0.164,774,0.403,2236,0.235,216,0.800
socioprofessionalCategoriesIntellectualAndManagerial,10046,0.107,NaN,NaN,616,0.457,341,0.616,851,0.378,8205,0.119
socioprofessionalCategoriesIntermediate,20287,0.073,817,0.395,5251,0.153,1429,0.292,10904,0.103,1887,0.258
socioprofessionalCategoriesSkilledNonManuals,16750,0.081,NaN,NaN,14329,0.088,2355,0.229,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,6838,0.137,315,0.645,5959,0.147,565,0.500,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,4883,0.161,4883,0.161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,2931,0.208,911,0.373,1026,0.353,296,0.698,371,0.584,327,0.620
socioprofessionalCategoriesUnemployedOrNotWorking,39843,0.047,13307,0.093,15873,0.082,3174,0.196,3677,0.180,3812,0.180
