attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,113442,0.013,22001,0.071,45045,0.043,9301,0.114,18152,0.077,18942,0.077
sexMale,58334,0.035,8589,0.120,22002,0.069,4272,0.175,11616,0.099,11855,0.101
sexFemale,55108,0.037,13412,0.093,23042,0.067,5029,0.156,6537,0.135,7088,0.133
age25_44,41128,0.047,4064,0.186,15371,0.086,3831,0.185,7864,0.124,9998,0.112
age45_64,47458,0.041,9053,0.115,19752,0.073,3830,0.179,7864,0.121,6959,0.132
age65+,24856,0.064,8883,0.116,9922,0.108,1640,0.278,2425,0.226,1986,0.252
citizenSwiss,90131,0.020,15569,0.084,39608,0.046,6903,0.130,15952,0.082,12098,0.096
citizenUE28_AELE,16021,0.089,2659,0.229,3831,0.190,1900,0.277,1855,0.278,5774,0.155
citizenOtherEuropeanCountries,5038,0.172,2659,0.238,1222,0.354,357,0.650,345,0.646,454,0.594
citizenOtherWorldwideCountries,2253,0.260,1112,0.369,384,0.617,NaN,NaN,NaN,NaN,616,0.505
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,79491,0.024,13883,0.089,35708,0.050,5759,0.143,14345,0.087,9796,0.109
migratoryBackgroundSwissWith,10320,0.104,1624,0.272,3801,0.177,1081,0.335,1543,0.280,2272,0.229
migratoryBackgroundFirstGeneration,21881,0.076,6178,0.152,4691,0.174,2251,0.257,1953,0.272,6808,0.143
migratoryBackgroundSecondGenerationAndMore,1429,0.309,253,0.735,746,0.433,NaN,NaN,247,0.733,NaN,NaN
migratoryBackgroundUnknown,320,0.611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
labourMarketEmployedPersons,76222,0.027,9631,0.113,30766,0.056,5834,0.146,14747,0.087,15244,0.088
labourMarketUnemployedPersons,2500,0.231,300,0.685,1103,0.348,371,0.619,334,0.612,392,0.587
labourMarketPersonsWithoutProfessionalActivity,34720,0.052,12070,0.099,13175,0.092,3096,0.203,3071,0.201,3307,0.198
socioprofessionalCategoriesExecutives,4874,0.156,403,0.558,893,0.371,295,0.646,1078,0.331,2206,0.236
socioprofessionalCategoriesLiberalAndSimilar,1526,0.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1526,0.288
socioprofessionalCategoriesOtherSelfEmployed,7529,0.126,959,0.366,4041,0.174,566,0.468,1671,0.272,293,0.686
socioprofessionalCategoriesIntellectualAndManagerial,9648,0.112,NaN,NaN,517,0.482,174,0.865,1055,0.342,7829,0.126
socioprofessionalCategoriesIntermediate,22115,0.069,722,0.411,5846,0.143,2172,0.239,10600,0.104,2777,0.219
socioprofessionalCategoriesSkilledNonManuals,14066,0.090,NaN,NaN,12156,0.097,1843,0.268,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,6660,0.136,360,0.615,5853,0.145,447,0.538,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,5607,0.150,5607,0.150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,193,0.886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,4002,0.180,1383,0.310,1358,0.306,338,0.654,309,0.645,614,0.471
socioprofessionalCategoriesUnemployedOrNotWorking,37220,0.050,12370,0.098,14278,0.089,3468,0.192,3405,0.190,3699,0.187
