attribute,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
total,116706.0,0.012,0.1834,0.071,0.4154,0.041,0.079,0.113,0.1648,0.075,0.1573,0.077
sexMale,60068.0,0.035,0.1327,0.126,0.4089,0.066,0.0527,0.201,0.2195,0.093,0.1862,0.102
sexFemale,56638.0,0.035,0.2372,0.091,0.4223,0.065,0.107,0.14,0.1068,0.138,0.1266,0.127
age25_44,41675.0,0.048,0.0827,0.203,0.4143,0.083,0.0971,0.181,0.1849,0.127,0.221,0.115
age45_64,48671.0,0.04,0.1683,0.122,0.4202,0.071,0.0705,0.185,0.1856,0.112,0.1555,0.123
age65+,26360.0,0.059,0.3706,0.107,0.4083,0.099,0.0662,0.257,0.0949,0.213,0.0599,0.269
citizenSwiss,92111.0,0.02,0.1695,0.083,0.4534,0.045,0.074,0.13,0.1742,0.082,0.1289,0.097
citizenUE28_AELE,16689.0,0.084,0.1355,0.242,0.281,0.165,0.1131,0.27,0.1414,0.235,0.3289,0.151
citizenOtherEuropeanCountries,5435.0,0.168,0.485,0.244,0.3163,0.303,0.0705,0.649,0.0907,0.559,0.0375,0.872
citizenOtherWorldwideCountries,2471.0,0.232,0.363,0.398,0.1234,0.69,NaN,NaN,0.1368,0.617,0.3197,0.396
citizenUnknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
migratoryBackgroundSwissWithout,81309.0,0.024,0.1701,0.088,0.4649,0.048,0.0667,0.146,0.1814,0.086,0.1169,0.11
migratoryBackgroundSwissWith,10304.0,0.104,0.1571,0.272,0.3722,0.176,0.1351,0.294,0.113,0.321,0.2226,0.228
migratoryBackgroundFirstGeneration,22880.0,0.072,0.245,0.159,0.2495,0.153,0.1002,0.247,0.1282,0.212,0.2771,0.14
migratoryBackgroundSecondGenerationAndMore,1644.0,0.292,NaN,NaN,0.6113,0.374,NaN,NaN,0.1387,0.795,NaN,NaN
migratoryBackgroundUnknown,569.0,0.47,0.3568,0.794,NaN,NaN,NaN,NaN,0.283,0.864,NaN,NaN
labourMarketEmployedPersons,76863.0,0.027,0.1054,0.123,0.4242,0.055,0.0787,0.142,0.2024,0.084,0.1892,0.088
labourMarketUnemployedPersons,1565.0,0.297,0.2492,0.614,0.2735,0.56,NaN,NaN,0.2115,0.649,0.2147,0.632
labourMarketPersonsWithoutProfessionalActivity,38278.0,0.048,0.3375,0.094,0.4035,0.083,0.0808,0.198,0.0874,0.188,0.0908,0.189
socioprofessionalCategoriesExecutives,4659.0,0.161,0.0412,0.869,0.182,0.386,0.0629,0.647,0.2571,0.321,0.457,0.24
socioprofessionalCategoriesLiberalAndSimilar,1738.0,0.263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.263
socioprofessionalCategoriesOtherSelfEmployed,8605.0,0.117,0.0977,0.386,0.5274,0.164,0.0899,0.403,0.2598,0.235,0.0251,0.8
socioprofessionalCategoriesIntellectualAndManagerial,10046.0,0.107,NaN,NaN,0.0613,0.457,0.0339,0.616,0.0847,0.378,0.8167,0.119
socioprofessionalCategoriesIntermediate,20287.0,0.073,0.0403,0.395,0.2588,0.153,0.0704,0.292,0.5375,0.103,0.093,0.258
socioprofessionalCategoriesSkilledNonManuals,16750.0,0.081,NaN,NaN,0.8555,0.088,0.1406,0.229,NaN,NaN,NaN,NaN
socioprofessionalCategoriesSkilledManuals,6838.0,0.137,0.0461,0.645,0.8715,0.147,0.0826,0.5,NaN,NaN,NaN,NaN
socioprofessionalCategoriesUnskilled,4883.0,0.161,1.0,0.161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesApprentices,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
socioprofessionalCategoriesNotAttributable,2931.0,0.208,0.3108,0.373,0.3501,0.353,0.101,0.698,0.1266,0.584,0.1116,0.62
socioprofessionalCategoriesUnemployedOrNotWorking,39843.0,0.047,0.334,0.093,0.3984,0.082,0.0797,0.196,0.0923,0.18,0.0957,0.18
